AI配置ID,出装顺序表,消耗品列表,,
int,string,string,,
13,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,森灵游侠(入门),1
15,171;168;167;168;169;108;179;164;168;195;168;148;114;145;168;168;113;169;243;146;145L;224;147;112,,红女巫(入门),2
21,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,枪火之歌(入门),3
22,168;148;168;168;106;179;164;168;195;168;148;114;145;174;174;158;174;126;147;168;112;145;113,,圣焰之手(入门),4
25,172;171;172;194;150;136;172;238;170;220;179;235;169;243;146;145L;224;171;242;239;171;150;221;171;200;140,,嗜酒雄君(入门),5
26,176;175;199;175;152;175;211;174;173;198;173;174;216;175;152;203;171;133;179;235;174;174;158;175;155;141;172;238;220,,草原飞鹰(入门),6
33,168;243;202;168;138;171;201;168;148;223;168;148;168;226;179;235;171;200;170;140;171;150;228,,花仙子(入门),7
34,176;175;199;175;152;175;211;175;159;175;152;117;175;152;203;171;133;179;235;175;175;192;175;155;119;171;200;140,,轻灵蔷薇(入门),8
35,171;172;231;170;124;145;174;174;158;174;126;168;172;236;168;168;109;179;234;168;168;232;168;237;218;171;200;140,,蒸汽雄心(入门),9
36,172;171;172;194;150;136;172;169;243;157;172;151;204;174;175;155;174;158;141;179;171;166;171;231;172;124;171;200;170;139,,王国之剑(入门),10
65,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,森灵游侠(简单),1
66,171;168;167;168;169;108;179;164;168;195;168;148;114;145;168;168;113;169;243;146;145L;224;147;112,,红女巫(简单),2
80,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,枪火之歌(简单),3
81,168;148;168;168;106;179;164;168;195;168;148;114;145;174;174;158;174;126;147;168;112;145;113,,圣焰之手(简单),4
82,172;171;172;194;150;136;172;238;170;220;179;235;169;243;146;145L;224;171;242;239;171;150;221;171;200;140,,嗜酒雄君(简单),5
103,176;175;199;175;152;175;211;174;173;198;173;174;216;175;152;203;171;133;179;235;174;174;158;175;155;141;172;238;220,,草原飞鹰(简单),6
104,168;243;202;168;138;171;201;168;148;223;168;148;168;226;179;235;171;200;170;140;171;150;228,,花仙子(简单),7
106,176;175;199;175;152;175;211;175;159;175;152;117;175;152;203;171;133;179;235;175;175;192;175;155;119;171;200;140,,轻灵蔷薇(简单),8
107,171;172;231;170;124;145;174;174;158;174;126;168;172;236;168;168;109;179;234;168;168;232;168;237;218;171;200;140,,蒸汽雄心(简单),9
108,172;171;172;194;150;136;172;169;243;157;172;151;204;174;175;155;174;158;141;179;171;166;171;231;172;124;171;200;170;139,,王国之剑(简单),10
