战场id,匹配分范围,直线编号,系数a,系数b,小兵加成,野怪加成,工资加成,英雄加成
int,int,int,int,int,float,float,float,float
8,0;1300,1,80,1000,0,0,0,0
8,0;1300,2,100,1250,0,0,0,0
8,0;1300,3,100,3000,0,0,0,0
8,1301;1650,1,80,1000,0.21,0.21,0,0.21
8,1301;1650,2,100,1250,0.38,0.38,0.38,0.38
8,1301;1650,3,100,3000,3,3,5,1
8,1651;2200,1,40,500,0.21,0.21,0,0.21
8,1651;2200,2,50,625,0.38,0.38,0.38,0.38
8,1651;2200,3,50,1500,3,3,5,1
9,0;1300,1,80,1000,0,0,0,0
9,0;1300,2,100,1250,0,0,0,0
9,0;1300,3,100,3000,0,0,0,0
9,1301;1650,1,80,1000,0.21,0.21,0,0.21
9,1301;1650,2,100,1250,0.38,0.38,0.38,0.38
9,1301;1650,3,100,3000,3,3,5,1
9,1651;2200,1,40,500,0.21,0.21,0,0.21
9,1651;2200,2,50,625,0.38,0.38,0.38,0.38
9,1651;2200,3,50,1500,3,3,5,1
