战场id,匹配分范围,直线编号,系数a,系数b,小兵加成,野怪加成,工资加成,英雄加成
int,int,int,int,int,float,float,float,float
8,0;1000,1,80,1000,0.21,0.21,0,0.21
8,0;1000,2,100,1250,0.38,0.38,0.38,0.38
8,0;1000,3,100,3000,3,3,5,1
8,1001;2000,1,80,1000,0.21,0.21,0,0.21
8,1001;2000,2,100,1250,0.38,0.38,0.38,0.38
8,1001;2000,3,100,3000,3,3,5,1
8,2001;9999,1,80,1000,0.21,0.21,0,0.21
8,2001;9999,2,100,1250,0.38,0.38,0.38,0.38
8,2001;9999,3,100,3000,3,3,5,1
9,0;10000,1,80,1000,0.21,0.21,0,0.21
9,0;10000,2,100,1250,0.38,0.38,0.38,0.38
9,0;10000,3,100,3000,3,3,5,1
14,0;10000,1,80,1000,0.21,0.21,0,0.21
14,0;10000,2,100,1250,0.38,0.38,0.38,0.38
14,0;10000,3,100,3000,3,3,5,1
