AI配置ID,帧间隔ms,描述,基础决策器类型
ValueType,ValueType,Object,ValueType
6,2000,熊,0
24,1000,泉水,0
8,2000,大鹿,0
5,1000000000,远程兵,0
54,1000,不刷兵战场（会反击电脑）,0
55,1000,不刷兵战场（木桩电脑）,0
52,300,傀儡小龙（探索者峡谷）,0
53,2000,傀儡小龙（核晶栈道）,0
2,2000,红buff,0
3,2000,蓝buff,0
11,1000000000,近战小兵,0
17,1000000000,超级兵（水晶破坏刷新）,0
10,2000,大蜘蛛,0
12,2000,四鸟,0
14,2000,大龙,0
16,800,探索及核晶（野怪小龙）,0
23,2000,小红buff,0
27,2000,小蓝buff,0
28,2000,小鹿,0
29,2000,小蜘蛛,0
30,2000,小F4,0
41,1000000000,头目刀斧手,0
43,1000,泉水,0
44,1000,远程英雄回城（入门）,0
45,1000,新手地图（2078和2079）,0
46,1000,新手地图（2080）怪物艾丽娅,0
47,1000000,超级炮车,0
48,-1,防御塔,0
13,-1,弓箭手（入门）,1
15,-1,火法（入门）,1
18,500,新手地图（2075）,0
19,1000,新手地图（2076）,0
20,1000,新手地图（2077）,0
21,-1,阿莎（入门）,1
22,-1,索罗斯（入门）,1
25,-1,劳勃（入门）,1
26,-1,卓戈（入门）,2
34,-1,艾丽娅（入门）,2
35,-1,机器人（入门）,1
36,-1,魔山（入门）,1
49,200,回血球,0
50,2000,无面者分身怪物,0
56,600,大龙（击杀掉落怪物）,0
33,-1,花仙子（入门）,1
57,600,新照明弹,0
58,1000,2093（野鹿R花王）,0
59,1000,2091和2113（常态）野鹿Q召唤物,0
60,1000,异鬼三人效果,0
61,1000,2112（直线）野鹿Q召唤物（直线）,0
62,1000,异鬼三人路大鬼,0
63,1000,核晶栈道（野怪小龙）,0
64,1000,核晶栈道（魄罗）,0
65,1000,弓箭手（简单）,1
66,1000,火法（简单）,1
1,-1,防御塔,0
4,500,河道蟹,0
31,-1,饰品眼,0
32,-1,眼石眼,0
7,-1,男巫天赋分身,0
9,-1,兵营水晶,0
37,-1,河道蟹（死亡产生怪物）,0
38,-1,高地透明墙,0
39,-1,（红）一阵营基地,0
40,-1,（蓝）二阵营基地,0
42,-1,布兰怪物,0
51,-1,装备减速怪物,0
67,600,召唤物（炸弹人大炸弹）2034,0
68,300,异鬼召唤物（小鬼）,0
69,500,召唤物（炸弹人小炸弹）,0
70,300,异鬼召唤物（大鬼）,0
71,600,召唤物（铁皮巨尸）,0
72,500,隐身炸弹  2038,0
73,600,召唤物（千年巨尸）,0
74,600,50金币,0
75,600,异鬼主城（小鬼）,0
76,600,异鬼主城（大鬼）,0
77,600,主城（炸弹人小炸弹）,0
78,500,主城（炸弹人大炸弹）,0
79,500,小龙未出生侦查,0
80,1000,阿莎（简单）,1
81,1000,索罗斯（简单）,1
82,1000,劳勃（简单）,1
83,2000,黄金怪（自杀400s）,0
84,800,3v3野怪小龙,0
85,2000,驯服烈龙（暂时保留）,0
86,2000,驯服烈龙（暂时保留）,0
87,1000,近战英雄回城（入门）,0
88,300,无面者分身怪物（天赋激活版）,0
89,1000000000,超级远程兵,0
90,600,召唤物（炸弹人大炸弹）2048,0
91,-1,13号AI的攻击策略集（远程）,0
92,10000,远程英雄移动策略集（简单）,0
93,-1,15号AI的攻击策略集（远程）,0
94,-1,21号AI攻击策略集（远程）,0
95,10000,近战英雄移动策略集（简单）,0
96,-1,22号AI的攻击策略集（近战）,0
97,-1,25号AI攻击策略集（近战）,0
98,-1,26号AI攻击策略集（近战）,0
99,-1,33号AI攻击策略集（近战）,0
100,-1,34号AI使用技能策略集（近战）,0
101,-1,35号AI攻击策略集（近战）,0
102,-1,36号AI攻击策略集（近战）,0
103,-1,卓戈（简单）,2
104,-1,花仙子（简单）,1
105,-1,主城中随机巡逻策略,0
106,-1,艾丽娅（简单）,2
107,-1,机器人（简单）,1
108,600,魔山（简单）,1
109,-1,陷阱眼,0
110,-1,尸鬼（简单）,1
111,-1,尸鬼的攻击策略集,0
112,-1,绿先知（简单）,1
113,1000,绿先知的攻击策略集,0
114,-1,龙母（简单）,1
115,-1,龙母的攻击策略集,0
116,-1,小鱼人（简单）,1
117,-1,小鱼人的攻击策略集,0
118,-1,无面者（简单）,1
119,-1,无面者的攻击策略集,0
120,-1,小炮（简单）,1
121,-1,小炮的攻击策略集,0
122,-1,鱼姬（简单）,1
123,-1,鱼姬的攻击策略集,0
124,-1,鹿灵花朵（主城自杀）,1
125,-1,新手训练火法,0
126,-1,兽宝（简单）,1
127,-1,兽宝的攻击策略集,0
128,-1,收割者（简单）,2
129,-1,收割者的攻击策略集,0
130,-1,战警（简单）,1
131,-1,战警的攻击策略集,0
132,-1,新手训练火法技能,0
133,-1,新手训练劳勃,0
134,-1,新手训练劳勃技能,0
135,-1,新手训练卓戈,0
136,-1,新手训练卓戈技能,0
137,1500,掉线跑回去,0
138,1000,2092（野鹿R植株结界）,0
139,-1,李寻欢（简单）,1
140,-1,李寻欢技能策略,0
141,-1,巨盾（简单）,1
142,-1,巨盾勇士技能策略,0
143,-1,青蛙（简单）,1
144,-1,青蛙技能策略,0
145,-1,李小龙（简单）,1
146,-1,李小龙技能策略,0
147,-1,异鬼（简单）,1
148,-1,异鬼技能策略,0
