战场ID,怪物ID,AI配置ID,描述
int,int,int,string
0,2247,7,（核晶皮肤）无面者升级版分身
0,2248,7,（核晶皮肤）无面者分身
0,2019,75,主城（异鬼小鬼）
0,2037,76,主城（异鬼大鬼）
0,2035,77,主城（小炸弹）
0,2034,78,主城（大炸弹）
0,2092,124,野鹿R召唤物
0,2093,124,野鹿R召唤物
0,2091,124,野鹿召唤物（正常）
0,2113,124,野鹿召唤物（减速）
0,2005,7,男巫分身（主城）
0,2018,7,无面者分身（主城）
0,2112,124,野鹿召唤物（直线技能）
8,2094,47,一阵营上路超级炮车
8,2095,47,一阵营中路超级炮车
8,2096,47,一阵营下路超级炮车
8,2097,47,二阵营上路超级炮车
8,2098,47,二阵营中路超级炮车
8,2099,47,二阵营下路超级炮车
8,2047,88,无面者升级版分身
8,1018,2,红buff（大）
8,1020,3,蓝buff（大）
8,1069,4,河道蟹
8,1074,37,河道蟹被杀假眼怪物
8,1037,24,泉水
8,1068,6,熊
8,1072,8,鹿（大）
8,1070,10,蜘蛛（大）
8,1071,12,四鸟（大）
8,1016,14,大龙
8,1017,16,小龙
8,1019,23,红buff（小）
8,1021,27,蓝buff（小）
8,1024,28,鹿（小）
8,1022,29,蜘蛛（小1）
8,2011,29,蜘蛛（小2）
8,1023,30,四虫（小1）
8,2004,31,饰品眼
8,2003,32,洞察之眼
8,1001,39,1阵营基地水晶
8,1002,9,1阵营兵营水晶
8,1003,1,1阵营基地塔(门牙左右塔)
8,1004,1,1阵营一塔
8,1005,1,1阵营二塔
8,1031,40,2阵营基地水晶
8,1032,9,2阵营兵营水晶
8,1006,1,1阵营三塔
8,1033,1,2阵营基地塔（左右门牙塔）
8,1034,1,2阵营一塔
8,1035,1,2阵营二塔
8,1036,1,2阵营三塔
8,1010,11,一阵营近战小兵(上路)
8,1011,5,一阵营远程小兵(上路)
8,1012,41,一阵营头目小兵(上路)
8,1013,11,一阵营超级兵近战小兵(上路)
8,1014,5,一阵营超级兵远程小兵(上路)
8,1015,17,一阵营超级兵头目小兵(上路)
8,2049,11,一阵营近战小兵(中路)
8,2050,5,一阵营远程小兵(中路)
8,2051,41,一阵营头目小兵(中路)
8,2052,11,一阵营超级兵近战小兵(中路)
8,2053,5,一阵营超级兵远程小兵(中路)
8,2054,17,一阵营超级兵头目小兵(中路)
8,2055,11,一阵营近战小兵(下路)
8,2056,5,一阵营远程小兵(下路)
8,2057,41,一阵营头目小兵(下路)
8,2058,11,一阵营超级兵近战小兵(下路)
8,2059,5,一阵营超级兵远程小兵(下路)
8,2060,17,一阵营超级兵头目小兵(下路)
8,1025,11,二阵营近战小兵（上路）
8,1026,5,二阵营远程小兵（上路）
8,1027,41,二阵营头目小兵（上路）
8,1028,11,二阵营超级兵近战小兵（上路）
8,1029,5,二阵营超级兵远程小兵（上路）
8,1030,17,二阵营超级兵头目小兵（上路）
8,2061,11,二阵营近战小兵（中路）
8,2062,5,二阵营远程小兵（中路）
8,2063,41,二阵营头目小兵（中路）
8,2064,11,二阵营超级兵近战小兵（中路）
8,2065,5,二阵营超级兵远程小兵（中路）
8,2066,17,二阵营超级兵头目小兵（中路）
8,2067,11,二阵营近战小兵（下路）
8,2068,5,二阵营远程小兵（下路）
8,2069,41,二阵营头目小兵（下路）
8,2070,11,二阵营超级兵近战小兵（下路）
8,2071,5,二阵营超级兵远程小兵（下路）
8,2072,17,二阵营超级兵头目小兵（下路）
8,2005,7,男巫分身
8,2002,38,基地透明围墙
8,2013,42,布兰怪物
8,2016,43,新地图泉水
8,2017,49,补给点
8,2020,51,减速场
8,2018,50,无面者分身
8,2022,52,傀儡小龙（击杀产生）
8,2023,52,傀儡小龙（击杀产生）
8,2025,56,巨龙
8,2245,179,测试跟随测试
8,2019,68,灵界士兵
8,2034,67,炸弹人炸弹（大招）
8,2035,69,炸弹人炸弹(小技能)
8,2036,70,亡灵死侍
8,2037,70,大尸鬼
8,2048,90,大炸弹
8,2038,72,炸弹人炸弹（大招）
8,2039,70,千年尸鬼
8,2024,74,千年尸鬼
8,1075,79,小龙刷新侦查
8,2042,83,黑龙之子
8,2043,83,红龙之子
8,2044,16,烈龙
8,2045,85,驯服烈龙
8,2046,86,驯服烈龙
8,1075,79,小龙刷新侦查
8,2092,138,野鹿R植株结界
8,2093,58,野鹿R花王
8,2091,59,野鹿召唤物（正常）
