奖励ID,奖励名称,奖励图标,品质,奖励描述,广播标识,奖励类型(1召唤师经验2绑金3英雄4固定核晶5固定基因样本6随机基因样本7天赋8宝箱9特殊物品(例如改名卡、刷新卡牌商店)10增益卡11XP技能12皮肤13水晶14水晶模组15任务搜索次数16表情包),圆饼拖尾光效,模型底座光效,模型底座外发光光效,参数1（英雄ID）,参数2（皮肤ID）,参数3,参数4,参数5,备注
int,string,int,int,string,int,int,int,int,int,int,int,int,int,int,string
1,风月游侠基因盒,1,1,5份风月游侠基因样本,,5,11,17,23,1,5,,,,
2,追风箭灵基因盒,1,1,5份追风箭灵基因样本,,5,11,17,23,2,5,,,,
3,绯红之焰基因盒,1,1,5份绯红之焰基因样本,,5,11,17,23,3,5,,,,
4,绯樱剑客基因盒,1,1,5份绯樱剑客基因样本,,5,11,17,23,4,5,,,,
5,狂野巨盾基因盒,1,1,5份狂野巨盾基因样本,,5,11,17,23,5,5,,,,
6,深海蛙王基因盒,1,1,5份深海蛙王基因样本,,5,11,17,23,6,5,,,,
7,花仙子基因盒,1,1,5份花仙子基因样本,,5,11,17,23,7,5,,,,
8,蛮族之刃基因盒,1,1,5份蛮族之刃基因样本,,5,11,17,23,8,5,,,,
9,帝国之剑基因盒,1,1,5份帝国之剑基因样本,,5,11,17,23,9,5,,,,
10,灭世枪神基因盒,1,1,5份灭世枪神基因样本,,5,11,17,23,10,5,,,,
11,暗裔魔法基因盒,1,1,5份暗裔魔法基因样本,,5,11,17,23,11,5,,,,
12,圣焰之手基因盒,1,1,5份圣焰之手基因样本,,5,11,17,23,12,5,,,,
13,中土之王基因盒,1,1,5份中土之王基因样本,,5,11,17,23,13,5,,,,
14,轻灵蔷薇基因盒,1,1,5份轻灵蔷薇基因样本,,5,11,17,23,14,5,,,,
15,生化魔人基因盒,1,1,5份生化魔人基因样本,,5,11,17,23,15,5,,,,
16,异域狼灵基因盒,1,1,5份异域狼灵基因样本,,5,11,17,23,16,5,,,,
17,虚空邪镰基因盒,1,1,5份虚空邪镰基因样本,,5,11,17,23,17,5,,,,
18,圣枪战姬基因盒,1,1,5份圣枪战姬基因样本,,5,11,17,23,18,5,,,,
19,风暴龙灵基因盒,1,1,5份风暴龙灵基因样本,,5,11,17,23,19,5,,,,
20,钢铁纪元基因盒,1,1,5份钢铁纪元基因样本,,5,11,17,23,20,5,,,,
21,深渊领主基因盒,1,1,5份深渊领主基因样本,,5,11,17,23,21,5,,,,
