奖励ID,转换后奖励ID
int,int
4002,1509
4004,1509
4006,1509
4008,1509
4010,1509
4012,1509
4014,1509
4016,1509
4018,1509
4020,1509
4022,1509
4024,1509
4026,1509
4028,1509
4030,1509
4032,1509
4034,1509
4036,1509
4038,1509
4040,1509
4042,1509
4044,1509
4046,1509
4048,1509
4050,1509
4052,1509
4054,1509
4056,1509
4058,1509
4060,1509
4001,1508
4003,1508
4005,1508
4007,1508
4009,1508
4011,1508
4013,1508
4015,1508
4017,1508
4019,1508
4021,1508
4023,1508
4025,1508
4027,1508
4029,1508
4031,1508
4033,1508
4035,1508
4037,1508
4039,1508
4041,1508
4043,1508
4045,1508
4047,1508
4049,1508
4051,1508
4053,1508
4055,1508
4057,1508
4059,1508
3800,1509
3801,1509
3802,1509
3803,1509
3804,1509
3805,1509
3806,1509
3807,1509
3808,1509
