序号,描述,参数1（1为金币增益卡；2为角色经验增益卡；3为英雄经验增益卡）,参数2（1为时间卡，2为次数卡）,"参数3
（参数2为1的增益卡后参数3的数字为增益卡收益持续天数；参数2为2的增益卡后参数3的数字为增益卡的使用
次数。）","参数4（增
益的倍数）",参数5（与商城脚本价格ID关联）
int,string,int,int,int,int,int
1,3倍金币4次增益卡,1,2,4,3,7001
2,3倍金币10次增益卡,1,2,10,3,7002
3,3倍金币2天增益卡,1,1,2,3,7003
4,3倍金币7天增益卡,1,1,7,3,7004
5,2倍角色经验4次增益卡,2,2,4,2,7005
6,2倍角色经验10次增益卡,2,2,10,2,7006
7,2倍角色经验2天增益卡,2,1,2,2,7007
8,2倍角色经验7天增益卡,2,1,7,2,7008
9,2倍英雄经验单次增益卡,3,2,1,2,7009
10,2倍英雄经验1天增益卡,3,1,1,2,7010
11,2倍英雄经验3天增益卡,3,1,3,2,7011
12,2倍英雄经验7天增益卡,3,1,7,2,7012
