原石ID组,ID组下限组数字间不要有0 配是十个组 超过请联系程序,ID组上限组数字间不要有0,概率组数字间不要有0
int,string,string,string
1,1,7,100
2,8,14,100
3,15,21,100
4,22,28,100
5,29,35,100
6,36,110,100
7,111,184,100
8,185,258,100
9,259,332,100
10,333,406,100
11,407,439,100
12,440,472,100
13,473,505,100
14,506,538,100
15,539,571,100
16,572,604,100
17,605,637,100
18,638,670,100
19,671,703,100
20,704,736,100
21,737,797,100
22,798,858,100
23,859,919,100
24,920,979,100
25,980,1039,100
26,1040,1088,100
27,1089,1137,100
28,1138,1185,100
29,1186,1233,100
30,1234,1281,100
31,1282,1330,100
32,1331,1379,100
33,1380,1427,100
34,1428,1475,100
35,1476,1523,100
36,1524,1546,100
37,1547,1569,100
38,1570,1592,100
39,1593,1614,100
40,1615,1636,100
41,1637,1659,100
42,1660,1682,100
43,1683,1705,100
44,1706,1727,100
45,1728,1749,100
46,1750,1826,100
47,1827,1903,100
48,1904,1980,100
49,1981,2057,100
50,2058,2134,100
51,2135,2200,100
52,2201,2266,100
53,2267,2332,100
54,2333,2398,100
55,2399,2464,100
56,2465,2530,100
57,2531,2596,100
58,2597,2662,100
59,2663,2728,100
60,2729,2794,100
61,2795,2846,100
62,2847,2898,100
63,2899,2950,100
64,2951,3001,100
65,3002,3052,100
66,3053,3104,100
67,3105,3156,100
68,3157,3208,100
69,3209,3259,100
70,3260,3310,100
