属性ID,属性威力,宝石属性名称,宝石描述1级,效果id组(1级),改动的参数组(1级),宝石名称类型1级 (1加号;2百分比;4成长18;8扩大100),显示属性值
int,int,string,string,string,string,int,int
1,60,生命值,[blue]生命值+0.9%[/blue],3099,9000,3,9000
2,60,法穿,[blue]法穿+1.1[/blue],3104,110,1,110
3,60,法强,[blue]法强+2.8[/blue],3097,28000,9,28000
4,60,法术吸血,[blue]法术吸血+1.5%[/blue],3108,15000,3,15000
5,60,攻击,[blue]攻击+1.7[/blue],3093,17000,9,17000
6,60,护甲,[blue]护甲+3[/blue],3102,30000,9,30000
7,60,受法术伤害,[blue]受法术伤害-1.2%[/blue],5804,12000,2,12000
8,60,魔抗,[blue]魔抗+3[/blue],3101,30000,9,30000
9,60,受物理伤害,[blue]受物理伤害-2%[/blue],5803,20000,2,20000
10,60,生命值,[blue]生命值+22.5[/blue],3098,225000,9,225000
11,60,物穿,[blue]物穿+1.1[/blue],3106,110,1,110
12,60,物理吸血,[blue]物理吸血+0.8%[/blue],3109,8000,3,8000
13,70,法强,[purple]法强+3.2[/purple],3097,32000,9,32000
14,70,攻击,[purple]攻击+2[/purple],3093,20000,9,20000
15,70,护甲,[purple]护甲+3.5[/purple],3102,35000,9,35000
16,70,魔抗,[purple]魔抗+3.5[/purple],3101,35000,9,35000
17,70,生命值,[purple]生命值+26.3[/purple],3098,263000,9,263000
18,80,法强,[orange]法强+3.7[/orange],3097,37000,9,37000
19,80,攻击,[orange]攻击+2.3[/orange],3093,23000,9,23000
20,80,护甲,[orange]护甲+4[/orange],3102,40000,9,40000
21,80,魔抗,[orange]魔抗+4[/orange],3101,40000,9,40000
22,80,生命值,[orange]生命值+30[/orange],3098,300000,9,300000
23,90,法强,[green]法强+4.1[/green],3097,41000,9,41000
24,90,攻击,[green]攻击+2.6[/green],3093,26000,9,26000
25,90,护甲,[green]护甲+4.5[/green],3102,45000,9,45000
26,90,魔抗,[green]魔抗+4.5[/green],3101,45000,9,45000
27,90,生命值,[green]生命值+33.8[/green],3098,338000,9,338000
28,100,法强,[yellow]法强+4.6[/yellow],3097,46000,9,46000
29,100,攻击,[yellow]攻击+2.9[/yellow],3093,29000,9,29000
30,100,护甲,[yellow]护甲+5[/yellow],3102,50000,9,50000
31,100,魔抗,[yellow]魔抗+5[/yellow],3101,50000,9,50000
32,100,生命值,[yellow]生命值+37.5[/yellow],3098,375000,9,375000
501,70,攻击,[purple]攻击+1%[/purple],5801,10000,3,10000
502,70,生命值,[purple]生命值+1.1%[/purple],3099,11000,3,11000
503,70,法穿,[purple]法穿+2%[/purple],5800,20000,3,20000
504,70,物穿,[purple]物穿+1.6%[/purple],5799,16000,3,16000
505,70,法穿,[purple]法穿+1.3[/purple],3104,130,1,130
506,70,法术吸血,[purple]法术吸血+1.8%[/purple],3108,18000,3,18000
507,70,护甲,[purple]护甲+3.5[/purple],3102,35000,9,35000
508,70,技能伤害,[purple]技能伤害+1.8%[/purple],5799,18000,3,18000
509,70,受法术伤害,[purple]受法术伤害-1.4%[/purple],5804,14000,2,14000
510,70,魔抗,[purple]魔抗+3.5[/purple],3101,35000,9,35000
511,70,受物理伤害,[purple]受物理伤害-2.3%[/purple],5803,23000,2,23000
512,70,生命值,[purple]生命值+26.3[/purple],3098,263000,9,263000
513,70,物穿,[purple]物穿+1.3[/purple],3106,130,1,130
514,70,物理吸血,[purple]物理吸血+0.9%[/purple],3109,9000,3,9000
515,80,攻击,[orange]攻击+1.1%[/orange],5801,11000,3,11000
516,80,生命值,[orange]生命值+1.2%[/orange],3099,12000,3,12000
517,80,法穿,[orange]法穿+2.3%[/orange],5800,23000,3,23000
518,80,法穿,[orange]法穿+1.5[/orange],3104,150,1,150
519,80,法术吸血,[orange]法术吸血+2%[/orange],3108,20000,3,20000
520,80,技能伤害,[orange]技能伤害+2%[/orange],5799,20000,3,20000
521,80,受法术伤害,[orange]受法术伤害-1.6%[/orange],5804,16000,2,16000
522,80,普攻系数,[orange]普攻系数+3.2%[/orange],3094,32000,3,32000
523,80,受物理伤害,[orange]受物理伤害-2.7%[/orange],5803,27000,2,27000
524,80,物穿,[orange]物穿+1.5[/orange],3106,150,1,150
525,80,物理吸血,[orange]物理吸血+1.1%[/orange],3109,11000,3,11000
526,90,攻击,[green]攻击+1.3%[/green],5801,13000,3,13000
527,90,生命值,[green]生命值+1.4%[/green],3099,14000,3,14000
528,90,法穿,[green]法穿+2.6%[/green],5800,26000,3,26000
529,90,物穿,[green]物穿+2%[/green],5799,20000,3,20000
530,90,法穿,[green]法穿+1.6[/green],3104,160,1,160
531,90,法术吸血,[green]法术吸血+2.3%[/green],3108,23000,3,23000
532,90,技能伤害,[green]技能伤害+2.3%[/green],5799,23000,3,23000
533,90,受法术伤害,[green]受法术伤害-1.8%[/green],5804,18000,2,18000
534,90,普攻系数,[green]普攻系数+3.6%[/green],3094,36000,3,36000
535,90,受物理伤害,[green]受物理伤害-3%[/green],5803,30000,2,30000
536,90,物穿,[green]物穿+1.6[/green],3106,160,1,160
537,90,物理吸血,[green]物理吸血+1.2%[/green],3109,12000,3,12000
538,100,攻击,[yellow]攻击+1.4%[/yellow],5801,14000,3,14000
539,100,生命值,[yellow]生命值+1.5%[/yellow],3099,15000,3,15000
540,100,法穿,[yellow]法穿+2.9%[/yellow],5800,29000,3,29000
541,100,物穿,[yellow]物穿+2.3%[/yellow],5799,23000,3,23000
542,100,法穿,[yellow]法穿+1.8[/yellow],3104,180,1,180
543,100,法术吸血,[yellow]法术吸血+2.5%[/yellow],3108,25000,3,25000
544,100,技能伤害,[yellow]技能伤害+2.5%[/yellow],5799,25000,3,25000
545,100,受法术伤害,[yellow]受法术伤害-2%[/yellow],5804,20000,2,20000
546,100,普攻系数,[yellow]普攻系数+4%[/yellow],3094,40000,3,40000
547,100,受物理伤害,[yellow]受物理伤害-3.3%[/yellow],5803,33000,2,33000
548,100,物穿,[yellow]物穿+1.8[/yellow],3106,180,1,180
549,100,物理吸血,[yellow]物理吸血+1.3%[/yellow],3109,13000,3,13000
1001,20,法力回复,[green]法力回复+2%[/green],6236,20000,3,20000
1002,20,生命回复,[green]生命回复+2%[/green],6235,20000,3,20000
1003,20,移动速度,[green]移动速度+0.2%[/green],3110,2000,3,2000
1004,20,最大体力,[green]最大体力+2[/green],6234,200,1,200
1005,40,法力回复,[yellow]法力回复+4%[/yellow],6236,40000,3,40000
1006,40,生命回复,[yellow]生命回复+4%[/yellow],6235,40000,3,40000
1007,40,移动速度,[yellow]移动速度+0.4%[/yellow],3110,4000,3,4000
1008,40,最大体力,[yellow]最大体力+4[/yellow],6234,400,1,400
101,60,生命值,[gray]生命值+0.72%  ↓[/gray],3099,7200,3,7200
102,60,法穿,[gray]法穿+0.9  ↓[/gray],3104,90,1,90
103,60,法强,[gray]法强+2.2  ↓[/gray],3097,22000,9,22000
104,60,法术吸血,[gray]法术吸血+1.2%  ↓[/gray],3108,12000,3,12000
105,60,攻击,[gray]攻击+1.4  ↓[/gray],3093,14000,9,14000
106,60,护甲,[gray]护甲+2.4  ↓[/gray],3102,24000,9,24000
107,60,受法术伤害,[gray]受法术伤害-0.96%  ↓[/gray],5804,9600,2,9600
108,60,魔抗,[gray]魔抗+2.4  ↓[/gray],3101,24000,9,24000
109,60,受物理伤害,[gray]受物理伤害-1.6%  ↓[/gray],5803,16000,2,16000
110,60,生命值,[gray]生命值+18  ↓[/gray],3098,180000,9,180000
111,60,物穿,[gray]物穿+0.9  ↓[/gray],3106,90,1,90
112,60,物理吸血,[gray]物理吸血+0.64%  ↓[/gray],3109,6400,3,6400
113,70,法强,[gray]法强+2.6  ↓[/gray],3097,26000,9,26000
114,70,攻击,[gray]攻击+1.6  ↓[/gray],3093,16000,9,16000
115,70,护甲,[gray]护甲+2.8  ↓[/gray],3102,28000,9,28000
116,70,魔抗,[gray]魔抗+2.8  ↓[/gray],3101,28000,9,28000
117,70,生命值,[gray]生命值+21  ↓[/gray],3098,210000,9,210000
118,80,法强,[gray]法强+3  ↓[/gray],3097,30000,9,30000
119,80,攻击,[gray]攻击+1.8  ↓[/gray],3093,18000,9,18000
120,80,护甲,[gray]护甲+3.2  ↓[/gray],3102,32000,9,32000
121,80,魔抗,[gray]魔抗+3.2  ↓[/gray],3101,32000,9,32000
122,80,生命值,[gray]生命值+24  ↓[/gray],3098,240000,9,240000
123,90,法强,[gray]法强+3.3  ↓[/gray],3097,33000,9,33000
124,90,攻击,[gray]攻击+2.1  ↓[/gray],3093,21000,9,21000
125,90,护甲,[gray]护甲+3.6  ↓[/gray],3102,36000,9,36000
126,90,魔抗,[gray]魔抗+3.6  ↓[/gray],3101,36000,9,36000
127,90,生命值,[gray]生命值+27  ↓[/gray],3098,270000,9,270000
128,100,法强,[gray]法强+3.7  ↓[/gray],3097,37000,9,37000
129,100,攻击,[gray]攻击+2.3  ↓[/gray],3093,23000,9,23000
130,100,护甲,[gray]护甲+4  ↓[/gray],3102,40000,9,40000
131,100,魔抗,[gray]魔抗+4  ↓[/gray],3101,40000,9,40000
132,100,生命值,[gray]生命值+30  ↓[/gray],3098,300000,9,300000
601,70,攻击,[gray]攻击+0.8%  ↓[/gray],5801,8000,3,8000
602,70,生命值,[gray]生命值+0.88%  ↓[/gray],3099,8800,3,8800
603,70,法穿,[gray]法穿+1.6%  ↓[/gray],5800,16000,3,16000
604,70,物穿,[gray]物穿+1.28%  ↓[/gray],5799,12800,3,12800
605,70,法穿,[gray]法穿+1  ↓[/gray],3104,100,1,100
606,70,法术吸血,[gray]法术吸血+1.44%  ↓[/gray],3108,14400,3,14400
607,70,护甲,[gray]护甲+2.8  ↓[/gray],3102,28000,9,28000
608,70,技能伤害,[gray]技能伤害+1.44%  ↓[/gray],5799,14400,3,14400
609,70,受法术伤害,[gray]受法术伤害-1.12%  ↓[/gray],5804,11200,2,11200
610,70,魔抗,[gray]魔抗+2.8  ↓[/gray],3101,28000,9,28000
611,70,受物理伤害,[gray]受物理伤害-1.84%  ↓[/gray],5803,18400,2,18400
