宝石ID,宝石名称,宝石图标,原石ID组,最高品级,灵气上限,升级灵气条件,1级属性组,2级属性组,3级属性组,4级属性组,5级属性组,6级属性组,陈旧属性组,原石外观,开窗外观,1级外观(模型ID),2级外观,3级外观,4级外观,5级外观,6级外观,陈旧外观,出售价,增加抛光进度上限,消耗总金币,消耗总点券,增加进度值,2倍暴击率,5倍暴击率,10倍暴击率
int,string,int,int,int,int,nstring,nstring,nstring,nstring,nstring,nstring,nstring,nstring,int,int,int,int,int,int,int,int,int,nstring,int,int,int,int,int,int,int
1,[blue][普通]生命核晶[/blue],257,1,2,240,240;240;240;240;240;240,1;,1;,1;,1;,1;,1;,101;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
2,[blue][普通]智慧核晶[/blue],257,1,2,240,240;240;240;240;240;240,2;,2;,2;,2;,2;,2;,102;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
3,[blue][普通]智慧核晶[/blue],257,1,2,240,240;240;240;240;240;240,3;,3;,3;,3;,3;,3;,103;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
4,[blue][普通]智慧核晶[/blue],257,1,2,240,240;240;240;240;240;240,4;,4;,4;,4;,4;,4;,104;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
5,[blue][普通]英勇核晶[/blue],257,1,2,240,240;240;240;240;240;240,5;,5;,5;,5;,5;,5;,105;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
6,[blue][普通]大地核晶[/blue],257,1,2,240,240;240;240;240;240;240,6;,6;,6;,6;,6;,6;,106;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
7,[blue][普通]庇护核晶[/blue],257,1,2,240,240;240;240;240;240;240,7;,7;,7;,7;,7;,7;,107;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
8,[blue][普通]庇护核晶[/blue],257,1,2,240,240;240;240;240;240;240,8;,8;,8;,8;,8;,8;,108;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
9,[blue][普通]大地核晶[/blue],257,1,2,240,240;240;240;240;240;240,9;,9;,9;,9;,9;,9;,109;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
10,[blue][普通]生命核晶[/blue],257,1,2,240,240;240;240;240;240;240,10;,10;,10;,10;,10;,10;,110;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
11,[blue][普通]英勇核晶[/blue],257,1,2,240,240;240;240;240;240;240,11;,11;,11;,11;,11;,11;,111;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
12,[blue][普通]英勇核晶[/blue],257,1,2,240,240;240;240;240;240;240,12;,12;,12;,12;,12;,12;,112;,,,8,8,8,8,8,8,8,100;100;100;100;100;100;100,100,200,0,100,0,0,0
13,[purple][优质]生命核晶[/purple],66,1,3,240,240;240;240;240;240;240,17;501,17;501,17;501,17;501,17;501,17;501,117;601,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
14,[purple][优质]大地核晶[/purple],66,1,3,240,240;240;240;240;240;240,15;502,15;502,15;502,15;502,15;502,15;502,115;602,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
15,[purple][优质]庇护核晶[/purple],66,1,3,240,240;240;240;240;240;240,16;502,16;502,16;502,16;502,16;502,16;502,116;602,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
16,[purple][优质]智慧核晶[/purple],66,1,3,240,240;240;240;240;240;240,13;503,13;503,13;503,13;503,13;503,13;503,113;603,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
17,[purple][优质]英勇核晶[/purple],66,1,3,240,240;240;240;240;240;240,14;504,14;504,14;504,14;504,14;504,14;504,114;604,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
