标签ID描述,装备标签ID
string,int
[size=18][yellow]策略道具[/yellow][/size],1
[size=18][yellow]物理攻击[/yellow][/size],2
[size=18][yellow]法术攻击[/yellow][/size],3
[size=18][yellow]防御[/yellow][/size],4
[size=18][yellow]辅助装[/yellow][/size],5
[size=18][yellow]打野[/yellow][/size],6
[size=18][yellow]移速[/yellow][/size],7
 策略道具,1001
 超始装备,1002
 攻击力,2001
 攻击速度,2002
 物理穿透,2003
 暴击,2004
 冷却缩减,2005
 吸血回复,2006
 法力值,2007
 法强,3001
 冷却缩减,3002
 法术穿透,3003
 法力值,3004
 吸血回复,3005
法力回复,3006
 生命值,4001
 护甲,4002
 魔抗,4003
 冷却缩减,4004
 生命回复,4005
 法力值,4006
 辅助,5001
 打野,6001
 移速,7001
