勋章ID,勋章等级,勋章名称,勋章图标,勋章框图标,英雄列表,描述,控制标识
int,int ,string,int,int,string,string,int
1,4,风月游侠,1,1,1,[yellow]珍稀英雄勋章：风月游侠<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
2,4,追风箭灵,2,1,2,[yellow]珍稀英雄勋章：追风箭灵<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
3,3,绯红之焰,3,2,3,[yellow]珍稀英雄勋章：绯红之焰<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
4,4,绯樱剑客,4,1,4,[yellow]珍稀英雄勋章：绯樱剑客<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
5,4,狂野巨盾,5,1,5,[yellow]珍稀英雄勋章：狂野巨盾<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
6,4,深海蛙王,6,1,6,[yellow]珍稀英雄勋章：深海蛙王<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
7,3,花仙子,7,2,7,[yellow]珍稀英雄勋章：花仙子<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
8,4,蛮族之刃,8,1,8,[yellow]珍稀英雄勋章：蛮族之刃<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
9,4,帝国之剑,9,1,9,[yellow]珍稀英雄勋章：帝国之剑<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
10,3,灭世枪神,10,2,10,[yellow]珍稀英雄勋章：灭世枪神<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
11,3,暗裔魔法师,11,2,11,[yellow]珍稀英雄勋章：暗裔魔法师<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
12,3,圣焰之手,12,2,12,[yellow]珍稀英雄勋章：圣焰之手<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
13,3,中土之王,13,2,13,[yellow]珍稀英雄勋章：中土之王<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
14,3,轻灵蔷薇,14,2,14,[yellow]珍稀英雄勋章：轻灵蔷薇<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
15,4,生化魔人,15,1,15,[yellow]珍稀英雄勋章：生化魔人<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
16,3,异域狼灵,16,2,16,[yellow]珍稀英雄勋章：异域狼灵<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
17,4,虚空邪镰,17,1,17,[yellow]珍稀英雄勋章：虚空邪镰<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
18,3,圣枪战姬,18,2,18,[yellow]珍稀英雄勋章：圣枪战姬<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
19,3,风暴龙灵,19,2,19,[yellow]珍稀英雄勋章：风暴龙灵<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
