召唤师等级,比赛类型,日次数,周次数,胜利数量1,胜利1概率,胜利数量2,胜利2概率,胜利数量3,胜利3概率
int,int,int,int,int,int,int,int,int,int
1,1,0,0,2,300000,3,400000,4,300000
2,1,0,0,2,300000,3,400000,4,300000
3,1,0,0,2,300000,3,400000,4,300000
4,1,0,0,2,300000,3,400000,4,300000
5,1,0,0,2,300000,3,400000,4,300000
6,1,0,0,2,300000,3,400000,4,300000
7,1,0,0,2,300000,3,400000,4,300000
8,1,0,0,2,300000,3,400000,4,300000
9,1,0,0,2,300000,3,400000,4,300000
10,1,0,0,2,300000,3,400000,4,300000
11,1,0,0,2,300000,3,400000,4,300000
12,1,0,0,2,300000,3,400000,4,300000
13,1,0,0,2,300000,3,400000,4,300000
14,1,0,0,2,300000,3,400000,4,300000
15,1,0,0,2,300000,3,400000,4,300000
16,1,0,0,2,300000,3,400000,4,300000
17,1,0,0,2,300000,3,400000,4,300000
18,1,0,0,2,300000,3,400000,4,300000
19,1,0,0,2,300000,3,400000,4,300000
20,1,0,0,2,300000,3,400000,4,300000
21,1,0,0,2,300000,3,400000,4,300000
22,1,0,0,2,300000,3,400000,4,300000
23,1,0,0,2,300000,3,400000,4,300000
24,1,0,0,2,300000,3,400000,4,300000
25,1,0,0,2,300000,3,400000,4,300000
26,1,0,0,2,300000,3,400000,4,300000
27,1,0,0,2,300000,3,400000,4,300000
28,1,0,0,2,300000,3,400000,4,300000
29,1,0,0,2,300000,3,400000,4,300000
30,1,0,0,2,300000,3,400000,4,300000
31,1,0,0,2,300000,3,400000,4,300000
32,1,0,0,2,300000,3,400000,4,300000
33,1,0,0,2,300000,3,400000,4,300000
34,1,0,0,2,300000,3,400000,4,300000
35,1,0,0,2,300000,3,400000,4,300000
36,1,0,0,2,300000,3,400000,4,300000
37,1,0,0,2,300000,3,400000,4,300000
38,1,0,0,2,300000,3,400000,4,300000
39,1,0,0,2,300000,3,400000,4,300000
40,1,0,0,2,300000,3,400000,4,300000
41,1,0,0,2,300000,3,400000,4,300000
42,1,0,0,2,300000,3,400000,4,300000
43,1,0,0,2,300000,3,400000,4,300000
44,1,0,0,2,300000,3,400000,4,300000
45,1,0,0,2,300000,3,400000,4,300000
46,1,0,0,2,300000,3,400000,4,300000
47,1,0,0,2,300000,3,400000,4,300000
48,1,0,0,2,300000,3,400000,4,300000
49,1,0,0,2,300000,3,400000,4,300000
50,1,0,0,2,300000,3,400000,4,300000
51,1,0,0,2,300000,3,400000,4,300000
52,1,0,0,2,300000,3,400000,4,300000
53,1,0,0,2,300000,3,400000,4,300000
54,1,0,0,2,300000,3,400000,4,300000
55,1,0,0,2,300000,3,400000,4,300000
56,1,0,0,2,300000,3,400000,4,300000
57,1,0,0,2,300000,3,400000,4,300000
58,1,0,0,2,300000,3,400000,4,300000
59,1,0,0,2,300000,3,400000,4,300000
60,1,0,0,2,300000,3,400000,4,300000
61,1,0,0,2,300000,3,400000,4,300000
62,1,0,0,2,300000,3,400000,4,300000
63,1,0,0,2,300000,3,400000,4,300000
64,1,0,0,2,300000,3,400000,4,300000
65,1,0,0,2,300000,3,400000,4,300000
66,1,0,0,2,300000,3,400000,4,300000
67,1,0,0,2,300000,3,400000,4,300000
68,1,0,0,2,300000,3,400000,4,300000
69,1,0,0,2,300000,3,400000,4,300000
70,1,0,0,2,300000,3,400000,4,300000
71,1,0,0,2,300000,3,400000,4,300000
72,1,0,0,2,300000,3,400000,4,300000
73,1,0,0,2,300000,3,400000,4,300000
74,1,0,0,2,300000,3,400000,4,300000
75,1,0,0,2,300000,3,400000,4,300000
76,1,0,0,2,300000,3,400000,4,300000
77,1,0,0,2,300000,3,400000,4,300000
78,1,0,0,2,300000,3,400000,4,300000
79,1,0,0,2,300000,3,400000,4,300000
80,1,0,0,2,300000,3,400000,4,300000
81,1,0,0,2,300000,3,400000,4,300000
82,1,0,0,2,300000,3,400000,4,300000
83,1,0,0,2,300000,3,400000,4,300000
84,1,0,0,2,300000,3,400000,4,300000
85,1,0,0,2,300000,3,400000,4,300000
86,1,0,0,2,300000,3,400000,4,300000
87,1,0,0,2,300000,3,400000,4,300000
88,1,0,0,2,300000,3,400000,4,300000
89,1,0,0,2,300000,3,400000,4,300000
90,1,0,0,2,300000,3,400000,4,300000
