召唤师等级,使用英雄分配概率,队友英雄分配概率,私有英雄分配概率,周免英雄分配概率
int,int,int,int,int
1,1000000,0,0,0
2,1000000,0,0,0
3,1000000,0,0,0
4,1000000,0,0,0
5,1000000,0,0,0
6,1000000,0,0,0
7,1000000,0,0,0
8,750000,100000,100000,50000
9,750000,100000,100000,50000
10,750000,100000,100000,50000
11,600000,200000,150000,50000
12,600000,200000,150000,50000
13,600000,200000,150000,50000
14,600000,200000,150000,50000
15,600000,200000,150000,50000
16,600000,200000,150000,50000
17,600000,200000,150000,50000
18,600000,200000,150000,50000
19,600000,200000,150000,50000
20,600000,200000,150000,50000
21,500000,250000,150000,100000
22,500000,250000,150000,100000
23,500000,250000,150000,100000
24,500000,250000,150000,100000
25,500000,250000,150000,100000
26,500000,250000,150000,100000
27,500000,250000,150000,100000
28,500000,250000,150000,100000
29,500000,250000,150000,100000
30,500000,250000,150000,100000
31,500000,250000,150000,100000
32,500000,250000,150000,100000
33,500000,250000,150000,100000
34,500000,250000,150000,100000
35,500000,250000,150000,100000
36,500000,250000,150000,100000
37,500000,250000,150000,100000
38,500000,250000,150000,100000
39,500000,250000,150000,100000
40,500000,250000,150000,100000
41,500000,250000,150000,100000
42,500000,250000,150000,100000
43,500000,250000,150000,100000
44,500000,250000,150000,100000
45,500000,250000,150000,100000
46,500000,250000,150000,100000
47,500000,250000,150000,100000
48,500000,250000,150000,100000
49,500000,250000,150000,100000
50,500000,250000,150000,100000
51,500000,250000,150000,100000
52,500000,250000,150000,100000
53,500000,250000,150000,100000
54,500000,250000,150000,100000
55,500000,250000,150000,100000
56,500000,250000,150000,100000
57,500000,250000,150000,100000
58,500000,250000,150000,100000
59,500000,250000,150000,100000
60,500000,250000,150000,100000
61,500000,250000,150000,100000
62,500000,250000,150000,100000
63,500000,250000,150000,100000
64,500000,250000,150000,100000
65,500000,250000,150000,100000
66,500000,250000,150000,100000
67,500000,250000,150000,100000
68,500000,250000,150000,100000
69,500000,250000,150000,100000
70,500000,250000,150000,100000
71,500000,250000,150000,100000
72,500000,250000,150000,100000
73,500000,250000,150000,100000
74,500000,250000,150000,100000
75,500000,250000,150000,100000
76,500000,250000,150000,100000
77,500000,250000,150000,100000
78,500000,250000,150000,100000
79,500000,250000,150000,100000
80,500000,250000,150000,100000
81,500000,250000,150000,100000
82,500000,250000,150000,100000
83,500000,250000,150000,100000
84,500000,250000,150000,100000
85,500000,250000,150000,100000
86,500000,250000,150000,100000
87,500000,250000,150000,100000
88,500000,250000,150000,100000
89,500000,250000,150000,100000
90,500000,250000,150000,100000
91,500000,250000,150000,100000
92,500000,250000,150000,100000
93,500000,250000,150000,100000
94,500000,250000,150000,100000
95,500000,250000,150000,100000
96,500000,250000,150000,100000
97,500000,250000,150000,100000
98,500000,250000,150000,100000
99,500000,250000,150000,100000
100,500000,250000,150000,100000
101,500000,250000,150000,100000
102,500000,250000,150000,100000
103,500000,250000,150000,100000
104,500000,250000,150000,100000
105,500000,250000,150000,100000
106,500000,250000,150000,100000
107,500000,250000,150000,100000
108,500000,250000,150000,100000
109,500000,250000,150000,100000
110,500000,250000,150000,100000
111,500000,250000,150000,100000
112,500000,250000,150000,100000
113,500000,250000,150000,100000
114,500000,250000,150000,100000
115,500000,250000,150000,100000
116,500000,250000,150000,100000
117,500000,250000,150000,100000
118,500000,250000,150000,100000
119,500000,250000,150000,100000
120,500000,250000,150000,100000
121,500000,250000,150000,100000
122,500000,250000,150000,100000
123,500000,250000,150000,100000
124,500000,250000,150000,100000
125,500000,250000,150000,100000
126,500000,250000,150000,100000
127,500000,250000,150000,100000
128,500000,250000,150000,100000
129,500000,250000,150000,100000
130,500000,250000,150000,100000
131,500000,250000,150000,100000
132,500000,250000,150000,100000
133,500000,250000,150000,100000
134,500000,250000,150000,100000
135,500000,250000,150000,100000
136,500000,250000,150000,100000
137,500000,250000,150000,100000
138,500000,250000,150000,100000
139,500000,250000,150000,100000
140,500000,250000,150000,100000
141,500000,250000,150000,100000
142,500000,250000,150000,100000
143,500000,250000,150000,100000
144,500000,250000,150000,100000
145,500000,250000,150000,100000
146,500000,250000,150000,100000
147,500000,250000,150000,100000
148,500000,250000,150000,100000
149,500000,250000,150000,100000
150,500000,250000,150000,100000
151,500000,250000,150000,100000
152,500000,250000,150000,100000
153,500000,250000,150000,100000
154,500000,250000,150000,100000
155,500000,250000,150000,100000
156,500000,250000,150000,100000
