成长属性ID,星级血量,星级血量成长,星级血量成长率,星级血量成长率成长,星级魔法,星级魔法成长,星级魔法成长率,星级魔法成长率成长,星级物理攻击,星级物理攻击成长,星级物理攻击成长率,星级物理攻击成长率成长,星级法术攻击,星级法术攻击成长,星级法术攻击成长率,星级法术攻击成长率成长,星级物理防御,星级物理防御成长,星级物理防御成长率,星级物理防御成长率成长,星级法术防御,星级法术防御成长,星级法术防御成长率,星级法术防御成长率成长
int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
101,0,0,30,0,0,0,20,0,0,0,5.56,0,0,0,0,0,0,0,2,0,0,0,2,0
102,0,0,60,0,0,0,40,0,0,0,11.11,0,0,0,0,0,0,0,4,0,0,0,4,0
103,0,0,90,0,0,0,60,0,0,0,16.67,0,0,0,0,0,0,0,6,0,0,0,6,0
104,0,0,120,0,0,0,80,0,0,0,22.22,0,0,0,0,0,0,0,8,0,0,0,8,0
105,0,0,150,0,0,0,100,0,0,0,27.78,0,0,0,0,0,0,0,10,0,0,0,10,0
106,0,0,180,0,0,0,120,0,0,0,33.33,0,0,0,0,0,0,0,12,0,0,0,12,0
107,0,0,210,0,0,0,140,0,0,0,38.89,0,0,0,0,0,0,0,14,0,0,0,14,0
108,0,0,240,0,0,0,160,0,0,0,44.44,0,0,0,0,0,0,0,16,0,0,0,16,0
109,0,0,270,0,0,0,180,0,0,0,50,0,0,0,0,0,0,0,18,0,0,0,18,0
110,0,0,300,0,0,0,200,0,0,0,55.56,0,0,0,0,0,0,0,20,0,0,0,20,0
111,0,0,330,0,0,0,220,0,0,0,61.11,0,0,0,0,0,0,0,22,0,0,0,22,0
112,0,0,360,0,0,0,240,0,0,0,66.67,0,0,0,0,0,0,0,24,0,0,0,24,0
113,0,0,390,0,0,0,260,0,0,0,72.22,0,0,0,0,0,0,0,26,0,0,0,26,0
114,0,0,419,0,0,0,280,0,0,0,77.78,0,0,0,0,0,0,0,28,0,0,0,28,0
115,0,0,449,0,0,0,300,0,0,0,83.33,0,0,0,0,0,0,0,30,0,0,0,30,0
116,0,0,479,0,0,0,320,0,0,0,88.89,0,0,0,0,0,0,0,32,0,0,0,32,0
117,0,0,509,0,0,0,340,0,0,0,94.44,0,0,0,0,0,0,0,34,0,0,0,34,0
118,0,0,539,0,0,0,360,0,0,0,100,0,0,0,0,0,0,0,36,0,0,0,36,0
119,0,0,569,0,0,0,380,0,0,0,105.56,0,0,0,0,0,0,0,38,0,0,0,38,0
120,0,0,599,0,0,0,400,0,0,0,111.11,0,0,0,0,0,0,0,40,0,0,0,40,0
121,0,0,629,0,0,0,420,0,0,0,116.67,0,0,0,0,0,0,0,42,0,0,0,42,0
122,0,0,659,0,0,0,440,0,0,0,122.22,0,0,0,0,0,0,0,44,0,0,0,44,0
123,0,0,689,0,0,0,460,0,0,0,127.78,0,0,0,0,0,0,0,46,0,0,0,46,0
124,0,0,719,0,0,0,480,0,0,0,133.33,0,0,0,0,0,0,0,48,0,0,0,48,0
125,0,0,749,0,0,0,500,0,0,0,138.89,0,0,0,0,0,0,0,50,0,0,0,50,0
126,0,0,779,0,0,0,520,0,0,0,144.44,0,0,0,0,0,0,0,52,0,0,0,52,0
127,0,0,809,0,0,0,540,0,0,0,150,0,0,0,0,0,0,0,54,0,0,0,54,0
128,0,0,839,0,0,0,560,0,0,0,155.56,0,0,0,0,0,0,0,56,0,0,0,56,0
129,0,0,869,0,0,0,580,0,0,0,161.11,0,0,0,0,0,0,0,58,0,0,0,58,0
130,0,0,899,0,0,0,600,0,0,0,166.67,0,0,0,0,0,0,0,60,0,0,0,60,0
201,0,0,30,0,0,0,20,0,0,0,5.56,0,0,0,0,0,0,0,2,0,0,0,2,0
202,0,0,60,0,0,0,40,0,0,0,11.11,0,0,0,0,0,0,0,4,0,0,0,4,0
203,0,0,90,0,0,0,60,0,0,0,16.67,0,0,0,0,0,0,0,6,0,0,0,6,0
204,0,0,120,0,0,0,80,0,0,0,22.22,0,0,0,0,0,0,0,8,0,0,0,8,0
205,0,0,150,0,0,0,100,0,0,0,27.78,0,0,0,0,0,0,0,10,0,0,0,10,0
206,0,0,180,0,0,0,120,0,0,0,33.33,0,0,0,0,0,0,0,12,0,0,0,12,0
207,0,0,210,0,0,0,140,0,0,0,38.89,0,0,0,0,0,0,0,14,0,0,0,14,0
208,0,0,240,0,0,0,160,0,0,0,44.44,0,0,0,0,0,0,0,16,0,0,0,16,0
209,0,0,270,0,0,0,180,0,0,0,50,0,0,0,0,0,0,0,18,0,0,0,18,0
210,0,0,300,0,0,0,200,0,0,0,55.56,0,0,0,0,0,0,0,20,0,0,0,20,0
211,0,0,330,0,0,0,220,0,0,0,61.11,0,0,0,0,0,0,0,22,0,0,0,22,0
212,0,0,360,0,0,0,240,0,0,0,66.67,0,0,0,0,0,0,0,24,0,0,0,24,0
213,0,0,390,0,0,0,260,0,0,0,72.22,0,0,0,0,0,0,0,26,0,0,0,26,0
214,0,0,419,0,0,0,280,0,0,0,77.78,0,0,0,0,0,0,0,28,0,0,0,28,0
215,0,0,449,0,0,0,300,0,0,0,83.33,0,0,0,0,0,0,0,30,0,0,0,30,0
216,0,0,479,0,0,0,320,0,0,0,88.89,0,0,0,0,0,0,0,32,0,0,0,32,0
217,0,0,509,0,0,0,340,0,0,0,94.44,0,0,0,0,0,0,0,34,0,0,0,34,0
218,0,0,539,0,0,0,360,0,0,0,100,0,0,0,0,0,0,0,36,0,0,0,36,0
219,0,0,569,0,0,0,380,0,0,0,105.56,0,0,0,0,0,0,0,38,0,0,0,38,0
220,0,0,599,0,0,0,400,0,0,0,111.11,0,0,0,0,0,0,0,40,0,0,0,40,0
221,0,0,629,0,0,0,420,0,0,0,116.67,0,0,0,0,0,0,0,42,0,0,0,42,0
222,0,0,659,0,0,0,440,0,0,0,122.22,0,0,0,0,0,0,0,44,0,0,0,44,0
223,0,0,689,0,0,0,460,0,0,0,127.78,0,0,0,0,0,0,0,46,0,0,0,46,0
224,0,0,719,0,0,0,480,0,0,0,133.33,0,0,0,0,0,0,0,48,0,0,0,48,0
225,0,0,749,0,0,0,500,0,0,0,138.89,0,0,0,0,0,0,0,50,0,0,0,50,0
226,0,0,779,0,0,0,520,0,0,0,144.44,0,0,0,0,0,0,0,52,0,0,0,52,0
227,0,0,809,0,0,0,540,0,0,0,150,0,0,0,0,0,0,0,54,0,0,0,54,0
228,0,0,839,0,0,0,560,0,0,0,155.56,0,0,0,0,0,0,0,56,0,0,0,56,0
229,0,0,869,0,0,0,580,0,0,0,161.11,0,0,0,0,0,0,0,58,0,0,0,58,0
230,0,0,899,0,0,0,600,0,0,0,166.67,0,0,0,0,0,0,0,60,0,0,0,60,0
301,0,0,30,0,0,0,20,0,0,0,0,0,0,0,9.22,0,0,0,2,0,0,0,2,0
302,0,0,60,0,0,0,40,0,0,0,0,0,0,0,18.43,0,0,0,4,0,0,0,4,0
303,0,0,90,0,0,0,60,0,0,0,0,0,0,0,27.65,0,0,0,6,0,0,0,6,0
304,0,0,120,0,0,0,80,0,0,0,0,0,0,0,36.87,0,0,0,8,0,0,0,8,0
305,0,0,150,0,0,0,100,0,0,0,0,0,0,0,46.08,0,0,0,10,0,0,0,10,0
306,0,0,180,0,0,0,120,0,0,0,0,0,0,0,55.3,0,0,0,12,0,0,0,12,0
307,0,0,210,0,0,0,140,0,0,0,0,0,0,0,64.52,0,0,0,14,0,0,0,14,0
308,0,0,240,0,0,0,160,0,0,0,0,0,0,0,73.73,0,0,0,16,0,0,0,16,0
309,0,0,270,0,0,0,180,0,0,0,0,0,0,0,82.95,0,0,0,18,0,0,0,18,0
310,0,0,300,0,0,0,200,0,0,0,0,0,0,0,92.17,0,0,0,20,0,0,0,20,0
311,0,0,330,0,0,0,220,0,0,0,0,0,0,0,101.38,0,0,0,22,0,0,0,22,0
312,0,0,360,0,0,0,240,0,0,0,0,0,0,0,110.6,0,0,0,24,0,0,0,24,0
