英雄职业ID,战场ID,推荐线路ID,推荐人数,英雄名称
int,int,int,int,string
2,8,25,2,森灵游侠
3,8,24,1,红女巫
18,8,25,2,枪火之歌
12,8,24,1,圣焰之手
13,8,23,2,嗜酒雄君
8,8,23,2,草原飞鹰
7,8,25,2,花仙子
14,8,23,2,轻灵蔷薇
20,8,25,2,蒸汽雄心
9,8,23,2,王国之剑
15,8,23,,尸鬼
17,8,24,,绿先知
19,8,24,,龙母
22,8,25,,小鱼人
24,8,23,,无面者
28,8,25,,小炮
32,8,25,,鱼姬
34,8,23,,兽宝
35,8,23,,收割者
36,8,25,,战警
1,8,25,,李寻欢
5,8,25,,巨盾勇士
6,8,24,,青蛙
27,8,23,,李小龙
26,8,24,,异鬼
31,8,24,,龙猫
29,8,24,,炸弹人
4,8,23,,东洋
21,8,23,,虫子
25,8,23,,时空幻象
11,8,24,,男巫
10,8,25,,红毒蛇
33,8,24,,鹿灵
2,9,34,2,森灵游侠
3,9,34,2,红女巫
18,9,34,2,枪火之歌
12,9,34,2,圣焰之手
13,9,34,2,嗜酒雄君
8,9,34,2,草原飞鹰
7,9,34,2,花仙子
14,9,34,2,轻灵蔷薇
20,9,34,2,蒸汽雄心
9,9,34,2,王国之剑
2,13,34,2,森灵游侠
3,13,34,2,红女巫
18,13,34,2,枪火之歌
12,13,34,2,圣焰之手
13,13,34,2,嗜酒雄君
8,13,34,2,草原飞鹰
7,13,34,2,花仙子
14,13,34,2,轻灵蔷薇
20,13,34,2,蒸汽雄心
9,13,34,2,王国之剑
2,14,25,2,森灵游侠
3,14,24,1,红女巫
18,14,25,2,枪火之歌
12,14,24,1,圣焰之手
13,14,23,2,嗜酒雄君
8,14,23,2,草原飞鹰
7,14,25,2,花仙子
14,14,23,2,轻灵蔷薇
20,14,25,2,蒸汽雄心
9,14,23,2,王国之剑
15,14,23,,尸鬼
17,14,24,,绿先知
19,14,24,,龙母
22,14,25,,小鱼人
24,14,23,,无面者
28,14,25,,小炮
32,14,25,,鱼姬
34,14,23,,兽宝
35,14,23,,收割者
36,14,25,,战警
