战场ID,等级,复活时间（秒）
int,int,int
1,1,10
1,2,13
1,3,16
1,4,19
1,5,22
1,6,25
1,7,28
1,8,31
1,9,34
1,10,37
1,11,40
1,12,43
1,13,46
1,14,49
1,15,52
1,16,55
1,17,58
1,18,61
7,1,10
7,2,13
7,3,16
7,4,19
7,5,22
7,6,25
7,7,28
7,8,31
7,9,34
7,10,37
7,11,40
7,12,43
7,13,46
7,14,49
7,15,52
7,16,55
7,17,58
7,18,61
8,1,10
8,2,13
8,3,16
8,4,19
8,5,22
8,6,25
8,7,30
8,8,32
8,9,34
8,10,36
8,11,38
8,12,40
8,13,42
8,14,44
8,15,46
8,16,49
8,17,51
8,18,53
9,1,10
9,2,13
9,3,16
9,4,19
9,5,22
9,6,25
9,7,28
9,8,31
9,9,34
9,10,37
9,11,40
9,12,43
9,13,46
9,14,49
9,15,52
9,16,55
9,17,58
9,18,61
10,1,5
10,2,5
10,3,5
10,4,5
10,5,5
10,6,5
10,7,5
10,8,5
10,9,5
10,10,5
10,11,5
10,12,5
10,13,5
10,14,5
10,15,5
10,16,5
10,17,5
10,18,5
13,1,10
13,2,13
13,3,16
13,4,19
13,5,22
13,6,25
13,7,28
13,8,31
13,9,34
13,10,37
13,11,40
13,12,43
13,13,46
13,14,49
13,15,52
13,16,55
13,17,58
13,18,61
14,1,10
14,2,13
14,3,16
14,4,19
14,5,22
14,6,25
14,7,28
14,8,31
14,9,34
14,10,37
14,11,40
14,12,43
14,13,46
14,14,49
14,15,52
14,16,55
14,17,58
14,18,61
