英雄ID,星级,成长属性ID,上限等级,经验类型,可拥有专属天赋数量,专属天赋ID组,升星卡牌数,升星金币数,星级图标,星级名称,星级框体,星级光效,本命英雄升星卡牌消耗,本命英雄升星金币消耗
int,int,int,int,int,int,string,string,int,int,string,int,int,int,int
1,1,101,5,1,0,,1;2,500,1,基因改造体,0,0,1,100
1,2,102,50,1,0,,1;5,500,1,基因改造体,0,0,1,100
1,3,103,50,1,0,,1;10,500,1,基因改造体,0,0,1,100
1,4,104,50,1,0,,1;20,5000,1,基因改造体,0,0,2,1000
1,5,105,50,1,0,,1;10,800,2,意识觉醒体,2,2,,
1,6,106,50,1,0,,1;10,800,2,意识觉醒体,2,2,,
1,7,107,50,1,0,,1;10,800,2,意识觉醒体,2,2,,
1,8,108,50,1,0,,1;10,800,2,意识觉醒体,2,2,,
1,9,109,50,1,0,,1;50,8000,2,意识觉醒体,2,2,,
1,10,110,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,11,111,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,12,112,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,13,113,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,14,114,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,15,115,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,16,116,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,17,117,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,18,118,50,1,0,,1;30,2000,3,核晶强化体,3,3,,
1,19,119,50,1,0,,1;100,18000,3,核晶强化体,3,3,,
1,20,120,50,1,0,,1;500,50000,4,星灵圣体,4,4,,
1,21,121,50,1,0,,1;500,50000,4,星灵圣体,4,4,,
1,22,122,50,1,0,,1;500,50000,4,星灵圣体,4,4,,
1,23,123,50,1,0,,1;500,50000,4,星灵圣体,4,4,,
1,24,124,50,1,0,,1;2000,200000,4,星灵圣体,4,4,,
1,25,125,50,1,0,,1;1000,100000,5,泰坦之躯,5,5,,
1,26,126,50,1,0,,1;1000,100000,5,泰坦之躯,5,5,,
1,27,127,50,1,0,,1;1000,100000,5,泰坦之躯,5,5,,
1,28,128,50,1,0,,1;1000,100000,5,泰坦之躯,5,5,,
1,29,129,50,1,0,,1;5000,500000,5,泰坦之躯,5,5,,
1,30,130,50,1,0,,1;5000,500000,6,星际毁灭者,6,6,,
2,1,201,5,1,0,,2;2,500,1,基因改造体,0,0,1,100
2,2,202,50,1,0,,2;5,500,1,基因改造体,0,0,1,100
2,3,203,50,1,0,,2;10,500,1,基因改造体,0,0,1,100
2,4,204,50,1,0,,2;20,5000,1,基因改造体,0,0,2,1000
2,5,205,50,1,0,,2;10,800,2,意识觉醒体,2,2,,
2,6,206,50,1,0,,2;10,800,2,意识觉醒体,2,2,,
2,7,207,50,1,0,,2;10,800,2,意识觉醒体,2,2,,
2,8,208,50,1,0,,2;10,800,2,意识觉醒体,2,2,,
2,9,209,50,1,0,,2;50,8000,2,意识觉醒体,2,2,,
2,10,210,50,1,0,,2;30,2000,3,核晶强化体,3,3,,
2,11,211,50,1,0,,2;30,2000,3,核晶强化体,3,3,,
2,12,212,50,1,0,,2;30,2000,3,核晶强化体,3,3,,
2,13,213,50,1,0,,2;30,2000,3,核晶强化体,3,3,,
2,14,214,50,1,0,,2;30,2000,3,核晶强化体,3,3,,
2,15,215,50,1,0,,2;30,2000,3,核晶强化体,3,3,,
2,16,216,50,1,0,,2;30,2000,3,核晶强化体,3,3,,
