 ,天赋ID,天赋学习等级,天赋图标,推荐显示,激活类型（0默认自动;1系统）,升星激活等级（激活类型需为0）,场内是否等级互斥(0不互斥1互斥),显示类型（0未激活不显示1未激活显示）,影响技能槽位 ,天赋名称,天赋奖励名称,天赋描述,未激活描述,场内天赋描述,前置天赋,战场类型ID
int,int,int,int,int,int,int,int,int,int,string,string,string,string,string,int,string
1,10101,3,178,1,0,0,1,1,3,无情刀【被动键】,天赋：无情刀,每次普攻降低目标3点护甲(最多15点)，持续5秒,,每次普攻降低目标3点护甲(最多15点)，持续5秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
1,10103,3,177,0,0,5,1,1,1,御风连击【[SKILLSLOT=1]键】,天赋：御风连击,轻功结束后，3秒内攻击力提高30点,,轻功结束后，3秒内攻击力提高30点,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
60,10104,3,178,0,0,5,1,1,3,养精蓄锐【被动】,天赋：养精蓄锐,身边有敌方小兵殒命时永久提升攻击力,,身边有敌方小兵殒命时永远提升攻击力，最多增加30点,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
1,10105,6,180,1,0,0,1,1,-1,例无虚发【[SKILLSLOT=2]键】,天赋：例无虚发,风月游侠意念化飞刀攻击前方敌人，对目标造成物理伤害,,风月游侠意念化飞刀攻击前方敌人，对目标造成物理伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
1,10106,9,177,0,0,5,1,1,1,御风而行【[SKILLSLOT=1]键】,天赋：御风而行,轻功移速提高60%，持续时间延长至15秒,,轻功移速提高60%，持续时间延长至15秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
60,10107,9,178,0,0,0,1,1,3,气势压制【被动】,天赋：气势压制,普通攻击命中敌人后，被击中的敌人对自己造成的伤害降低15%，持续3秒,,普通攻击命中敌人后，被击中的敌人对自己造成的伤害降低15%，持续3秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
1,10108,9,179,1,0,0,1,1,0,多发命中【[SKILLSLOT=0]键】,天赋：多发命中,扇舞对近身目标的伤害大幅提高,,扇舞对近身目标的伤害大幅提高,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
1,10110,12,227,1,0,0,1,1,3,三环【被动】,天赋：三环,对英雄连续三次普攻可造成额外60%的普攻伤害,,对英雄连续三次普攻可造成额外60%的普攻伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
1,10111,12,149,1,0,0,1,1,3,闪电【被动】,天赋：闪电,普通攻击有概率引发闪电链，对目标周围敌方单位造成伤害,,普通攻击有概率引发闪电链，对目标周围敌方单位造成伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
1,10112,12,224,0,0,0,1,1,3,法术护盾【被动】,天赋：法术护盾,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害10%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
1,10109,15,180,1,0,0,1,1,2,飞刀无悔【[SKILLSLOT=2]键】,天赋：飞刀无悔,提升例无虚发伤害,,提升例无虚发伤害,10105,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
