英雄ID,英雄类型,操作难度（1简单2中等3困难）,英雄描述,英雄定位,备注英雄名字方便策划配表,大厅选人描述,选人排序优先级（默认为0最低1最高2其次依次往下）,针对方式,玩法介绍
int,string,int,string,string,string,string,int,string,string
1,射手,1,作为前世武艺精湛的游侠，他的家庭在中国唐朝富甲一方，他却对经商从政毫无兴致。十八那年，便离家出走，游山玩水，行侠仗义。与他作伴的唯有诗、江山以及手里的飞刀。,射手,风月游侠,[b][size=22]风月游侠<br>英雄类型：战士<br>操作难度：简单<br>英雄定位：1<br><br>[/size][/b],8,[b][size=14]多情剑客无情刀，远程风筝型射手<br>英雄类型：射手<br>-不要轻视他的爆发能力，时刻注意风月游侠的层数。<br>-使用控制技能留住他，并且以最快的速度让他无法逃生<br>[/size][/b],精通轻功和飞刀的游侠
2,射手,1,追风箭灵是泰坦大陆奇幻丛林里的魔能智兽们所信仰的星灵。丛林为它们提供食物、庇护。他们诞生于丛林，在丛林生活并最终变成土壤化为丛林的一部分。追风箭灵用手中的弓将灵箭射向天空给予万物生命的朝气的同时也会射杀泛滥的物种，维持奇幻丛林生态的平衡。而目前，最需要被取缔的物种是人类。,射手,追风箭灵,[b][size=22]追风箭灵<br>英雄类型：射手<br>操作难度：简单<br>英雄定位：射手<br><br>[/size][/b],1,[b][size=14]追风箭灵，远程爆发型射手<br>英雄类型：射手<br>-注意她的QE技能连招。那会带来危险的控制效果。<br>-在其开大时避其锋芒。<br>[/size][/b],行动敏捷的快速射手
3,法师,1,火是泰坦行星从蛮荒走向文明的关键要素。绯红之焰由火而生，是出现最早的星灵之一。她见证了魔能智兽们使用火免遭寒冻、锻造武器、屠戮同类。对她而言，火是希望的象征，也是战争的余烬，眼前的两拨人类入侵军对她来说只是消遣罢了。,爆发、控制,绯红之焰,[b][size=22]绯红之焰<br>英雄类型：法师<br>操作难度：简单<br>英雄定位：爆发、控制<br><br>[/size][/b],2,[b][size=14]绯红之焰，远程爆发型法师<br>英雄类型：法师<br>-留心头顶的火球，不要被烤焦了。<br>-绯红之焰的大招可以暂时封闭一个敌人的全部能力，小心提防。<br>[/size][/b],擅长困人的爆发法师
4,战士,1,她前世是日本江户时代的浪人。接受各个武士、将军的秘密委托任务。她的刀从不见血，坊间称她有一双看穿生死的眼睛。每个生物对其他的事物和人的执念让他们之间连接了一条隐形的“生死线”。当她用刀刃砍断这条线，在下一次樱花飘落时，目标也将凋零。,爆发、控制,绯樱剑客,[b][size=22]绯樱剑客<br>英雄类型：射手<br>操作难度：简单<br>英雄定位：1<br><br>[/size][/b],18,[b][size=14]樱花如雨剑如风，伤害爆发型战士<br>英雄类型：战士<br>-当她格挡时千万不要使用关键技能攻击她。<br>-小心她的飓风，一旦被命中意味着你插翅难逃。<br>[/size][/b],擅长控制与输出的刀手
5,坦克,1,狂野巨盾前世曾是可汗最得力的将军。跟随可汗征战四方的他生性火爆却心底善良。他可以因为别人多看了他一眼一拳将其击飞，也会照顾受伤的骏马而睡在马厩三天三夜。有人猜测他手上的巨盾来自于哪个达官贵人王府的门，但没有人敢在他面前这么说。,控制、坦克,狂野巨盾,[b][size=22]狂野巨盾<br>英雄类型：坦克<br>操作难度：简单<br>英雄定位：1<br><br>[/size][/b],29,[b][size=14]狂野巨盾，远程风筝型射手<br>英雄类型：射手<br>-不要轻视他的爆发能力，时刻注意被动的层数。<br>-使用控制技能留住他，并且以最快的速度让他无法逃生<br>[/size][/b],擅长冲撞与团控的坦克
6,法师,1,蛙王来自于亚特兰蒂斯，是泰坦王城的国王，泰坦王城的国王位置已经由亚特兰蒂斯的蛙族们占据了将近半个世纪。蛙王在地球来客们初来到时推进了双方文化、科技的交流。但当地球来客执意挖取魔力水晶时，交流演变成了战争。“如果一场宴席无法解决问题，那就来一场战役吧！”,控制、输出,深海蛙王,[b][size=22]深海蛙王<br>英雄类型：法师<br>操作难度：简单<br>英雄定位：1<br><br>[/size][/b],33,[b][size=14]深海蛙王，远程控制型法师<br>英雄类型：法师<br>-小心他的吞噬能力，不要与其持久战斗。<br>-装备韧性加成的装备来抵抗他的控制。<br>[/size][/b],擅长控制的团伤法师
7,辅助,1,花仙子和森之灵同为森林魔力之产物。但是花仙子比她的姐姐晚诞生了500年。同时她也是最年轻的星灵。她爱好和平，厌恶战争。其他星灵们都只把她的想法当做孩童的幼稚。只有森之灵相信，这份信念也许可以给泰坦行星带来真正的和平。,辅助、控制,花仙子,[b][size=22]花仙子<br>英雄类型：法师<br>操作难度：简单<br>英雄定位：辅助、恢复<br><br>[/size][/b],19,[b][size=14]花仙子，远程辅助型法师<br>英雄类型：法师<br>-花仙子的花雨最后一击会附带眩晕效果，注意躲避。<br>-花仙子的护盾爆炸会造成伤害并减速，评估自己的生命值再考虑是否僵持吧。<br>[/size][/b],擅长救护与团控的法师
8,战士,2,在方舟的冷冻舱里睁开眼睛，“他”缓缓想起自己曾经“拥有海洋四方”。“他”在1206年建立大蒙古国。此后多次发动对外征服战争，征服地域西达中亚、东欧的黑海海滨。有人将“他”称为雄才大略的君主，有人认为“他”是个将屠戮作为制度的侩子手。而如今，窗外硕大的星球也许就是下一个战场。,战士、突进,蛮族之刃,[b][size=22]蛮族之刃<br>英雄类型：战士<br>操作难度：中等<br>英雄定位：战士<br><br>[/size][/b],3,[b][size=14]蛮族之刃，近战爆发型战士<br>英雄类型：战士<br>-一旦被他的大招锁定，立刻寻求队友的帮助。<br>-蛮族之刃的Q技能会造成二段伤害，小心规避<br>[/size][/b],超强突进或爆发的刀手
9,战士,1,他的前世是王国最锋利的剑和最坚实的盾。然而高超的作战技巧和领导能力只能帮助他赢得战争，却无法拯救其国民于让昏庸的君主和腐朽的政治系统。终于，他率军软禁国王，胁君王以令群臣；与邻国停战、专事生产、肃清朝野，为国家带来了半个世纪的繁荣。,战士、控制,帝国之剑,[b][size=22]帝国之剑<br>英雄类型：坦克<br>操作难度：简单<br>英雄定位：前排、控制<br><br>[/size][/b],9,[b][size=14]帝国之剑，近战控制型坦克<br>英雄类型：坦克<br>-帝国之剑的Q技能是强力的控制技能，留好应对之策。<br>-帝国之剑的R在击败敌人后可以清除冷却时间，千万不要给他收割的机会。<br>[/size][/b],稳定突进的控制型坦克
