等级,升下级经验,经验所属（0、代表战场内英雄经验，1、代表场外英雄经验，2、代表角色经验）,经验类型（只针对场外英雄经验，其他可填0）
int,int,int,int
1,271,0,0
2,271,0,0
3,308,0,0
4,351,0,0
5,401,0,0
6,458,0,0
7,459,0,0
8,535,0,0
9,622,0,0
10,721,0,0
11,798,0,0
12,882,0,0
13,974,0,0
14,1076,0,0
15,1188,0,0
16,1311,0,0
17,1447,0,0
18,1639,0,0
1,80,1,1
1,80,2,0
2,80,2,0
3,80,2,0
4,100,2,0
5,100,2,0
6,120,2,0
7,150,2,0
8,180,2,0
9,200,2,0
10,300,2,0
11,400,2,0
12,500,2,0
13,600,2,0
14,700,2,0
15,800,2,0
16,900,2,0
17,1000,2,0
18,1000,2,0
19,1000,2,0
20,1000,2,0
21,1000,2,0
22,1000,2,0
23,1000,2,0
24,1000,2,0
25,1000,2,0
26,1000,2,0
27,1000,2,0
28,1000,2,0
29,1000,2,0
30,1000,2,0
31,1000,2,0
32,1000,2,0
33,1000,2,0
34,1000,2,0
35,1000,2,0
36,1000,2,0
37,1000,2,0
38,1000,2,0
39,1000,2,0
40,1000,2,0
41,1000,2,0
42,1000,2,0
43,1000,2,0
44,1000,2,0
45,1000,2,0
46,1000,2,0
47,1000,2,0
48,1000,2,0
49,1000,2,0
50,1000,2,0
51,1000,2,0
52,1000,2,0
53,1000,2,0
54,1000,2,0
55,1000,2,0
56,1000,2,0
57,1000,2,0
58,1000,2,0
59,1000,2,0
60,1000,2,0
61,1000,2,0
62,1000,2,0
63,1000,2,0
64,1000,2,0
65,1000,2,0
66,1000,2,0
67,1000,2,0
68,1000,2,0
69,1000,2,0
70,1000,2,0
71,1000,2,0
72,1000,2,0
73,1000,2,0
74,1000,2,0
75,1000,2,0
76,1000,2,0
77,1000,2,0
78,1000,2,0
79,1000,2,0
80,1000,2,0
81,1000,2,0
82,1000,2,0
83,1000,2,0
84,1000,2,0
85,1000,2,0
86,1000,2,0
87,1000,2,0
88,1000,2,0
89,1000,2,0
90,1000,2,0
91,1000,2,0
92,1000,2,0
93,1000,2,0
94,1000,2,0
95,1000,2,0
96,1000,2,0
97,1000,2,0
98,1000,2,0
99,1000,2,0
