area,subarea,colorr,colorg,colorb,bmp_minx,bmp_minz,bmp_maxx,bmp_maxz,minx,minz,maxx,maxz,convex
int,int,int,int,int,float,float,float,float,float,float,float,float,string
0,0,0,0,64,-133.0521,-131.4727,129.0521,132.9727,-19.23578,70.41095,-11.5954,77.19342,{915.6138|440.2437};{904.975|446.7043};{897.4492|451.6247};{895.9305|454.287};{895.9457|455.189};{900.527|467.0873};{908.0618|476.2054};{909.015|476.7917};{910.7165|477.2307};{911.6587|477.3235};{915.1028|476.7618};{933.4835|468.4796};{940.2031|460.7452};{940.7488|458.7118};{940.7622|458.1557};{939.2852|448.8814};{935.1884|444.3949};{930.9993|440.1742};{930.1808|439.704};{924.4244|439.1021};
0,1,0,0,64,-133.0521,-131.4727,129.0521,132.9727,-23.13711,68.70161,-15.40393,75.82796,{892.3301|450.5394};{883.723|452.6483};{866.9232|465.9683};{866.5526|466.9036};{865.8796|468.7793};{865.9989|469.674};{871.833|480.9919};{880.3991|489.2186};{881.3907|489.6962};{882.9857|489.9466};{883.9058|489.935};{887.793|488.9871};{904.647|478.7309};{910.3131|470.3037};{910.1957|468.2297};{910.1446|467.6757};{908.3974|458.6101};{903.6262|454.6082};{898.8063|450.8802};{897.9738|450.503};
0,2,0,0,64,-133.0521,-131.4727,129.0521,132.9727,-25.5084,66.0953,-17.97881,73.56272,{868.7866|469.2954};{860.9099|473.3156};{847.5637|490.0335};{847.4191|491.0329};{847.3038|493.176};{847.6238|494.0212};{855.8085|503.636};{866.0309|509.744};{867.087|509.9606};{868.589|509.6896};{869.4614|509.4416};{873.4086|508.1959};{887.1304|493.9065};{890.6341|484.2857};{889.5637|481.3145};{886.3721|473.7066};{880.6893|470.6936};{875.0302|467.9716};{874.1603|467.8292};
1,0,0,0,128,-133.0521,-131.4727,129.0521,132.9727,-26.50417,44.86729,-19.39518,51.49345,{849.2654|636.1338};{841.0076|645.065};{840.7256|645.8691};{839.8923|654.4366};{839.9993|655.4409};{842.7145|660.887};{847.8732|667.673};{859.6356|674.0131};{865.9678|676.85};{869.5833|677.1472};{870.3586|676.6776};{878.7953|667.7922};{882.6804|655.7871};{882.6559|654.6405};{881.3488|650.9259};{881.1427|650.4609};{863.6694|638.2726};{853.9103|636.4182};{853.383|636.3199};{849.7546|635.8635};
1,1,0,0,128,-133.0521,-131.4727,129.0521,132.9727,-22.45644,43.15768,-15.86246,48.78418,{878.4481|656.0025};{877.9138|656.0511};{874.298|656.5973};{873.9023|656.9901};{868.429|667.8218};{868.38|668.6717};{869.9465|677.1378};{870.327|678.0746};{874.4437|682.5751};{881.2806|687.7007};{894.3455|690.6046};{901.2195|691.6136};{904.7788|690.9178};{905.3947|690.2555};{911.0528|679.4194};{911.4711|666.8186};{911.1306|665.7225};{908.8467|662.5049};{908.5201|662.1136};{888.3464|655.136};
1,2,0,0,128,-133.0521,-131.4727,129.0521,132.9727,-18.0505,43.02732,-11.97313,47.89452,{914.8206|660.6558};{905.8024|664.7916};{905.3162|665.0166};{902.1003|666.7435};{901.8621|667.2458};{900.4106|679.2744};{900.6547|680.0905};{905.0198|687.5314};{905.6977|688.2853};{911.1082|691.1393};{919.2919|693.6689};{932.5773|692.0187};{939.3903|690.6622};{942.5019|688.8135};{942.8552|687.9837};{944.4791|675.889};{940.5699|663.8916};{939.8752|662.9744};{936.6274|660.7128};{936.1864|660.4542};
2,0,0,0,192,-133.0521,-131.4727,129.0521,132.9727,112.7885,-6.506137,117.1382,-0.8136292,{1936.59|1035.449};{1928.704|1039.054};{1927.883|1039.652};{1924.506|1044.721};{1921.194|1052.558};{1921.598|1065.823};{1922.318|1072.673};{1923.882|1075.918};{1924.682|1076.345};{1936.677|1079.088};{1949.096|1076.362};{1950.083|1075.763};{1952.661|1072.771};{1952.962|1072.361};{1954.775|1051.259};{1951.471|1041.971};{1951.291|1041.47};{1949.86|1038.134};{1949.378|1037.851};{1937.433|1035.285};
2,1,0,0,192,-133.0521,-131.4727,129.0521,132.9727,112.4885,-15.46614,116.8382,-9.773628,{1934.246|1104.839};{1926.36|1108.445};{1925.539|1109.043};{1922.162|1114.112};{1918.849|1121.949};{1919.254|1135.213};{1919.974|1142.064};{1921.537|1145.309};{1922.338|1145.735};{1934.333|1148.479};{1946.752|1145.753};{1947.739|1145.154};{1950.317|1142.162};{1950.618|1141.751};{1952.431|1120.65};{1949.127|1111.362};{1948.947|1110.861};{1947.516|1107.525};{1947.034|1107.242};{1935.089|1104.676};
2,2,0,0,192,-133.0521,-131.4727,129.0521,132.9727,112.5485,-10.97613,116.8982,-5.283626,{1934.714|1070.067};{1926.829|1073.672};{1926.008|1074.27};{1922.631|1079.339};{1919.318|1087.176};{1919.723|1100.441};{1920.443|1107.291};{1922.006|1110.536};{1922.806|1110.963};{1934.802|1113.706};{1947.221|1110.98};{1948.208|1110.381};{1950.786|1107.389};{1951.087|1106.979};{1952.9|1085.877};{1949.596|1076.589};{1949.416|1076.088};{1947.984|1072.752};{1947.502|1072.469};{1935.557|1069.903};
