area,subarea,colorr,colorg,colorb,bmp_minx,bmp_minz,bmp_maxx,bmp_maxz,minx,minz,maxx,maxz,convex
int,int,int,int,int,float,float,float,float,float,float,float,float,string
0,0,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-58.71636,-105.1481,-28.72363,-72.83194,{639.7335|1668.026};{751.7167|1734.517};{837.7137|1582.38};{725.7305|1515.889};
0,1,0,0,64,-155.6318,-151.3372,154.6269,151.3843,105.708,65.57861,135.492,107.0214,{1725.089|545.5478};{1782.184|579.5008};{1921.692|333.0811};{1864.597|299.1282};
0,2,0,0,64,-155.6318,-151.3372,154.6269,151.3843,33.714,70.07974,65.286,110.7203,{1249.861|511.7278};{1304.917|549.0493};{1458.266|311.4257};{1403.209|274.1042};
0,3,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-130.5861,-113.6659,-119.6139,-71.33411,{165.3252|1507.322};{171.7608|1792.143};{237.7525|1790.576};{231.317|1505.756};
0,4,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-132.4093,-98.29503,-108.1907,-73.70497,{153.2904|1641.189};{200.8027|1688.154};{313.1564|1568.76};{265.6441|1521.795};
0,5,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-117.4436,-80.82233,-101.7564,-61.37767,{252.0783|1544.178};{313.1121|1569.946};{355.6286|1464.165};{294.5948|1438.397};
0,6,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-114.9666,-72.6666,-78.63341,-36.33341,{268.4289|1466.932};{315.1046|1514.77};{508.2622|1316.803};{461.5864|1268.966};
0,7,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-118.3666,-69.26659,-82.03342,-32.93341,{245.9857|1443.93};{292.6614|1491.768};{485.8189|1293.802};{439.1433|1245.964};
0,8,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-88.75095,-50.09372,-56.44906,-36.70629,{441.4769|1294.814};{448.7267|1362.058};{654.6998|1338.732};{647.45|1271.488};
0,9,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-63.4325,-46.53251,-43.36749,-26.46749,{608.6025|1290.128};{655.2782|1337.965};{741.0504|1250.058};{694.3748|1202.22};
