比赛类型,AG,BG,CG,AE,BE,CE,W11,W12,W13,W14,W15,W21,W22,W23,W24,W25,
int,int,int,int,int,int,int,int,float,int,int,int,int,float,float,int,int,
1,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,探索者峡谷自定义
2,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,人机地图
3,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,新手训练2
4,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,压力测试
5,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,探索者峡谷匹配赛
7,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,探索者峡谷新手五把
8,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,探索者峡谷排位赛
9,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,核晶栈道自定义
10,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,新手训练1
11,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,探索者峡谷线上
12,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,探索者峡谷线下
13,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,野区改版自定义
14,3,250,600,25,125,1250,5,0.05,500,200,300,750,0.2,0.4,500,300,测试地图
