撮合类型ID,时间段（-1非时间段0周日1周一2周二以此类推）,开始时间触发器ID唯一,Rank开放时间,结束时间触发器ID唯一（不要和开始触发器ID重复）,Rank结束时间,点击失败描述,开始跑马灯ID,结束跑马灯ID
int,int,int,string,,string,int,int,int
8,-1,-1,,-1,,100001,100001,100001
8,0,1,00;00,15,02;00,100001,,100010
8,0,2,10;00,16,23;59,100001,100009,
8,1,3,00;00,17,02;00,100001,,100010
8,1,4,10;00,18,23;59,100001,100009,
8,2,5,00;00,19,02;00,100001,,100010
8,2,6,10;00,20,23;59,100001,100009,
8,3,7,00;00,21,02;00,100001,,100010
8,3,8,10;00,22,23;59,100001,100009,
8,4,9,00;00,23,02;00,100001,,100010
8,4,10,10;00,24,23;59,100001,100009,
8,5,11,00;00,25,02;00,100001,,100010
8,5,12,10;00,26,23;59,100001,100009,
8,6,13,00;00,27,02;00,100001,,100010
8,6,14,10;00,28,23;59,100001,100009,
