比赛类型（慎重删减）,比赛名称,模式(模式0moba模式1rpg),地图,玩法名称TextInfoID,战场ID,阵营数,每个阵营最大人数,开始选英雄需要的最小人数,开始选英雄需要每阵营最小人数,选人倒计时毫秒,选人确定后缩短倒计时到几毫秒,描述TextInfoID,图片路径TextInfoID,那些状态的房间在大厅中显示,那些状态可以换到本阵营中的空位置,那些状态可以换到其他阵营中的空位置,那些状态可以从大厅加入房间,那些状态可以离开房间房间,那些状态可以踢人,选英雄阶段可以选几次英雄,客户端加载场景最长时间毫秒,同一英雄在所有阵营中最多能有几个,流程规则,选择英雄规则,1、禁止使用哪些英雄 2、允许使用哪些英雄,战场限制英雄列表,延迟进入房间,延迟进入房间时间,进入房间离线检测,开启填充电脑,撮合开启电脑补位时间,假人开始选人定时器,ban选开关,开始房间ban选时间(秒),ban选 预选英雄广播给其他阵营, ban选数量,ban选位置,英雄开启星级配置,显示降级升级界面,匹配确定时间,战场中退出标示（无法再进入上次战场）,最大OB人数,开启随机选择英雄
int,string,int,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,探索者峡谷自定义,0,176,110001,8,2,5,1,0,75000,5000,100001,200001,0,0;1,0,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,0,0,0,1,0,1,3,0;1;2;3;4;5;6;7;8;9,1,0,0,0,4,0
2,探索者峡谷人机地图,0,176,110001,8,2,5,1,0,75000,5000,100001,200001,,0;1,0,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,0,0,0,0,0,0,0,,1,0,20,0,0,0
3,新手训练地图2,0,177,110001,13,2,2,1,0,75000,5000,100002,200001,,0;1,0,0,0;1;2,0,99,10000,99,0,1,2,2;8;3;35,0,0,0,0,0,0,0,0,0,0,,1,0,10,0,0,0
4,压力测试地图,0,176,110003,8,2,5,1,0,75000,1000,100003,200001,,0;1,0;1,0;1,0;1;2,0;1,99,10000,99,0,0,1,37,0,0,0,1,30,10,0,0,0,0,,1,0,0,0,0,0
5,探索者峡谷匹配赛,0,176,110001,8,2,5,1,0,75000,5000,100001,200001,,0;1,0,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,1,80,10,0,0,0,3,0;1;2;3;4;5;6;7;8;9,1,0,30,0,0,0
6,不刷兵测试图,0,178,110003,7,2,5,1,0,75000,1000,100003,200001,0,0;1,0;1,0;1,0;1;2,0;1,99,10000,99,0,1,1,37,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,4,0
7,探索者峡谷新手五把,0,176,110001,8,2,5,1,0,75000,5000,100001,200001,,0;1,0,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,0,0,0,0,0,0,0,,1,0,30,0,0,0
8,探索者峡谷排位赛,0,176,110001,8,2,5,1,0,75000,5000,100001,200001,,0;1,0,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,0,0,0,1,30,0,3,0;1;2;3;4;5;6;7;8;9,0,1,30,0,0,0
9,核晶栈道,0,177,110001,9,2,3,1,0,75000,5000,100000,200001,0,0;1,0,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,0,0,0,0,0,1,3,0;1;2;3;4;5;6;7;8;9,1,0,0,0,4,0
10,新手训练地图1,0,179,110001,10,2,3,1,0,75000,0,100002,200001,,,,,,,99,10000,99,0,1,2,8;3;35;2,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0
11,杯赛线上探索者峡谷,0,176,110001,8,2,5,1,0,75000,5000,100001,200001,,0;1,,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,0,0,0,1,0,0,3,0;1;2;3;4;5;6;7;8;9,1,0,0,0,4,0
12,杯赛线下探索者峡谷,0,176,110001,8,2,5,1,0,75000,5000,100001,200001,,0;1,,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,0,0,0,1,0,0,3,0;1;2;3;4;5;6;7;8;9,1,0,0,0,4,0
13,野区改版自定义,0,180,110003,14,2,5,1,0,75000,5000,100001,200001,0,0;1,0,0,0;1;2,0,99,10000,99,0,1,1,37,0,0,0,0,0,0,1,0,1,3,0;1;2;3;4;5;6;7;8;9,1,0,0,0,0,0
14,测试,2,181,110003,15,10,2,1,0,0,0,100001,200001,0,0;1,0,0,0;1;2,0,99,10000,99,0,1,1,16;26;37;7;20;22;32;30;5;13;17;29;33;21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
