地图ID,静态点序号,自动创建(0-不自动创建 1自动创建),名称,图标,X坐标,Z坐标,tips字符串,tips背景颜色,备注
int,int,int,string,string,int,int,string,string,string
173,1,1,测试打点,StaticIconTest,120,180,<font color='#FF0000'>测试打点</font>,00FF00,
171,2,0,,Icon6B,227,189,雕纹魔像,,
171,3,0,,Icon6B,227.5,64,小BOSS,,
171,4,0,,Icon5B,304,211,4蜘蛛,,
171,5,0,,Icon5B,206,157,猩猩+2猴子,,
171,6,0,,Icon5B,249,157,2树精,,
171,7,0,,Icon5B,251,222,猩猩+2猴子,,
171,8,0,,Icon5B,207,256,2雪怪,,
171,9,0,,Icon5B,208,218,2树精,,
171,10,0,,Icon5B,207,122,3蝎子,,
171,11,0,,Icon5B,246,119,2雪怪,,
171,12,0,,Icon5B,150,166,4蜘蛛,,
171,13,0,,Icon5B,246,259,3蝎子,,
174,14,0,,monster1,42.5,-53,,,3雕纹魔像
174,15,0,,monster2,-44,57.4,,,3小BOSS
174,16,0,,monster6,-7.68,57.6,,,31红buff
174,17,0,,monster7,61.8,-8.27,,,31蓝buff
174,18,0,,monster6,3.3,-61.4,,,32红buff
174,19,0,,monster7,-65.4,11.4,,,32蓝buff
174,21,0,,monster5,-19.3,85.5,,,31远古石甲虫
174,22,0,,monster5,5.3,38.1,,,314野
174,23,0,,monster5,58.3,17,,,313狼
174,24,0,,monster5,14.7,-86.8,,,32远古石甲虫
174,25,0,,monster5,-9.2,-36.7,,,324锋啄鸟
174,26,0,,monster5,-61.8,-15.2,,,323暗影狼
174,27,0,,monster5,88,-16.5,,,31魔沼蛙
174,28,0,,monster5,-91,17.7,,,32魔沼蛙
174,29,0,,monster5,47,-34.4,,,31峡谷迅捷蟹
174,30,0,,monster5,-51.7,38.6,,,32峡谷迅捷蟹
174,31,0,,monster5,77.7,2.11,,,2014魔泉
174,32,0,,monster5,-1.34,74.4,,,2014魔泉
174,33,0,,monster5,-84.34,-2.71,,,2015圣泉
174,34,0,,monster5,-0.311,-73.92,,,2015圣泉
174,35,0,,monster8,-44,57.4,,,小龙观察
174,36,0,,monster9,42.5,-53,,,黄金侍卫
174,37,0,,monster9,-44,57.4,,,黄金侍卫
176,14,0,,monster1,47.94,-43.47,0,,3雕纹魔像
176,15,0,,monster2,-50.7,53.6,0,,3小BOSS
176,16,0,,monster6,63,-10,0,,31红buff
176,17,0,,monster7,-7.59,59.41,0,,31蓝buff
176,18,0,,monster6,-58.59,8.1,0,,32红buff
176,19,0,,monster7,8.47,-58.8,0,,32蓝buff
176,21,0,,monster5,-20.83,83.78,0,,31远古石甲虫
176,22,0,,monster5,62,14,0,,314野
176,23,0,,monster5,5.39,37.22,0,,313狼
176,24,0,,monster5,20.1,-84.59,0,,32远古石甲虫
176,25,0,,monster5,-57.13,-13.54,0,,324锋啄鸟
176,26,0,,monster5,-8.48,-36.03,0,,323暗影狼
176,27,0,,monster5,89.1,-15.2,0,,31魔沼蛙
176,28,0,,monster5,-89.74,15.47,0,,32魔沼蛙
176,29,0,,monster5,54,-44,,,31峡谷迅捷蟹
176,30,0,,monster5,-58,49,,,32峡谷迅捷蟹
176,31,0,,monster5,125.25,126.25,,,2014魔泉
176,32,0,,monster5,125.25,126.25,,,2014魔泉
176,33,0,,monster5,-125.25,-126.25,,,2015圣泉
176,34,0,,monster5,-125.25,-126.25,,,2015圣泉
176,35,0,,monster8,-50.7,53.6,,,小龙观察
176,36,0,,monster9,47.94,-43.47,0,,黄金侍卫
176,37,0,,monster9,-50.7,53.6,,,黄金侍卫
177,14,0,,monster1,-50.7,53.6,,,3雕纹魔像
177,15,0,,monster2,31,-30,,,3小BOSS
177,16,0,,monster6,-6.26,59.3,,,31红buff
177,17,0,,monster7,63.2,-2.3,,,31蓝buff
177,18,0,,monster6,9.4,-56.34,,,32红buff
177,19,0,,monster7,-55.5,8.96,,,32蓝buff
177,21,0,,monster5,-20,84.6,,,31远古石甲虫
177,22,0,,monster5,9.4,36.31,,,314野
177,23,0,,monster5,58.9,16.04,,,313狼
177,24,0,,monster5,19.9,-85.6,,,32远古石甲虫
177,25,0,,monster5,-9.15,-36.14,,,324锋啄鸟
177,26,0,,monster5,-58.6,-17.2,,,323暗影狼
177,27,0,,monster5,90.2,-17.11,,,31魔沼蛙
177,28,0,,monster5,-90.34,17.1,,,32魔沼蛙
177,29,0,,monster5,54,-44,,,31峡谷迅捷蟹
177,30,0,,monster5,-58,49,,,32峡谷迅捷蟹
177,31,0,,monster5,125.25,126.25,,,2014魔泉
177,32,0,,monster5,125.25,126.25,,,2014魔泉
177,33,0,,monster5,-125.25,-126.25,,,2015圣泉
177,34,0,,monster5,-125.25,-126.25,,,2015圣泉
177,35,0,,monster8,53.6,-50.7,,,小龙观察
177,36,0,,monster9,-50.7,53.6,,,黄金侍卫
177,37,0,,monster9,53.6,-50.7,,,黄金侍卫
178,84,0,,monster5,81.61,77.35,,,1阵营基地
178,85,0,,monster5,-75.7,-80.95,,,2阵营基地
178,86,0,,monster5,32.4,37.47,,,1阵营中路外塔
178,87,0,,monster5,-37.32,-32.84,,,2阵营中路外塔
178,88,0,,monster5,116.7374,116.8501,,,1阵营泉水
178,89,0,,monster5,90.5614,87.07094,,,引导怪1
178,90,0,,monster5,92.56555,66.85126,,,引导怪2
178,91,0,,monster5,70.21,63.81,,,引导怪3
178,92,0,,monster5,43.17,39.14,,,击杀怪4
178,93,0,,monster5,12.95,23.36,,,击杀怪5
178,94,0,,monster5,-10.85,2.87,,,轻灵蔷薇
180,14,0,,monster1,47.94,-43.47,0,,3雕纹魔像
180,15,0,,monster2,-50.7,53.6,0,,3小BOSS
180,16,0,,monster6,63,-10,0,,31红buff
180,17,0,,monster7,-7.59,59.41,0,,31蓝buff
180,18,0,,monster6,-58.59,8.1,0,,32红buff
180,19,0,,monster7,8.47,-58.8,0,,32蓝buff
180,21,0,,monster5,-20.83,83.78,0,,31远古石甲虫
