效果组描述（唯一被动的名字）,效果所属于ID组（同名的唯一被动有相同的组编号）,效果ID（该类型唯一被动包含的效果ID）
string,int,int
$强化移动,1,121
$强化移动,1,123
$强化移动,1,125
$强化移动,1,969
$强化移动,1,4443
$强化移动,1,4444
$强化移动,1,4445
$强化移动,1,4446
$强化移动,1,4447
$强化移动,1,4448
$强化移动,1,19206
$咒刃,2,895
$咒刃,2,1255
$咒刃,2,1094
$咒刃,2,907
$狂暴普攻,3,894
$寒铁,4,1197
$寒铁,4,1199
$天使之炎,5,4241
$天使之炎,5,5284
$打野伤害,6,1170
$打野回复,7,1172
$据点冲刺,8,1205
$洞察,9,1215
$法力积攒,10,1183
$法力积攒,10,1511
$敬畏,11,1214
$减速抵抗,12,
$英勇奖赏,13,1182
$法力源泉,14,929
$军团,15,928
$顺劈,16,881
$贡品金币,17,1152
$贡品金币,17,936
$贡品金币,17,1155
$贡品金币,17,1175
$贡品伤害,18,1162
$贡品伤害,18,996
$贡品伤害,18,1163
$贡品伤害,18,1176
$战利品自己,19,1232
$战利品自己,19,1234
$战利品友方,20,1149
$战利品友方,20,1233
$恩惠,21,3645
$恩惠,21,3646
$贪婪,22,923
$贪财,23,924
$痛苦之眼,24,124
$救主灵刀,25,1283
$救主灵刀,25,1284
$献祭,26,778
$献祭,26,1317
$无畏,27,
$碾压猛击,28,2234
$碾压猛击,28,3657
$狂暴击杀,29,1441
$圣光治疗,30,19204
$圣光治疗,30,19132
$光子护盾,31,19136
$光子护盾,31,5280
$女神恩赐,32,19295
$女神恩赐,32,19298
