物品ID,装备名称,物品类型(1、装备 2、物品),装备图标ID,装备标签组,装备标签子类型,是否英雄专属（0.非英雄专属 1.英雄专属）,英雄ID,职业限制（0.无限制  1.近战  2.远程）,合成需要装备,能合装备,绝对价格,出售价格,效果ID组,效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,继承效果ID组,继承效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,继承物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,战场限制（战场ID）,自动使用（装备满格后，购买能够不占格子，自动使用其效果）,特殊槽位物品（0.非眼位  1.眼位）,是否能主动使用（0.无主动技能  1.有主动技能）,使用是否移除（0.主动使用完不移除  1.主动使用完移除）,是否能叠加（0.同格不能叠加  1.同格能叠加）,最大叠加数量,最大拥有数,使用BuffID,使用Buff冷却ID,使用技能ID,可使用次数（主动技能使用buff实现，才可使用）,对应图标组,购买界面描述,物品栏描述,装备贵重度,标识,装备定位说明
int,string,int,int,int,int,int,int,int,string,string,int,int,int,int,int,int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,string,string,string,int,int,string
1,$短剑,1,1,4,,0,,0,,3;17;19;20;47;59;99,450,225,120,1,,120,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+9%普攻伤害[/green],$[green]+9%普攻伤害[/green],1,,  
2,$移速鞋,1,1,6,5001,0,,0,,3;4;5;6;7,325,163,121,3,,121,3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[yellow]唯一被动 强化移动：[/yellow][blue]+38移速[/blue],$[yellow]唯一被动 强化移动：[/yellow][blue]+38移速[/blue],1,,  
3,$狂战士胫甲,1,1,4;6,5001,0,,0,1;2,,1140,570,122;123,1;3,,122;123,1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+15%普攻伤害[/green]<br>[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue],$[green]+15%普攻伤害[/green]<br>[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue],1,,  
4,$法师之靴,1,1,6,5001,0,,0,2,,1200,600,123;124,3;1,,123;124,3;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+15法穿[/green]<br>[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue],$[green]+15法穿[/green]<br>[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue],1,,  
5,$轻灵之靴,1,1,6,5001,0,,0,2,,1000,500,125;1194,3;3,,125;1194,3;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[yellow]唯一被动 强化移动：[/yellow][blue]+92移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]受到的减速效果减少25%[/blue],$[yellow]唯一被动 强化移动：[/yellow][blue]+92移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]受到的减速效果减少25%[/blue],1,,  
6,$忍者足具,1,1,3;6,4001;5001,0,,0,2;28,,1000,500,126;123,1;3,1262,126;123,1;3,1262,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+300生命值[/green]<br>[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue],$[green]+300生命值[/green]<br>[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue],1,,  
7,$明朗之靴,1,1,5;6,3003;5001,0,,0,2,,1000,500,123;127,3;2,,123;127,3;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]+15%冷缩[/blue]  ,$[yellow]唯一被动 强化移动：[/yellow][blue]+70移速[/blue]<br>[yellow]唯一被动：[/yellow][blue]+15%冷缩[/blue]  ,1,,  
8,$长剑,1,1,1;4,1001;2001,0,,0,,11;14;16;30;83;87,360,180,129,1,,129,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+11物攻[/green],$[green]+11物攻[/green],1,,  
9,$十字镐,1,1,4,2001,0,,0,,14;16;31;48;62;72;84;86,850,425,130,1,,130,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+28物攻[/green],$[green]+28物攻[/green],1,,  
