NPC,装备ID,购买冷却,补充冷却,可购买数量,装备名称,装备价格（-1取装备脚本价格）
2178,113,10,600,1,至尊魔戒,-1
2178,118,10,600,1,暴君,-1
2178,121,10,600,1,血饮狂刀,-1
2178,108,10,600,1,摄魂,-1
2178,126,10,600,1,魔剑.斩魂,-1
2178,122,10,600,1,行刑黑棺,-1
2179,106,10,600,1,死神的凝视,-1
2179,116,10,600,1,灵能飞刃,-1
2179,133,10,600,1,斩裂剑,-1
2179,117,10,600,1,风行利刃,-1
2179,215,10,600,1,负离子炮,-1
2179,109,10,600,1,腐蚀之触,-1
2181,212,10,600,1,强袭大剑,-1
2181,107,10,600,1,雷霆法典,-1
2181,114,10,600,1,圣光裁决,-1
2181,217,10,600,1,支配者面具,-1
2181,111,10,600,1,救赎者斗篷,-1
2181,141,10,600,1,伊贺飓风,-1
2181,130,10,600,1,巨龙狩猎者,-1
2182,218,10,600,1,巫师帽子,-1
2182,224,10,600,1,混沌法球,-1
2182,110,10,600,1,凛冬法杖,-1
2182,225,10,600,1,亡灵邪典,-1
2182,209,10,600,1,夺命匕首,-1
2182,131,10,600,1,凛冬战锤,-1
2182,119,10,600,1,裂地斧,-1
2183,120,10,600,1,御法之剑,-1
2183,211,10,600,1,寒霜重剑,-1
2183,127,10,600,1,暴走左轮,-1
2183,216,10,600,1,雷切太刀,-1
2183,138,10,600,1,女神恩赐,-1
2183,210,10,600,1,铭文阔剑,-1
2183,112,10,600,1,诅咒之眼,-1
2184,123,10,600,1,超合金巨钻,-1
2184,132,10,600,1,血契魔锤,-1
2184,222,10,600,1,天使权杖,-1
2184,226,10,600,1,天使之泪,-1
2184,213,10,600,1,超脉冲步枪,-1
2184,223,10,600,1,光子护翼,-1
2186,245,10,600,1,$风行利刃(主动),0
2187,246,10,600,1,$羽化之靴（主动）,0
2188,247,10,600,1,$斩裂剑(主动),0
2189,248,10,600,1,$巨龙狩猎者(主动),0
2190,249,10,600,1,$超合金巨钻(主动),0
2191,250,10,600,1,$女神恩赐(主动),0
2192,251,10,600,1,$巫师帽子(主动),0
2193,252,10,600,1,$凛冬法杖(主动),0
2194,253,10,600,1,$至尊魔戒(主动),0
2195,254,10,600,1,$巫师帽子(主动),0
2205,245,10,600,1,$风行利刃(主动),0
2206,246,10,600,1,$羽化之靴（主动）,0
2207,247,10,600,1,$斩裂剑(主动),0
2208,248,10,600,1,$巨龙狩猎者(主动),0
2209,249,10,600,1,$超合金巨钻(主动),0
2210,122,10,600,1,$行刑黑棺,0
2211,118,10,600,1,$暴君,0
2212,252,10,600,1,$凛冬法杖(主动),0
2213,253,10,600,1,$至尊魔戒(主动),0
2214,254,10,600,1,$支配者面具,0
2215,106,10,600,1,$死神的凝视,0
2216,107,10,600,1,$雷霆法典,0
2217,114,10,600,1,$圣光裁决,0
2218,112,10,600,1,$诅咒之眼,0
2219,116,10,600,1,$灵能飞刃,0
2220,117,10,600,1,$风行利刃,0
2221,120,10,600,1,$御法之剑,0
2222,212,10,600,1,$强袭大剑,0
2223,133,10,600,1,$斩裂剑,0
2224,141,10,600,1,$伊贺飓风,0
2225,127,10,600,1,$暴走左轮,0
2226,216,10,600,1,$雷切太刀,0
2227,123,10,600,1,$超合金巨钻,0
2228,121,10,600,1,$血饮狂刀,0
2229,154,10,600,1,$恶魔拳套,0
2230,158,10,600,1,$速射短弓,0
2231,198,10,600,1,$追风,0
2232,153,10,600,1,$骑士长剑,0
2233,197,10,600,1,$锯齿匕首,0
2234,203,10,600,1,$铁锄,0
2235,152,10,600,1,$水晶剑,0
2236,199,10,600,1,$寒冰连枷,0
2237,159,10,600,1,$精钢锤,0
2238,191,10,600,1,$刺客飞刀,0
2239,195,10,600,1,$圣徒信仰,0
2240,147,10,600,1,$亡灵之魄,0
2241,148,10,600,1,$紫水晶,0
2242,233,10,600,1,$魔典,0
2243,145,10,600,1,$智者典籍,0
