职业ID,英雄名,基础血量,血量成长率,基础魔法,魔法成长率,基础物理攻击,物理攻击成长率,基础法术攻击,法术攻击成长率,基础物理防御,物理防御成长率,基础法术防御,法术防御成长率,基础移动速度,移动速度成长率,基础攻击速度,攻击速度成长率,基础普攻系数,普攻系数成长率,基础血量回复,血量回复成长率,基础魔法回复,魔法回复成长率,基础体力,体力成长率,附加百分比普攻系数,附加百分比普攻系数成长率,魔法类型,攻击速度下限,攻击速度上限,普攻系数下限,普攻系数上限,移动速度下限,移动速度上限,冷却缩短下限,冷却缩短上限,韧性下限,韧性上限,暴击率下限,暴击率上限,伤害加成(固定值)下限,伤害加成(固定值)上限,伤害加成百分比下限,伤害加成百分比上限,瞄准距离
int,string,int,float,int,float,int,float,int,float,int,float,int,float,int,float,int,float,int,float,int,float,int,float,int,float,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,风月游侠,80240,7720,36400,2850,5500,330,0,0,0,0,0,0,50000,0,1000000,0,320000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
2,追风箭灵,80240,7700,36400,2850,5500,330,0,0,0,0,0,0,50000,0,1000000,0,400000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
3,红女巫,75650,7500,45000,3830,5300,289,0,0,0,0,0,0,50000,0,1000000,0,683333,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
4,绯樱剑客,84320,8000,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,540000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
5,狂野巨盾,91800,8400,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,680000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
6,深海蛙王,75650,7500,45000,3830,5300,289,0,0,0,0,0,0,50000,0,1000000,0,480000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
7,花仙子,83300,7500,45000,3830,5500,289,0,0,0,0,0,0,50000,0,1000000,0,800000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
8,草原飞鹰,84320,8000,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,525000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
9,王国之剑,88910,8400,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,783333,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
10,灭世枪神,84320,8000,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,775000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
11,暗裔魔法师,75650,7500,45000,3830,5300,289,0,0,0,0,0,0,50000,0,1000000,0,866667,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
12,圣焰之手,87550,7700,45000,3830,5500,289,0,0,0,0,0,0,50000,0,1000000,0,637500,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
13,暴君,91800,8400,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,700000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
14,轻灵蔷薇,84320,8000,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,600000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
15,生化魔人,88910,8400,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,900000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
16,异域狼灵,84320,8000,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,500000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
17,虚空邪镰,83300,7500,45000,3830,5300,289,0,0,0,0,0,0,50000,0,1000000,0,816667,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
18,枪火之歌,80240,7700,36400,2850,5500,330,0,0,0,0,0,0,50000,0,1000000,0,406667,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
19,风暴龙灵,75650,7500,45000,3830,5300,289,0,0,0,0,0,0,50000,0,1000000,0,733333,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
20,蒸汽雄心,83300,7500,45000,3830,5500,289,0,0,0,0,0,0,50000,0,1000000,0,466667,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
21,深渊领主,83300,7500,45000,3830,5500,289,0,0,0,0,0,0,50000,0,1000000,0,740000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
22,唤潮小鱼人,83300,7500,45000,3830,5500,289,0,0,0,0,0,0,50000,0,1000000,0,733333,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
23,魅眼神狙,88400,8100,36400,2850,5300,289,0,0,0,0,0,0,50000,0,1000000,0,1000000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
24,幻影利刃,84320,8000,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,500000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
25,时空幻象,88400,8100,36400,2850,5300,289,0,0,0,0,0,0,50000,0,1000000,0,1000000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
26,凛冬战魂,88400,8100,36400,2850,5300,289,0,0,0,0,0,0,50000,0,1000000,0,1000000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
27,傲世神拳,88400,8100,36400,2850,5300,289,0,0,0,0,0,0,50000,0,1000000,0,1000000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
28,火炮男爵,88400,8100,36400,2850,5300,289,0,0,0,0,0,0,50000,0,1000000,0,1000000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,12
29,爆破狂人,88400,8100,36400,2850,5300,289,0,0,0,0,0,0,50000,0,1000000,0,1000000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
30,火炮射手,88400,8100,36400,2850,5300,289,0,0,0,0,0,0,50000,0,1000000,0,1000000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
31,龙猫萌骑,84320,8000,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,525000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
32,北海鱼姬,84320,8000,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,525000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
33,芳野鹿灵,84320,8000,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,525000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
34,铁拳兽宝,84320,8000,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,525000,0,700,50,600,70,100,0,0,0,2000000/3,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
35,收割者,84320,8000,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,525000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
36,银河战警,84320,8000,36400,3830,6000,330,0,0,0,0,0,0,50000,0,1000000,0,525000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
37,黑夜女王,84320,8000,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,600000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
38,末日战甲,84320,8000,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,600000,0,700,50,600,70,100,0,0,0,2000000/4,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
39,邪能恶魔,84320,8000,36400,2850,6000,330,0,0,0,0,0,0,50000,0,1000000,0,600000,0,700,50,600,70,100,0,0,0,1000000/-1,5000,30000,1000,50000,100,1000,0,4000,0,5000,0,10000,-8000,8000,-8000,8000,10
