英雄id,界面id(1大厅2商城界面3点赞界面),位置x,位置y,位置z,转角度x,转角度y,转角度z,缩放x,缩放y,缩放z,备注
int,int,float,float,float,int,int,int,float,float,float,string
1,1,0,0,0,0,355.6,0,1.1,1.1,1.1,风月游侠
2,1,0,0,0,0,0,0,1,1,1,追风箭灵
3,1,0,0,0,0,0,0,1.1,1.1,1.1,红女巫
4,1,0,0,0,0,0,0,1.1,1.1,1.1,绯樱剑客
5,1,0,0,0,0,0,0,1,1,1,狂野巨盾
6,1,0,0,0,0,0,0,1,1,1,深海蛙王
7,1,0,0,0,0,0,0,1.2,1.2,1.2,花仙子
8,1,0.05,0,0,0,0,0,1.15,1.15,1.15,草原飞鹰
9,1,0,0,0,0,0,0,1,1,1,王国之剑
10,1,0,0,0,0,0,0,1.1,1.1,1.1,灭世枪神
11,1,0,0,0,0,0,0,1.1,1.1,1.1,暗裔魔法师
12,1,0,0,0,0,0,0,1.1,1.1,1.1,圣焰之手
13,1,0.1,0,0,0,0,0,1.2,1.2,1.2,暴君
14,1,0,0,0,0,0,0,1.2,1.2,1.2,轻灵蔷薇
15,1,0,0,0,0,0,0,1.1,1.1,1.1,生化魔人
16,1,0,0,0,0,0,0,1.2,1.2,1.2,异域狼灵
17,1,0,0,0,0,0,0,1.1,1.1,1.1,虚空邪镰
18,1,0,0,0,0,0,0,1.1,1.1,1.1,枪火之歌
19,1,0,0,0,0,0,0,1.1,1.1,1.1,风暴龙灵
20,1,0,0,0,0,0,0,1.1,1.1,1.1,蒸汽雄心
21,1,0,0,0,0,0,0,1.1,1.1,1.1,深渊领主
22,1,0,0,0,0,0,0,1.2,1.2,1.2,唤潮小鱼人
23,1,0,0,0,0,0,0,1.1,1.1,1.1,魅眼神狙
24,1,0,0,0,0,0,0,1,1,1,幻影利刃
25,1,0,0,0,0,0,0,1,1,1,时空幻象
26,1,0,0,0,0,0,0,0.95,0.95,0.95,凛冬战魂
27,1,0,0,0,0,0,0,1.1,1.1,1.1,傲世神拳
28,1,0,0,0,0,0,0,1.1,1.1,1.1,火炮男爵
29,1,0,0,0,0,0,0,1.1,1.1,1.1,爆破狂人
30,1,0,0,0,0,0,0,1.1,1.1,1.1,火炮射手
31,1,0.05,0,0,0,0,0,1.15,1.15,1.15,草原飞鹰
32,1,0.05,0,0,0,0,0,1.15,1.15,1.15,北海鱼姬
33,1,0.05,0,0,0,0,0,1.15,1.15,1.15,芳野鹿灵
34,1,0.05,0,0,0,0,0,1.15,1.15,1.15,铁拳兽宝
35,1,0.05,0,0,0,0,0,1.15,1.15,1.15,收割者
36,1,0.05,0,0,0,0,0,1.15,1.15,1.15,银河战警
37,1,0.05,0,0,0,0,0,1.15,1.15,1.15,黑夜女王
38,1,0.05,0,0,0,0,0,1.15,1.15,1.15,末日战甲
39,1,0.05,0,0,0,0,0,1.15,1.15,1.15,邪能恶魔
40,1,0.05,0,0,0,0,0,1.15,1.15,1.15,傀儡双骄
41,1,0.05,0,0,0,0,0,1.15,1.15,1.15,契约者
42,1,0.05,0,0,0,0,0,1.15,1.15,1.15,战争祸源
1,2,0,-0.9,2.5,0,145,0,1,1,1,风月游侠
2,2,0,-0.9,2.5,0,180,0,1,1,1,追风箭灵
3,2,0,-0.9,2.7,0,180,0,1,1,1,红女巫
4,2,0,-0.8,2.5,0,180,0,1,1,1,绯樱剑客
5,2,0,-1.1,3,10,190,0,0.9,0.9,0.9,狂野巨盾
6,2,0,-0.9,2.5,5,180,0,1,1,1,深海蛙王
7,2,0,-0.9,2.5,0,180,0,1.2,1.2,1.2,花仙子
8,2,0,-0.8,2.6,5,180,0,1,1,1,草原飞鹰
9,2,0,-1.1,3,0,180,0,1,1,1,王国之剑
10,2,0,-0.8,2.5,0,180,0,0.9,0.9,0.9,灭世枪神
11,2,0,-0.9,2.5,0,180,0,1,1,1,暗裔魔法师
12,2,0,-0.9,2.5,0,180,0,1,1,1,圣焰之手
13,2,0,-0.9,2.5,0,180,0,0.9,1,1,暴君
14,2,0,-0.9,2.5,0,180,0,1,1,1,轻灵蔷薇
15,2,0,-0.9,2.5,0,180,0,1,1,1,生化魔人
16,2,0,-0.9,2.5,0,180,0,1,1,1,异域狼灵
