出售ID,商城名称,是否启用（设置为0表示一整行都无效程序不会读取）,是否商城显示（0在商城显示1不在商城显示）,分类标志(1英雄2皮肤3翅膀4基因样本5符文6补给7特殊物品（改名卡、刷新神秘商店、刷新任务操作）8金币9终结技10核晶11杂物),奖励ID,商品标签（0不推荐1新品2推荐3折扣11史诗12传说13限时）,位置权重(权重越大的物品，显示位置越靠前),Vip等级,角色显示与购买等级要求,开始时间,结束时间,动态价格ID,点券单价,金币单价,金币适用类型（1只消耗金币2只消耗金币3全部消耗）,折扣率（基础10000）,折扣开始时间,折后结束时间,限制数量,限制刷新类型（分为0不限制，1按天24点刷行、2时间刷新、3不刷新）,限制刷新时间,商城附加描述,商城描述,按区开放（i. 不填默认为0代表全部开放，填了就按填的区开放）,商城消费途径（1改名消费、2水晶充能消耗、3神秘商店刷新消费、4刷新任务操作）
int,string,int,int,int,int,int,int,int,string,string,string,,int,int,int,int,string,string,int,int,int,string,string,string,
1,风月游侠,1,0,1,2001,1,,,1;120,,,,50,0,2,,,,,0,0,,,,
2,追风箭灵,1,0,1,2002,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
3,绯红之焰,1,0,1,2003,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
4,绯樱剑客,1,0,1,2004,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
5,狂野巨盾,1,0,1,2005,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
6,深海蛙王,1,0,1,2006,2,,,1;120,,,,50,0,2,,,,,0,0,,,,
7,花仙子,1,0,1,2007,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
8,蛮族之刃,1,0,1,2008,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
9,帝国之剑,1,0,1,2009,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
10,灭世枪神,1,0,1,2010,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
11,暗裔魔法师,1,0,1,2011,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
12,圣焰之手,1,0,1,2012,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
13,暴君,1,0,1,2013,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
14,轻灵蔷薇,1,0,1,2014,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
15,生化魔人,1,0,1,2015,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
16,异域狼灵,1,0,1,2016,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
17,虚空邪镰,1,0,1,2017,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
18,圣枪战姬,1,0,1,2018,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
19,风暴龙灵,1,0,1,2019,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
20,钢铁纪元,1,0,1,2020,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
21,深渊领主,1,0,1,2021,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
22,唤潮小鱼人,1,0,1,2022,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
23,魅眼神狙,1,0,1,2023,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
24,幻影利刃,1,0,1,2024,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
25,时空幻象,1,0,1,2025,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
26,凛冬战魂,1,0,1,2026,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
27,傲世神拳,1,0,1,2027,0,,,1;120,,,,5000,0,2,,,,,0,0,,,,
28,火炮男爵,1,0,1,2028,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
29,电竞小子,1,0,1,2029,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
30,狂野紫罗兰,1,0,1,2030,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
31,龙猫萌骑,1,0,1,2031,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
32,北海鱼姬,1,0,1,2032,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
33,芳野鹿灵,1,0,1,2033,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
34,铁拳兽宝,1,0,1,2034,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
35,收割者,1,0,1,2035,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
36,银河战警,1,0,1,2036,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
37,黑夜女王,1,0,1,2037,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
38,末日战甲,1,0,1,2038,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
39,邪能恶魔,1,0,1,2039,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
40,傀儡双骄,1,0,1,2040,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
41,契约者,1,0,1,2041,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
42,战争祸源,1,0,1,2042,0,,,1;120,,,,50,0,2,,,,,0,0,,,,
501,基因样本,1,0,1,2101,0,,,1;120,,,1,400,800,2,,,,,0,0,风月游侠,英雄基因样本可用于强化对应的英雄,,
502,基因样本,1,0,1,2102,0,,,1;120,,,1,400,800,2,,,,,0,0,追风箭灵,英雄基因样本可用于强化对应的英雄,,
503,基因样本,1,0,1,2103,0,,,1;120,,,1,400,800,2,,,,,0,0,绯红之焰,英雄基因样本可用于强化对应的英雄,,
504,基因样本,1,0,1,2104,0,,,1;120,,,1,400,800,2,,,,,0,0,绯樱剑客,英雄基因样本可用于强化对应的英雄,,
505,基因样本,1,0,1,2105,0,,,1;120,,,1,400,800,2,,,,,0,0,狂野巨盾,英雄基因样本可用于强化对应的英雄,,
506,基因样本,1,0,1,2106,0,,,1;120,,,1,400,800,2,,,,,0,0,深海蛙王,英雄基因样本可用于强化对应的英雄,,
507,基因样本,1,0,1,2107,0,,,1;120,,,1,400,800,2,,,,,0,0,花仙子,英雄基因样本可用于强化对应的英雄,,
