宝箱ID,宝箱标志位(1、普通类型；2、宝石类型),宝箱名称,对应奖励ID,宝箱图标,宝箱描述,是否能购买,数量为0是否显示,宝箱模型,常态动作,打开动作,展示动作,镜头光效,常态光效,打开光效,展示光效,数量为0光效,奖励组ID,主界面背景光效
int,int,string,int,int,string,int,int,int,string,string,string,int,int,int,int,int,int,int
1,1,冠军宝箱,1505,1,开启可随机获得英雄、天赋、勋章,0,0,1,stand,open,show,16,3,6,9003,9004,2,29
2,1,国王宝箱,1506,2,开启可随机获得英雄、天赋、勋章,0,0,2,stand,open,show,18,4,7,9007,9008,3,30
3,1,永恒宝箱,1507,3,开启可随机获得英雄、天赋、勋章,0,0,3,stand,open,show,19,5,8,9011,9012,4,31
4,1,冠军宝箱,1515,1,开启可随机获得英雄、天赋、勋章,0,0,1,stand,open,show,16,3,6,9003,9004,5,29
5,1,冠军宝箱,1516,1,开启可随机获得英雄、天赋、勋章,0,0,1,stand,open,show,16,3,6,9003,9004,6,29
6,1,国王宝箱,1517,2,开启可随机获得英雄、天赋、勋章,0,0,2,stand,open,show,18,4,7,9007,9008,7,30
7,1,核晶宝箱,1537,1,开启可随机获得一颗二级核晶,0,0,1,stand,open,show,16,3,6,9003,9004,8,29
11,1,注册礼包,1541,2,金币500<br>基因样本*20<br>[普通]英勇核晶*1<br>新手冠军宝箱<br>[优质]生命核晶,0,0,2,stand,open,show,18,4,7,9007,9008,11,30
12,1,登陆礼包1天,1543,2,金币500<br>基因样本*20,0,0,2,stand,open,show,18,4,7,9007,9008,12,30
13,1,登陆礼包2天,1544,2,金币500<br>基因样本*20<br>新手冠军宝箱,0,0,2,stand,open,show,18,4,7,9007,9008,13,30
14,1,登陆礼包3天,1545,2,金币500<br>基因样本*20<br>2级英勇核晶,0,0,2,stand,open,show,18,4,7,9007,9008,14,30
15,1,登陆礼包4天,1546,2,金币500<br>基因样本*20<br>核晶模组,0,0,2,stand,open,show,18,4,7,9007,9008,15,30
16,1,登陆礼包5天,1547,2,金币500<br>基因样本*20<br>新手冠军宝箱,0,0,2,stand,open,show,18,4,7,9007,9008,16,30
17,1,登陆礼包6天,1548,2,金币500<br>基因样本*20<br>新手国王宝箱,0,0,2,stand,open,show,18,4,7,9007,9008,17,30
18,1,登陆礼包7天,1549,3,金币500<br>基因样本*20<br>终结技·终焉之歌（绯红女巫）,0,0,3,stand,open,show,19,5,8,9011,9012,18,31
19,1,每日在线礼包180分钟,1556,1,100金币<br>新手冠军宝箱*1,0,0,1,stand,open,show,16,3,6,9003,9004,19,29
20,1,累积签到礼包3天,1557,1,基因样本*20<br>[普通]庇护核晶,0,0,1,stand,open,show,16,3,6,9003,9004,20,29
21,1,累积签到礼包5天,1558,1,基因样本*30,0,0,1,stand,open,show,16,3,6,9003,9004,21,29
22,1,累积签到礼包8天,1559,1,基因样本*30<br>[优质]生命核晶,0,0,1,stand,open,show,16,3,6,9003,9004,22,29
23,1,累积签到礼包11天,1560,1,基因样本*40,0,0,1,stand,open,show,16,3,6,9003,9004,23,29
24,1,累积签到礼包15天,1561,2,基因样本*50<br>[完美]庇护核晶,0,0,2,stand,open,show,18,4,7,9007,9008,24,30
