序号,描述,类型（1为角色解锁2为英雄解锁3为英雄升星解锁）,参数1（英雄ID）,参数2（解锁等级）,参数3（奖励id）,图片id(1天赋2炫招3卡牌4金币5头像6皮肤7经验8英雄9箱子),邮件id,星级描述
int,string,int,int,int,string,int,int,
1,角色解锁,1,,3,2001,8,,
2,角色解锁,1,,4,2009;1540,8,,
3,角色解锁,1,,5,2031,8,,
4,角色解锁,1,,6,2018;1540,8,,
5,角色解锁,1,,7,2013,8,,
6,角色解锁,1,,8,2033;1540,8,,
7,角色解锁,1,,9,2021;2034,8,,
8,角色解锁,1,,10,2024;2032;1540,8,,
9,角色解锁,1,,11,2004;2007,8,,
10,角色解锁,1,,12,2025;2019,8,,
11,角色解锁,1,,13,2012;2020,8,,
12,角色解锁,1,,14,2017;2014,8,,
13,角色解锁,1,,15,2010;2016,8,,
14,角色解锁,1,,16,2015;2005,8,,
15,角色解锁,1,,17,2023;2011,8,,
16,角色解锁,1,,18,2006;2026,8,,
17,角色解锁,1,,19,2029,8,,
18,英雄星级解锁,3,1,5,4061,2,,意识觉醒体
19,英雄星级解锁,3,2,5,4062,2,,意识觉醒体
20,英雄星级解锁,3,3,5,4063,2,,意识觉醒体
21,英雄星级解锁,3,4,5,4064,2,,意识觉醒体
22,英雄星级解锁,3,5,5,4065,2,,意识觉醒体
23,英雄星级解锁,3,6,5,4066,2,,意识觉醒体
24,英雄星级解锁,3,7,5,4067,2,,意识觉醒体
25,英雄星级解锁,3,8,5,4068,2,,意识觉醒体
26,英雄星级解锁,3,9,5,4069,2,,意识觉醒体
27,英雄星级解锁,3,10,5,4070,2,,意识觉醒体
28,英雄星级解锁,3,11,5,4071,2,,意识觉醒体
29,英雄星级解锁,3,12,5,4072,2,,意识觉醒体
30,英雄星级解锁,3,13,5,4073,2,,意识觉醒体
31,英雄星级解锁,3,14,5,4074,2,,意识觉醒体
32,英雄星级解锁,3,15,5,4075,2,,意识觉醒体
33,英雄星级解锁,3,16,5,4076,2,,意识觉醒体
34,英雄星级解锁,3,17,5,4077,2,,意识觉醒体
35,英雄星级解锁,3,18,5,4078,2,,意识觉醒体
36,英雄星级解锁,3,19,5,4079,2,,意识觉醒体
37,英雄星级解锁,3,20,5,4080,2,,意识觉醒体
38,英雄星级解锁,3,21,5,4081,2,,意识觉醒体
39,英雄星级解锁,3,22,5,4082,2,,意识觉醒体
40,英雄星级解锁,3,23,5,4083,2,,意识觉醒体
41,英雄星级解锁,3,24,5,4084,2,,意识觉醒体
42,英雄星级解锁,3,25,5,4085,2,,意识觉醒体
43,英雄星级解锁,3,26,5,4086,2,,意识觉醒体
44,英雄星级解锁,3,27,5,4087,2,,意识觉醒体
45,英雄星级解锁,3,28,5,4088,2,,意识觉醒体
46,英雄星级解锁,3,29,5,4089,2,,意识觉醒体
47,英雄星级解锁,3,30,5,4090,2,,意识觉醒体
48,英雄星级解锁,3,31,5,4091,2,,意识觉醒体
49,英雄星级解锁,3,32,5,4092,2,,意识觉醒体
50,英雄星级解锁,3,33,5,4093,2,,意识觉醒体
51,英雄星级解锁,3,34,5,4094,2,,意识觉醒体
52,英雄星级解锁,3,35,5,4095,2,,意识觉醒体
53,英雄星级解锁,3,36,5,4096,2,,意识觉醒体
54,英雄星级解锁,3,37,5,4115,2,,意识觉醒体
