符文ID（1-1000通用符文ID;1000以上为专属符文id）,符文名称,符文图标,符文专属（0为通用;1-1000为相应英雄可用）,符文镶嵌类型(雕文1印记2符印3精华4等分类),符文属性类型(生命1法力2攻击3魔法4防御5功能6),符文等级,符文描述,效果id组(都配效果),改动的参数组(都配效果),符文名称类型 (1加号;2百分比;4成长18;8扩大100),符文限制个数
int,string,int,int,int,,int,string,string,string,,int
1,暴击几率,1,0,2,3,3,[orange]等级3[/orange]<br>         [b][red]高级暴击印记[/red][/b]    <br>    +4.2%暴击几率,3095,4200000,11,2
2,暴击几率,2,0,4,3,3,[orange]等级3[/orange]<br>     [b][purple]高级暴击几率精华[/purple][/b] <br>      +5.58%暴击几率,3095,5580000,11,1
3,暴击伤害,1,0,2,3,3,[orange]等级3[/orange]<br>      [b][red]高级暴伤印记[/red][/b] <br>     +10%暴击伤害,3096,100000,3,2
4,暴击伤害,2,0,4,3,3,[orange]等级3[/orange]<br>      [b][purple]高级暴击伤害吸血精华[/purple][/b] <br>      +13.38%暴击伤害,3096,133800,3,1
5,法力回复/5秒,1,0,1,2,3,[orange]等级3[/orange]<br>      [b][blue]高级法力回复雕文[/blue][/b] <br>     +1.5法力回复/5秒,3103,15000,9,2
6,法力回复/5秒,3,0,4,2,3,[orange]等级3[/orange]<br>      [b][purple]高级法力回复精华[/purple][/b] <br>      +3.75法力回复/5秒,3103,37500,9,1
7,法力回复/5秒(18级),1,0,1,2,3,[orange]等级3[/orange]<br>      [b][blue]高级成长法力回复雕文[/blue][/b] <br>      每级+0.27法力回复/5秒(18级+4.86),3003,2700,13,2
8,法力回复/5秒(18级),4,0,4,2,3,[orange]等级3[/orange]<br>      [b][purple]高级成长法力回复精华[/purple][/b] <br>      每级+0.82法力回复/5秒(18级+12.96),3003,7200,13,1
9,法力值,1,0,1,2,3,[orange]等级3[/orange]<br>      [b][blue]高级法力值雕文[/blue][/b] <br>      +50.6法力值,3100,506000,9,2
10,法力值,3,0,4,2,3,[orange]等级3[/orange]<br>      [b][purple]高级法力值精华[/purple][/b] <br>      +112.5法力值,3100,1125000,9,1
11,法力值(18级),1,0,1,2,3,[orange]等级3[/orange]<br>      [b][blue]高级成长法力值雕文[/blue][/b] <br>      每级+6.4法力值(18级+115.2),3000,64000,13,2
12,法力值(18级),4,0,4,2,3,[orange]等级3[/orange]<br>      [b][purple]高级成长法力值精华[/purple][/b] <br>     每级+12.51法力值(18级+225.18),3000,125100,13,1
13,法术穿透,2,0,2,4,3,[orange]等级3[/orange]<br>    [b][red]高级法术穿透印记[/red][/b] <br>      +3.9法术穿透,3104,390,1,2
14,法术穿透,1,0,4,4,3,[orange]等级3[/orange]<br>      [b][purple]高级法术穿透精华[/purple][/b] <br>      +6.03法术穿透,3104,603,1,1
15,法术防御,1,0,1,5,3,[orange]等级3[/orange]<br>      [b][blue]高级法术防御雕文[/blue][/b] <br>      +6法术防御,3101,60000,9,2
