技能ID,职业,备注,技能类型,技能名称,技能描述,技能图标,预备光效,施法光效,被击光效,怪物被击光效,预备动画,施法动画,被击动画,怪物被击动画,预备音效,施法音效,被击音效,击中音效,准备时间,打断标志,持续时间,僵持时间,移动僵持时间,转向僵持时间,冷却ID,消耗法力,消耗体力,消耗能量,技能威力,等级系数,攻击百分比(float),穿透百分比(float),固定仇恨值,仇恨值百分比,选择目标类型,目标类型,伤害类型,技能效果类型,命中时间,攻击类型,攻击次数,攻击时间,同目标伤害次数,最大攻击目标数量,选择范围(float),攻击范围(float),攻击衰减(float),攻击衰减上限(float),技能距离(float),飞行速度(float),使用技能高度(float),技能攻击高度(float),死亡效果类型,技能默认选择类型,技能智能选择类型,技能常规选择类型,技能快捷施法选择类型,技能使用类型,技能使用标识,技能被动事件,技能标识,技能命令优先级,技能描画类型
nID,nVocation,strRemark,nType,szName,szDesc,nIcon,strPrepareLighting,strCastLighting,strDamageLighting,strMonsterDamageLighting,strPrepareAnimation,strCastAnimation,strDamageAnimation,strMonsterDamageAnimation,strPrepareSound,strCastSound,strDamageSound,strHitSound,nPrepareTime,nBreakFlag,nDuration,nRigidity,nMoveRigidity,nTurnRigidity,nCoolID,nMP,nStamina,nEnergy,nPower,nLevelFactor,nAttackPCT,nPenetrationPCT,nStockEnmity,nEnmityPCT,nSelectTargetType,nTargetType,nDamageType,nSpellEffectType,nHitTime,nAttackType,nAttackCount,nAttackTime,nTargetDamageCount,nTargetCount,nChooseRange,nAttackRange,nAttackDecline,nAttackDeclineLimit,nDistance,nFlyingSpeed,nUseHeight,nAttackHeight,nDeadType,nDefaultSelectType,nSmartSelectType,nSelectType,nSpeedSelectType,nCastType,nCastFlag,nPassiveEvent,nSpellFlag,nSpellCommandLevel,nDrawType
1420,VOCATION_INVALID,0_0_0_隐身,SPELL_TYPE_CAST,$主动装备隐身,$[b][size=25][yellow]隐身[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]使用立即进入隐身状态，持续20秒，冷却120秒[/blue][/size],83,0,3011,0,0,0,0,0,0,0,0,0,0,3000,125,3000,300,300,0,2052,0,0,0,0,0,0,0,0,0,1,1,0,130,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,100,10000,0,1000,DeadEffect_Normal,1,1,1,1,17,4096,0,0,30,0
1421,VOCATION_INVALID,0_0_1_魔躯,SPELL_TYPE_CAST,$主动装备魔躯,$[b][size=25][yellow]魔躯[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]使用立即解除所有控制效果，并且免疫所有控制，持续5秒，冷却180秒[/blue][/size],87,0,0,0,0,0,0,0,0,0,0,0,0,0,125,300,300,0,0,2053,0,0,0,0,0,0,0,0,0,1,1,0,130,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,100,10000,0,1000,DeadEffect_Normal,1,1,1,1,17,4096,0,0,30,0
1422,VOCATION_INVALID,0_0_2_狩猎,SPELL_TYPE_CAST,$主动装备狩猎,$[b][size=25][yellow]狩猎[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]立即对单个目标造成当前最大生命值15%的魔法伤害，冷却120秒[/blue][/size],41,0,0,7,7,0,0,0,0,0,0,0,0,0,125,300,300,0,0,2054,0,0,0,0,0,0,0,0,0,2195576,2195576,0,131330,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,1500,10000,0,1000,DeadEffect_Normal,1,8388674,578,66,17,4096,0,0,30,1024
1423,VOCATION_INVALID,0_0_3_双刃,SPELL_TYPE_CAST,$主动装备双刃,$[b][size=25][yellow]双刃[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]使用后自身攻击速度提高100%，吸血提高50%，同时受到伤害提高20%，持续5秒，冷却120秒[/blue][/size],46,0,0,0,0,0,0,0,0,0,0,0,0,0,125,300,300,0,0,2055,0,0,0,0,0,0,0,0,0,1,1,0,130,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,100,10000,0,1000,DeadEffect_Normal,1,1,1,1,17,4096,0,0,30,0
1424,VOCATION_INVALID,0_0_4_治愈,SPELL_TYPE_CAST,$主动装备治愈,$[b][size=25][yellow]治愈[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]使用立即回复周围自己和友军300点生命值，冷却90秒[/blue][/size],36,0,0,4,4,0,0,0,0,0,0,0,0,0,125,300,300,0,0,2056,0,0,0,0,0,0,0,0,0,1,1,0,130,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,100,10000,0,1000,DeadEffect_Normal,1,1,1,1,17,4096,0,0,30,0
1425,VOCATION_INVALID,0_0_5_金身,SPELL_TYPE_CAST,$主动装备金身,$[b][size=25][yellow]金身[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]使用后3秒内免疫一切伤害和控制效果，自身不移动和攻击，冷却120秒[/blue][/size],207,0,157,0,0,0,0,0,0,0,0,0,0,0,125,300,300,0,0,2057,0,0,0,0,0,0,0,0,0,1,1,0,130,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,100,10000,0,1000,DeadEffect_Normal,1,1,1,1,17,4096,0,0,30,0
1426,VOCATION_INVALID,0_0_6_冰环,SPELL_TYPE_CAST,$主动装备冰环,$[b][size=25][yellow]冻结[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]对自身周围半径15米范围内所有敌人造成100点魔法伤害，并且定身2秒，冷却180秒[/blue][/size],79,0,3740,0,0,0,0,0,0,0,0,0,0,0,125,300,300,0,0,2058,0,0,0,0,0,0,0,0,0,1,1,0,65794,300,INSTANT_SINGLE,1,0,1,1,0,1500,0,100,1500,10000,0,1000,DeadEffect_Normal,1,1,1,1,17,4096,0,0,30,0
1427,VOCATION_INVALID,0_0_7_点燃,SPELL_TYPE_CAST,$主动装备点燃,$[b][size=25][yellow]点燃[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]对敌人每秒造成50点魔法伤害，并且造成重伤效果，持续5秒，冷却180秒[/blue][/size],38,0,1,1,0,0,0,0,0,0,0,0,0,0,125,300,300,0,0,2059,0,0,0,0,0,0,100,0,0,2195576,2195576,0,131362,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,1500,10000,0,1000,DeadEffect_Normal,1,8389186,578,66,17,4096,0,0,30,1024
1428,VOCATION_INVALID,0_0_8_瞬移,SPELL_TYPE_CAST,$主动装备瞬移,$[b][size=25][yellow]点燃[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]使用自身立即朝鼠标方向移动20米，冷却180秒[/blue][/size],212,0,0,0,0,0,0,0,0,0,0,0,0,0,125,300,300,0,0,2060,0,0,0,0,0,0,0,0,0,1,1,0,8193,0,INSTANT_LINE,1,0,1,1,0,100,0,100,2000,50000,0,1000,DeadEffect_Normal,1,12583042,4194946,4194434,17,4096,0,0,30,66
1451,VOCATION_INVALID,0_0_9_召唤随从,SPELL_TYPE_CAST,$召唤随从,$[b][size=25][yellow]点燃[orange][/orange][/yellow][/size][/b] <br>[size=20][blue]使用自身立即朝鼠标方向移动20米，冷却180秒[/blue][/size],212,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,2060,0,0,0,0,0,0,0,0,0,1,1,0,8193,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,100,1000,0,1000,DeadEffect_Normal,1,1,1,1,28673,4096,0,0,30,66
39,VOCATION_INVALID,0_0_蓝色近战普攻1,SPELL_TYPE_CAST,$蓝色士兵,1,3,0,1071,1076,0,0,a,0,0,0,0,0,0,0,4,300,300,300,0,1093,0,0,0,0,0,0,0,20,0,2720632,2720632,4,22,300,INSTANT_SINGLE,1,200,1,1,0,100,0,100,300,1000,0,1000,DeadEffect_Normal,1,32,32,32,136,0,8,0,0,0
1437,VOCATION_INVALID,0_1_9_进化,SPELL_TYPE_CAST,$进化,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,119,5000,300,300,300,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,INSTANT_SINGLE,1,0,1,0,100,100,0,100,100,10000,0,100,DeadEffect_Normal,1,1,1,1,65,12288,0,0,0,0
937,VOCATION_INVALID,0_1_蓝色近战普攻2,SPELL_TYPE_CAST,$蓝色士兵,1,3,0,1072,1076,0,0,b,0,0,0,0,0,0,0,4,300,300,300,0,1093,0,0,0,0,0,0,0,20,0,2720632,2720632,4,22,300,INSTANT_SINGLE,1,200,1,1,0,100,0,100,300,1000,0,1000,DeadEffect_Normal,1,32,32,32,136,0,8,0,0,0
40,VOCATION_INVALID,0_2_蓝色远程兵,SPELL_TYPE_CAST,$蓝色弓兵,1,3,0,1073;1074,1076,0,0,a,0,0,0,0,0,0,0,1,300,300,300,0,1093,0,0,0,0,0,0,0,20,0,2720632,2720632,4,21,300,FLY_SINGLE,1,0,1,1,0,50,0,100,1000,3000,0,1000,DeadEffect_Normal,1,16,16,16,136,0,8,0,0,0
