技能ID,事件ID,客户端条件列表,客户端效果列表,服务器条件列表,服务器效果列表
int,int,string,string,string,string
1,3,empty,empty,empty,6241
1,3,empty,empty,275,6791
2,2,empty,empty,empty,747
3,10,empty,empty,empty,4
3,3,empty,empty,empty,empty
3,3,empty,empty,1,6466
3,3,empty,empty,empty,6241
3,3,518,6415,empty,empty
3,3,empty,empty,275,6791
3,11,empty,empty,empty,21352
4,10,empty,empty,203,4850;4895
4,2,empty,4851;4889,empty,empty
5,3,empty,empty,1,6466
5,3,empty,empty,empty,6241
5,3,518,6416,empty,empty
5,3,empty,empty,275,6791
6,2,empty,empty,empty,empty
6,1,empty,empty,empty,79
7,2,empty,empty,empty,25;737
7,3,empty,empty,empty,32;37;799
7,1,empty,empty,empty,791
8,1,empty,empty,empty,11
12,2,empty,empty,empty,12
15,10,empty,empty,empty,3348
15,3,empty,empty,1,6409
15,11,empty,empty,empty,21357
16,3,empty,empty,1,6410
17,3,empty,empty,1,6411
18,10,empty,empty,empty,3438
18,2,empty,empty,empty,3660
18,3,empty,empty,1,6466
18,3,518,3184,empty,empty
19,2,empty,empty,empty,3660
19,3,empty,empty,1,6466
19,3,518,3184,empty,empty
20,2,empty,empty,empty,3660
20,3,empty,empty,1,6466
20,3,518,3184,empty,empty
21,3,empty,empty,empty,3468
21,2,empty,empty,empty,3457;3661;3691;3724
21,4,empty,empty,empty,3595;5033
21,2,empty,empty,empty,3684;3675
21,3,empty,empty,472;473,6478
22,2,empty,4851,empty,empty
22,8,empty,empty,empty,3706
22,1,empty,empty,103,3707;5572
23,2,empty,4889,empty,empty
23,1,empty,empty,103,3707;5572
23,8,empty,empty,empty,3706
24,2,519,4851,empty,empty
24,10,empty,empty,empty,4850
25,2,519,4851,empty,empty
25,10,empty,empty,empty,4850
26,2,empty,empty,empty,empty
26,10,empty,empty,empty,4850
27,2,empty,empty,empty,3439
27,2,empty,empty,empty,3459
27,4,empty,empty,empty,3520
28,3,empty,empty,15,1369
28,3,empty,empty,1,6466
28,3,518,6415,empty,empty
28,11,empty,empty,empty,21359
29,3,empty,empty,15,1369
29,3,empty,empty,1,6466
29,3,518,6416,empty,empty
30,3,empty,empty,15,1369
30,3,empty,empty,1,6411
31,2,empty,empty,empty,112
32,2,empty,empty,empty,112
33,2,empty,empty,empty,112
34,2,empty,empty,empty,112
35,11,empty,empty,empty,6732
36,2,empty,empty,empty,747
37,2,empty,empty,empty,747
38,2,empty,empty,empty,747
39,3,empty,empty,4,742
39,3,empty,empty,12,7044
39,3,empty,empty,15;528,1739
39,3,empty,empty,529;15,6669
40,3,empty,empty,4,742
40,3,empty,empty,12,7044
40,3,empty,empty,15;528,1739
40,3,empty,empty,529;15,6669;6936
41,2,empty,empty,52,2076
41,2,empty,empty,53,2077
41,2,empty,empty,54,2078
41,2,empty,empty,55,2079
42,2,empty,empty,52,2076
42,2,empty,empty,53,2077
42,2,empty,empty,54,2078
42,2,empty,empty,55,2079
46,2,empty,empty,empty,45
46,1,empty,empty,empty,1509
46,2,empty,empty,empty,6707
47,4,empty,empty,4,18
47,2,empty,empty,empty,empty
49,2,empty,empty,empty,110
50,10,empty,empty,empty,3497
50,3,empty,empty,1,6409
50,11,empty,empty,empty,21358
51,3,empty,empty,1,6466
51,3,518,3184,empty,empty
52,3,empty,empty,1,6411
54,2,empty,empty,empty,empty
54,4,empty,756,empty,empty
55,2,empty,empty,empty,112
55,2,empty,empty,137,4594
55,2,empty,empty,413,6282
56,2,empty,empty,empty,112
56,2,empty,empty,137,4594
56,2,empty,empty,413,6282
57,2,empty,empty,empty,112
57,2,empty,empty,137,4594
57,2,empty,empty,413,6282
58,2,empty,empty,empty,112
58,2,empty,empty,137,4594
58,2,empty,empty,413,6282
62,4,empty,empty,empty,112
62,2,empty,empty,empty,77
63,3,empty,empty,4,742
63,3,empty,empty,12,7044
63,3,empty,empty,15;528,1739
63,3,empty,empty,529;15,6669
64,1,empty,empty,empty,79
66,2,empty,empty,empty,2042
66,3,empty,empty,48,2054
66,3,empty,empty,49;305;4,6810
66,3,empty,empty,304;326,5717
66,3,empty,empty,327;304,743
66,3,empty,empty,49;305;12,7032
67,3,empty,empty,106,3995
68,1,empty,empty,empty,5055;3459
69,2,empty,empty,empty,5671
69,2,empty,empty,empty,3459
69,4,empty,empty,empty,3520
69,6,empty,empty,empty,3520
70,2,empty,empty,empty,3442
70,2,empty,empty,empty,3459
70,4,empty,empty,empty,3520
70,6,empty,empty,empty,3520
71,2,empty,empty,empty,3443
71,2,empty,empty,empty,3459
71,4,empty,empty,empty,3520
71,6,empty,empty,empty,3520
72,2,empty,empty,empty,3454;3724
72,2,empty,empty,empty,3459
72,2,empty,empty,empty,3650;3688
72,2,empty,empty,215,5032
73,2,empty,empty,empty,3724;3454
73,2,empty,empty,empty,3459
