技能名字,召唤师技能id,需求等级,对应的图片id,技能描述,适用战场模式(模式0moba模式1rpg模式2吃鸡)
string,int,int,int,string,int
灼烧,407,1,20,灼烧<br><br>需要达到等级：1<br><br>灼烧是对单体敌方目标施放的持续性伤害技能，在5秒的持续时间里造成70-410（取决于英雄等级）真实伤害,0
引力坍缩,408,1,22,引力坍缩<br><br>需要达到等级：1<br><br>降低目标敌方英雄40%的移动速度和18%普攻系数，以及10护甲与魔法抗性，并且他们所造成的伤害减少40%，持续3.5秒,0
光学护盾,409,1,15,光学护盾<br><br>需要达到等级：1<br><br>为你的英雄套上护盾，吸收115-455（取决于英雄等级）点伤害，持续2秒。,0
超频位移,410,1,24,超频位移<br><br>需要达到等级：1<br><br>你的英雄在移动时会无视单位的碰撞体积，移动速度增加27%，持续10秒。,0
惩戒,400,1,13,惩戒<br><br>需要达到等级：1<br><br>对野怪使用将造成300+目标最大生命值10%的真实伤害；对敌方英雄使用造成法术伤害并降低目标30%的移动速度，持续3秒,0
生物力场,486,1,17,生物力场<br><br>需要达到等级：1<br><br>为你和友方英雄回复95-345（取决于英雄等级）血量，并提升30%移速。,0
导弹,1116,1,215,导弹<br><br>需要达到等级：1<br><br>召唤导弹将敌人朝自己方向击飞一段距离，并造成65-150法术伤害（取决于英雄等级），若敌人处于高处被击落，则对敌人额外造成2秒眩晕,0
透视扫描,1267,1,332,透视扫描<br><br>需要达到等级：1<br><br>选择半径100米的范围进行扫描，照亮半径15米范围的视野，可使隐身单位显形，持续10秒。,0
救治,1392,1,117,救治<br><br>需要达到等级：1<br><br>救治一个处于濒死状态的友军单位,2
