天赋效果ID,效果类型(0--新增技能[参数1:新增技能ID参数2槽位类型参数3槽位-1为按槽位表读取] 1--影响技能字段[参数1:技能ID 参数2:技能字段 参数3:add(0) or set(1)参数4:天赋数值] 2--影响技能条件效果[参数1:技能ID 参数2:技能事件 参数3:子类型(0--增加条件 1--减少条件 2--增加效果 3--减少效果) 4--条件效果ID] 3--开启效果列表[参数1:效果列表] 4--替换技能[参数1:旧技能ID 参数2:新技能ID]) 5--增加buff[参数1：buffID],参数1,参数2,参数3（槽位）,参数4（槽位等级）,参数5,参数6,备注
int,int,string,string,string,string,string,string,string
10001,0,411,2,16,,,,净化
10002,0,227,2,16,,,,冰结
10003,0,138,2,16,,,,疾跑
10004,0,136,2,16,,,,金身
10005,0,137,2,16,,,,冰霜冲击
10006,0,228,2,16,,,,庇护
10007,0,759,2,16,,,,守护天使光效及图标
10008,3,3989,,,,,,祈祷
10009,3,3704;3705;6919;6920,,,,,,治愈
10010,3,3799,,,,,,每级普攻伤害+3.3%
10011,3,3800,,,,,,每级普攻伤害+2.7%
10012,3,3801,,,,,,每级法术强度+4
10013,3,3802;3803,,,,,,每级物理防御+3，法术抗性+2
10014,3,3796,,,,,,普攻伤害+20%
10015,3,3797,,,,,,物理攻击+10%
10016,3,3798,,,,,,法术强度+10%
10017,3,1065,,,,,,守护天使假死
10018,3,4296,,,,,,三环
10019,5,1781,1,,,,,聚合：周期性提升法强30%
10020,5,1779,1,,,,,防御光环
10021,5,1782,1,,,,,近战英雄法术护盾15%
10022,5,1448,1,,,,,雷霆
10023,3,4327;4328;4329;4330;4331;4332;4333;4334;4335;4336;4337;4338;4339;4340;4341;4342;4343;4344;4345;4346;4347;4348;4349;4350;,,,,,,闪烁：翻滚消耗下降
10024,3,5864,,,,,,闪电
10025,0,1100,2,16,,,,激昂
10026,0,1101,2,16,,,,猛击
10027,0,1102,2,16,,,,塔防
10028,5,2263,1,,,,,精准
10029,0,1103,2,16,,,,腐蚀
10030,0,1104,2,16,,,,摄魂
10031,0,1107,2,16,,,,真视
10032,0,1105,2,16,,,,标记
10033,5,2269,1,,,,,鼓舞
10034,0,1106,2,18,,,,毁墙
10035,5,2281,1,,,,,羽化
10036,5,3201,1,,,,,降低复活时间
