天赋ID,比赛类型,地图ID,职业,等级,前置天赋,激活类型,消耗点数,天赋效果,天赋名称,天赋图标ID,天赋描述,,,,,,,,,,,,
int,string,string,int,int,int,int,int,string,string,int,string,,,,,,,,,,,,
10001,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,1,0,0,0,10111;536;64;144;851,一二技能自动学习,,,,,,,,,,,,,,
10002,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,2,1,0,0,0,10211;10212;537;538;539;851,一二技能自动学习,,,,,,,,,,,,,,
10003,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,3,1,0,0,0,10311;10312;10313;851,一二技能自动学习,,,,,,,,,,,,,,
10004,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10407;10408;621;851,一二技能自动学习,,,,,,,,,,,,,,
10005,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,1,0,0,0,10507;10508;10517;826;827;828;829;851,一二技能自动学习,,,,,,,,,,,,,,
10006,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,1,0,0,0,10609;10610;31;32;33;34;851,一二技能自动学习,,,,,,,,,,,,,,
10007,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,1,0,0,0,10711;10712;551;851,一二技能自动学习,,,,,,,,,,,,,,
10008,1;2;3;4;5;6;7;8;9;11;12;13;14,1,8,1,0,0,0,10811;10812;851,一二技能自动学习,,,,,,,,,,,,,,
10000,10,179,8,1,0,0,0,10817;10818;652;653;654;655;656;851,新手卓格一二技能自动学习,,,,,,,,,,,,,,
10009,1;2;3;4;5;6;7;8;9;11;12;13;14,1,9,1,0,0,0,10907;10908;851,一二技能自动学习,,,,,,,,,,,,,,
10010,1;2;3;4;5;6;7;8;9;11;12;13;14,1,10,1,0,0,0,11010;11011;540;851,一二技能自动学习,,,,,,,,,,,,,,
10011,1;2;3;4;5;6;7;8;9;11;12;13;14,1,11,1,0,0,0,11109;11110;541;851,一二技能自动学习,,,,,,,,,,,,,,
10012,1;2;3;4;5;6;7;8;9;11;12;13;14,1,12,1,0,0,0,11207;11208;851,一二技能自动学习,,,,,,,,,,,,,,
10013,1;2;3;4;5;6;7;8;9;11;12;13;14,1,13,1,0,0,0,11309;11310;851,一二技能自动学习,,,,,,,,,,,,,,
10014,1;2;3;4;5;6;7;8;9;11;12;13;14,1,14,1,0,0,0,11411;11412;627;628;629;630;851,一二技能自动学习,,,,,,,,,,,,,,
10015,1;2;3;4;5;6;7;8;9;11;12;13;14,1,15,1,0,0,0,11511;11512;851,一二技能自动学习,,,,,,,,,,,,,,
10016,1;2;3;4;5;6;7;8;9;11;12;13;14,1,16,1,0,0,0,11611;11612;851,一二技能自动学习,,,,,,,,,,,,,,
10017,1;2;3;4;5;6;7;8;9;11;12;13;14,1,17,1,0,0,0,11707;11708;620;631;632;633;634;851;852,一二技能自动学习,,,,,,,,,,,,,,
10018,1;2;3;4;5;6;7;8;9;11;12;13;14,1,18,1,0,0,0,11809;11810;11811;11812;851,一二技能自动学习,,,,,,,,,,,,,,
10019,1;2;3;4;5;6;7;8;9;11;12;13;14,1,19,1,0,0,0,11911;11912;830;831;832;833;851,一二技能自动学习,,,,,,,,,,,,,,
10020,1;2;3;4;5;6;7;8;9;11;12;13;14,1,20,1,0,0,0,12011;12012;546;547;548;635;636;637;638;851,一二技能自动学习,,,,,,,,,,,,,,
10021,1;2;3;4;5;6;7;8;9;11;12;13;14,1,21,1,0,0,0,12109;12110;680;851,一二技能自动学习,,,,,,,,,,,,,,
10022,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,22,1,0,0,0,12209;12210;544;545;851,一二技能自动学习,,,,,,,,,,,,,,
10023,1;2;3;4;5;6;7;8;9;11;12;13;14,1,23,1,0,0,0,12311;12312;851,一二技能自动学习,,,,,,,,,,,,,,
10024,1;2;3;4;5;6;7;8;9;11;12;13;14,1,24,1,0,0,0,12407;12408;834;835;836;837;851,一二技能自动学习,,,,,,,,,,,,,,
10025,1;2;3;4;5;6;7;8;9;11;12;13;14,1,25,1,0,0,0,12511;12512;12515;12516;12517;12518;851,一二技能自动学习,,,,,,,,,,,,,,
10026,1;2;3;4;5;6;7;8;9;11;12;13;14,1,26,1,0,0,0,12611;12612;579;838;839;840;841;851,一二技能自动学习,,,,,,,,,,,,,,
10027,1;2;3;4;5;6;7;8;9;11;12;13;14,1,27,1,0,0,0,12709;12710;12719;12720;12721;12722;842;843;844;845;851,一二技能自动学习,,,,,,,,,,,,,,
10028,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,28,1,0,0,0,12811;12812;851,一二技能自动学习,,,,,,,,,,,,,,
10029,1;2;3;4;5;6;7;8;9;11;12;13;14,1,29,1,0,0,0,12911;851,一二技能自动学习,,,,,,,,,,,,,,
10030,1;2;3;4;5;6;7;8;9;11;12;13;14,1,30,1,0,0,0,13009;13010;589;590;753;13000;13001;851;853,一二技能自动学习,,,,,,,,,,,,,,         
10031,1;2;3;4;5;6;7;8;9;11;12;13;14,1,31,1,0,0,0,13101;13102;13103;13104;13105;13112;13113;814;851,一二技能自动学习,,,,,,,,,,,,,,
10032,1;2;3;4;5;6;7;8;9;11;12;13;14,1,32,1,0,0,0,13209;13210;13211;815;846;847;848;849;851,一二技能自动学习,,,,,,,,,,,,,,
