天赋效果ID,效果ID组,天赋描述,,,,
int,string,string,,,,
1,,废弃,,,,
2,,废弃,,,,
3,,废弃,,,,
4,,废弃,,,,
5,,废弃,,,,
6,,废弃,,,,
7,,废弃,,,,
8,,废弃,,,,
9,,废弃,,,,
10,,废弃,,,, 
11,,废弃,,,,
12,,废弃,,,,
13,,废弃,,,,
14,,废弃,,,,
15,,废弃,,,,
16,,废弃,,,,
17,,废弃,,,,
18,,废弃,,,,
19,,废弃,,,,
20,,废弃,,,,
21,,废弃,,,,
22,,废弃,,,,
23,,废弃,,,,
24,,废弃,,,,
25,,废弃,,,,
26,,废弃,,,,
27,,废弃,,,,
28,,废弃,,,,
29,,废弃,,,,
30,,废弃,,,,
31,,废弃,,,,
32,,废弃,,,,
33,,废弃,,,,
34,,废弃,,,,
35,,废弃,,,,
36,,废弃,,,,
37,,废弃,,,,
38,,废弃,,,,
39,,废弃,,,,
40,,废弃,,,,
41,,废弃,,,,
42,,废弃,,,,
43,,废弃,,,,
44,,废弃,,,,
45,,废弃,,,,
46,,废弃,,,,
47,,废弃,,,,
48,,废弃,,,,
49,,废弃,,,,
50,,废弃,,,,
51,,废弃,,,,
52,,废弃,,,,
53,,废弃,,,,
54,,废弃,,,,
55,,废弃,,,,
56,,废弃,,,,
57,,废弃,,,,
58,,废弃,,,,
59,,废弃,,,,
60,,废弃,,,,
61,,废弃,,,,
62,,废弃,,,,
63,,废弃,,,,
64,,废弃,,,,
65,,废弃,,,,
66,,废弃,,,,
67,,废弃,,,,
68,,废弃,,,,
69,,废弃,,,,
70,,废弃,,,,
71,,废弃,,,,
72,,废弃,,,,
73,,废弃,,,,
74,,废弃,,,,
75,,废弃,,,,
76,,废弃,,,,
77,,废弃,,,,
78,,废弃,,,,
79,,废弃,,,,
80,,废弃,,,,
81,,废弃,,,,
82,,废弃,,,,
83,,废弃,,,,
84,,废弃,,,,
85,,废弃,,,,
86,,废弃,,,,
87,,废弃,,,,
88,,废弃,,,,
89,,废弃,,,,
90,,废弃,,,,
91,,废弃,,,,
92,,废弃,,,,
93,,废弃,,,,
94,,废弃,,,,
95,,废弃,,,,
96,,废弃,,,,
97,,废弃,,,,
98,,废弃,,,,
99,,废弃,,,,
100,,废弃,,,,
101,,废弃,,,,
102,,废弃,,,,
103,,废弃,,,,
104,,废弃,,,,
105,,废弃,,,,
