编号,名称,任务脚本,任务类型（1首胜任务2帮会任务3循环任务4主线5交互6日常7排位）,任务追踪显示位置（1任务系统2帮会任务界面）,优先级排序（0为不处理，数字越大写的越前）,任务描述,提示类型（0接受不提示1接受提示2完成提示）,下线保存（0保存1不保存）,是否允许删除（0不可删除1可删除）,循环类型（1按小时刷新2每日固定时间刷新3每周刷新）,小时刷新间隔,每日重复次数,每周重复次数,任务数据清除条件（0不清除1每日清除2每周清除）,前置任务,后置任务,接受条件：最低最高等级,完成条件：组队类型（-1不组队1需要联盟组队2师徒组队）,完成条件：胜利次数,完成条件：完成次数,完成条件：使用英雄类型,完成条件：拥有X个英雄,完成条件：拥有X个英雄皮肤类型,完成条件：角色等级达到X级,完成条件：角色总场次达到X场,完成条件：打开宝箱个数,完成条件：联盟捐献次数,显示奖励类型（0绑金1角色经验2第一个奖励ID）,奖励绑定金钱,奖励角色经验,奖励ID（奖励id;间隔）,任务客户端引导类型ID（1联盟首胜2联盟组队3参与比赛4开宝箱5宝石6联盟7师徒8英雄晋升）,子类（1炫耀、2互助、3交友、4心情、5一起玩）,子类名称,具体类型,具体类型名称,发布说明,心情话语,任务星级
int,string,string,int,int,int,string,int,bool,bool,int,int,int,int,int,int,int,string,int,int,int,string,int,int,int,int,int,int,int,int,int,string,int,int,string,int,string,string,string,int
1,联盟首胜,Task1_FirstWin,1,1,99,赢得一场比赛获得宝箱，与联盟成员组队获胜可获得全部奖励,2,1,0,1,22,1,0,0,-1,-1,0;120,1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1505;1539,1,,,,,,,3
3,多次胜利,Task3_MoreWin,6,1,0,赢得两场比赛的胜利,2,1,1,2,-1,1,0,0,-1,-1,0;120,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,300,0,,3,,,,,,,2
4,联盟比赛,Task4_ClanGame,6,1,0,与联盟成员一起完成2次比赛,2,1,1,2,-1,1,0,0,-1,-1,5;120,1,-1,2,-1,-1,-1,-1,-1,-1,-1,0,300,0,,2,,,,,,,2
7,师徒齐心,Task_7_ShiTu,6,1,0,与师傅或者徒弟共同完成1场比赛,2,1,1,2,-1,1,0,0,31,-1,0;120,2,-1,1,-1,-1,-1,-1,-1,-1,-1,0,300,0,,7,,,,,,,2
5,战士坦克,Task5_WarriorGame,6,1,0,使用战士或坦克类英雄完成两场比赛,2,1,1,2,-1,1,0,0,-1,-1,0;120,-1,-1,2,0;1,-1,-1,-1,-1,-1,-1,0,300,0,,3,,,,,,,2
6,法师射手,Task6_MageGame,6,1,0,使用法师或射手类英雄完成两场比赛,2,1,1,2,-1,1,0,0,-1,-1,0;120,-1,-1,2,2;3,-1,-1,-1,-1,-1,-1,0,300,0,,3,,,,,,,2
10,新手引导,Task_10_CompleteGame,4,1,0,依照提示完成新手指引,2,1,0,-1,-1,-1,-1,0,-1,-1,0;120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,500,0,1515;1512,3,,,,,,,3
16,完成比赛,Task_16_CompleteGame1,4,1,0,完成1场比赛,2,1,1,-1,-1,-1,-1,0,-1,17,0;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,500,0,1515;1512,3,,,,,,,3
17,完成比赛,Task_17_CompleteGame2,4,1,0,完成1场比赛,2,1,1,-1,-1,-1,-1,0,16,18,0;120,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,800,0,1516;1512,3,,,,,,,3
