id,我方音效ID,本阵营广播描述,敌方音效ID,敌方阵营广播描述
int,int,string,int,string
1,0,我方摧毁了,0,已经被摧毁
2,14,我方击倒了,15,已经被击倒
3,22,我方上路晶体已经复活,21,敌方下路晶体已经复活
4,20,我方上路晶体已经被摧毁,19,我方将派出超级士兵
5,22,我方中路晶体已经复活,21,敌方中路晶体已经复活
6,20,我方中路晶体已经被摧毁,19,我方将派出超级士兵
7,22,我方下路晶体已经复活,21,敌方上路晶体已经复活
8,20,我方下路晶体已经被摧毁,19,我方将派出超级士兵
9,24,我方高地塔已经被摧毁,23,敌方高地塔已经被摧毁
10,24,我方上路一塔已经被摧毁,23,敌方下路一塔已经被摧毁
11,24,我方上路二塔已经被摧毁,23,敌方下路二塔已经被摧毁
12,24,我方上路三塔已经被摧毁,23,敌方下路三塔已经被摧毁
13,24,我方中路一塔已经被摧毁,23,敌方中路一塔已经被摧毁
14,24,我方中路二塔已经被摧毁,23,敌方中路二塔已经被摧毁
15,24,我方中路三塔已经被摧毁,23,敌方中路三塔已经被摧毁
16,24,我方下路一塔已经被摧毁,23,敌方上路一塔已经被摧毁
17,24,我方下路二塔已经被摧毁,23,敌方上路二塔已经被摧毁
18,24,我方下路三塔已经被摧毁,23,敌方上路三塔已经被摧毁
19,25,全军出击！,25,全军出击！
20,26,敌方还有30秒到达战场,26,敌方还有30秒到达战场
21,0,敌方已经取得胜利！,0,我方已经取得胜利！
22,53,进攻！魔晶蓝龙正在朝敌方中路进攻,54,防守！魔晶蓝龙正在朝我方中路进攻
23,55,神殿侍卫携带黄金出现！,55,神殿侍卫携带黄金出现！
24,56,魔晶蓝龙降临！,56,魔晶蓝龙降临！
25,57,深渊泰坦觉醒！,57,深渊泰坦觉醒！
26,58,魔晶蓝龙超进化！,58,魔晶蓝龙超进化！
27,59,神殿侍卫撤离！,59,神殿侍卫撤离！
28,60,魔能超载！敌我出现核晶战车！,60,魔能超载！敌我出现核晶战车！
29,0,士兵已到达战场！全军出击！,0,士兵已到达战场！全军出击！
30,0,我方防御塔已被摧毁,0,已摧毁敌方防御塔！下一步摧毁敌方圣树
31,0,我方晶体已经被摧毁,0,我方将派出超级士兵
32,0,发现符文神兽！,0,发现符文神兽！
