联赛名称,联赛类型,称号,英雄ID,方案名字,作者名字,方案ID（12个装备）
string,int,string,int,string,string,string
英雄榜,1,国服第一,1,致命一击,古龙,191;198;153;0;0;0;118;163;127;216;215;123
2017TiTan冠军联赛,2,联赛冠军,1,前期抱团,金庸,191;198;153;0;0;0;141;163;141;130;123;132
英雄榜,1,国服第一,2,致命一击,古龙,153;198;155;0;0;0;118;163;127;216;215;123
2017TiTan冠军联赛,2,联赛冠军,2,前期抱团,金庸,153;198;155;0;0;0;141;163;213;130;123;132
英雄榜,1,国服第一,3,持续输出,古龙,145;195;148;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,3,极限输出,金庸,145;195;148;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,4,致命一击,古龙,153;198;155;0;0;0;118;163;127;216;215;123
2017TiTan冠军联赛,2,联赛冠军,4,前期抱团,金庸,153;198;155;0;0;0;141;163;213;130;123;132
英雄榜,1,国服第一,5,物理克星,古龙,194;236;238;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,5,法术克星,金庸,194;236;238;0;0;0;109;166;139;140;220;221
英雄榜,1,国服第一,6,持续输出,古龙,145;195;148;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,6,极限输出,金庸,145;195;148;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,7,最强辅助,古龙,148;145;202;0;0;0;222;234;223;226;138;139
2017TiTan冠军联赛,2,联赛冠军,7,团队支撑,金庸,148;145;202;0;0;0;228;234;227;204;139;221
英雄榜,1,国服第一,8,技能输出,古龙,153;155;193;0;0;0;209;163;133;211;132;120
2017TiTan冠军联赛,2,联赛冠军,8,普攻输出,金庸,153;155;193;0;0;0;213;163;141;130;132;204
英雄榜,1,国服第一,9,物理克星,古龙,194;152;193;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,9,法术克星,金庸,194;152;193;0;0;0;120;166;139;140;220;221
英雄榜,1,国服第一,10,暴力输出,古龙,159;193;152;0;0;0;117;163;209;122;132;120
2017TiTan冠军联赛,2,联赛冠军,10,团队之盾,金庸,159;193;152;0;0;0;133;166;132;120;220;139
英雄榜,1,国服第一,11,持续输出,古龙,145;195;148;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,11,极限输出,金庸,145;195;148;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,12,持续输出,古龙,145;195;148;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,12,极限输出,金庸,145;195;148;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,13,物理克星,古龙,194;236;238;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,13,法术克星,金庸,194;236;238;0;0;0;109;166;139;140;220;221
英雄榜,1,国服第一,14,暴力输出,古龙,191;193;159;0;0;0;117;163;209;122;132;120
2017TiTan冠军联赛,2,联赛冠军,14,团队之盾,金庸,191;193;159;0;0;0;133;166;132;120;220;139
英雄榜,1,国服第一,15,物理克星,古龙,194;152;193;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,15,法术克星,金庸,194;152;193;0;0;0;120;166;139;140;220;221
英雄榜,1,国服第一,16,暴力输出,古龙,191;194;193;0;0;0;117;163;209;122;132;120
2017TiTan冠军联赛,2,联赛冠军,16,团队之盾,金庸,191;194;193;0;0;0;133;166;132;120;220;139
英雄榜,1,国服第一,17,持续输出,古龙,167;148;145;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,17,极限输出,金庸,167;148;145;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,18,致命一击,古龙,159;193;152;0;0;0;118;163;127;216;215;123
2017TiTan冠军联赛,2,联赛冠军,18,前期抱团,金庸,159;193;152;0;0;0;141;163;213;130;123;132
英雄榜,1,国服第一,19,持续输出,古龙,145;148;236;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,19,极限输出,金庸,145;148;236;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,20,物理克星,古龙,194;236;238;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,20,法术克星,金庸,194;236;238;0;0;0;109;166;139;140;220;221
英雄榜,1,国服第一,21,物理克星,古龙,194;236;238;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,21,法术克星,金庸,194;236;238;0;0;0;109;166;139;140;220;221
英雄榜,1,国服第一,22,最强辅助,古龙,145;195;148;0;0;0;222;234;223;226;138;139
2017TiTan冠军联赛,2,联赛冠军,22,团队支撑,金庸,145;195;148;0;0;0;228;234;227;204;139;221
英雄榜,1,国服第一,23,暴力输出,古龙,159;153;152;0;0;0;117;163;209;122;132;120
2017TiTan冠军联赛,2,联赛冠军,23,致命一击,金庸,159;153;152;0;0;0;117;163;209;132;120;204
英雄榜,1,国服第一,24,暴力输出,古龙,159;193;152;0;0;0;117;163;209;122;132;120
2017TiTan冠军联赛,2,联赛冠军,24,持续输出,金庸,159;193;152;0;0;0;117;163;209;132;120;204
英雄榜,1,国服第一,25,持续输出,古龙,145;195;148;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,25,极限输出,金庸,145;195;148;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,26,持续输出,古龙,167;148;145;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,26,极限输出,金庸,167;148;145;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,27,物理克星,古龙,194;152;193;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,27,法术克星,金庸,194;152;193;0;0;0;120;166;139;140;220;221
英雄榜,1,国服第一,28,致命一击,古龙,153;198;155;0;0;0;118;163;127;216;215;123
2017TiTan冠军联赛,2,联赛冠军,28,前期抱团,金庸,153;198;155;0;0;0;141;163;213;130;123;132
英雄榜,1,国服第一,29,持续输出,古龙,145;195;148;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,29,极限输出,金庸,145;195;148;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,30,致命一击,古龙,153;198;155;0;0;0;118;163;127;216;215;123
2017TiTan冠军联赛,2,联赛冠军,30,前期抱团,金庸,153;198;155;0;0;0;141;163;213;130;123;132
英雄榜,1,国服第一,31,持续输出,古龙,167;148;145;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,31,极限输出,金庸,167;148;145;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,32,最强辅助,古龙,148;145;202;0;0;0;222;234;223;226;138;139
2017TiTan冠军联赛,2,联赛冠军,32,团队支撑,金庸,148;145;202;0;0;0;228;234;227;204;139;221
英雄榜,1,国服第一,33,持续输出,古龙,167;148;145;0;0;0;108;164;224;113;106;111
2017TiTan冠军联赛,2,联赛冠军,33,极限输出,金庸,167;148;145;0;0;0;107;164;114;113;106;112
英雄榜,1,国服第一,34,物理克星,古龙,194;152;193;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,34,法术克星,金庸,194;152;193;0;0;0;120;166;139;140;220;221
英雄榜,1,国服第一,35,物理克星,古龙,194;152;193;0;0;0;136;166;220;125;204;221
2017TiTan冠军联赛,2,联赛冠军,35,法术克星,金庸,194;152;193;0;0;0;120;166;139;140;220;221
英雄榜,1,国服第一,36,致命一击,古龙,155;153;198;0;0;0;118;163;127;216;215;123
2017TiTan冠军联赛,2,联赛冠军,36,前期抱团,金庸,155;153;198;0;0;0;141;163;213;130;123;132
英雄榜,1,国服第一,37,暴力输出,古龙,159;193;152;0;0;0;117;163;209;122;132;120
2017TiTan冠军联赛,2,联赛冠军,37,持续输出,金庸,159;193;152;0;0;0;117;163;209;132;120;204
