序列号,名称,是否直刷（是否有触发类判断条件）,阵营,类型（0不存在 1基地 2水晶 4塔 8兵 16野怪 32策略野怪）,建筑类型（0代表无，1 塔， 2 水晶 ）,是否开启静态图标（0否）,图标ID（野怪专用，对应MinimapStaticIcon脚本控制是否显示图标）,战场ID,刷怪类型 1 正常刷兵 2 随机方式 3 时段方式 4、时段随机方式,怪物表类型ID列表,时间段,比例列表（扩大100倍）,起始时间（定时器包括刷新时间2秒检测一次）,刷新时间,同步最后刷新时间列,基础等级,升级时间,最大等级,怪物时间序列（控制是否显示显示哪个倒计时）,怪物对应战绩表位置,路径ID,触发类型（0没有1塔2影响刷兵修改是否直刷3基地保护事件4基地保护互斥事件5根据凶手刷不同阵营的怪物6三路水晶同时破掉事件）,影响序列号,影响Pam(填0不刷填1刷),死亡触发类型（0没有1塔2影响刷兵3基地保护事件4基地保护互斥事件5根据凶手刷不同阵营的怪物6三路水晶同时破掉事件）,死亡影响序列号,死亡影响Pam,路径类型上路中路下路全部路对应 1 2 4 7
int,string,int,int,int,int,int,int,int,int,string,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,
1,1阵营基地,1,1,1,0,0,4,1,1,101,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
2,2阵营基地,1,2,1,0,0,4,1,1,102,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
3,1阵营上路水晶,1,1,2,2,0,1,1,1,103,,,0,300,-1,1,0,0,0,0,-1,2;1;4;2,38;9;1;32,0;1025;1026;1,2;1;4;2,38;9;1;32,0;1025;1026;1,
4,1阵营中路水晶,1,1,2,2,0,1,1,1,104,,,0,300,-1,1,0,0,0,0,-1,2;1;4;2,39;9;1;33,0;1025;1026;1,2;1;4;2,39;9;1;33,0;1025;1026;1,
5,1阵营下路水晶,1,1,2,2,0,1,1,1,105,,,0,300,-1,1,0,0,0,0,-1,2;1;4;2,40;9;1;34,0;1025;1026;1,2;1;4;2,40;9;1;34,0;1025;1026;1,
6,2阵营上路水晶,1,2,2,2,0,1,1,1,106,,,0,300,-1,1,0,0,0,0,-1,2;1;4;2,35;19;2;29,0;1025;1026;1,2;1;4;2,35;19;2;29,0;1025;1026;1,
7,2阵营中路水晶,1,2,2,2,0,1,1,1,107,,,0,300,-1,1,0,0,0,0,-1,2;1;4;2,36;19;2;30,0;1025;1026;1,2;1;4;2,36;19;2;30,0;1025;1026;1,
8,2阵营下路水晶,1,2,2,2,0,1,1,1,108,,,0,300,-1,1,0,0,0,0,-1,2;1;4;2,37;19;2;31,0;1025;1026;1,2;1;4;2,37;19;2;31,0;1025;1026;1,
9,1阵营基地塔1,1,1,4,1,0,2,1,1,109,,,0,0,-1,1,0,0,0,0,-1,3,1,1025,3,1,1025,
10,1阵营上路一塔,1,1,4,1,0,2,1,1,111,,,0,0,-1,1,0,0,0,0,-1,1,11,1025,1,11,1025,
11,1阵营上路二塔,1,1,4,1,0,2,1,1,112,,,0,0,-1,1,0,0,0,0,-1,1,12,1025,1,12,1025,
12,1阵营上路三塔,1,1,4,1,0,2,1,1,113,,,0,0,-1,1,0,0,0,0,-1,1,3,1025,1,3,1025,
13,1阵营中路一塔,1,1,4,1,0,2,1,1,114,,,0,0,-1,1,0,0,0,0,-1,1,14,1025,1,14,1025,
14,1阵营中路二塔,1,1,4,1,0,2,1,1,115,,,0,0,-1,1,0,0,0,0,-1,1,15,1025,1,15,1025,
15,1阵营中路三塔,1,1,4,1,0,2,1,1,116,,,0,0,-1,1,0,0,0,0,-1,1,4,1025,1,4,1025,
16,1阵营下路一塔,1,1,4,1,0,2,1,1,117,,,0,0,-1,1,0,0,0,0,-1,1,17,1025,1,17,1025,
17,1阵营下路二塔,1,1,4,1,0,2,1,1,118,,,0,0,-1,1,0,0,0,0,-1,1,18,1025,1,18,1025,
18,1阵营下路三塔,1,1,4,1,0,2,1,1,119,,,0,0,-1,1,0,0,0,0,-1,1,5,1025,1,5,1025,
