类型ID,怪物ID,名称,朝向x,朝向y,朝向z,x,y,z,广播类型（0不广播1死亡广播2复活广播4死亡文字广播8定时广播16首次出生广播32自杀广播）,广播所对应广播ID,广播参数,位置索引（需要保持唯一）,掉落经验类型(1单独2周围3己方全部),死亡加经验,掉落天赋类型(1单独2周围3己方全部4补刀掉落5补刀加失败分成),死亡加天赋点,补刀掉落类型衰减系数,掉落buff类型(1单独2周围3己方全部),BuffID,buff等级,掉落经验buff范围,掉落天赋范围,累积多少次数刷怪（处理三波刷怪问题）,同步累积次数索引行(读取本表位置索引),战斗信号标志位,气势掉落路径上路中路下路全部路对应 1 2 4 7,气势掉落值
int,int,string,float,float,float,float,float,float,string,string,string,int,int,int,int,int,float,int,int,int,int,int,int,int,int,,
1,1001,1阵营基地,0,90,0,97.9,40,188.9,4,1,0,1,3,160,3,0,0.8,0,0,0,20,20,0,0,0,,
2,1031,2阵营基地,0,90,0,357,40,189.5,4,1,0,2,3,160,3,0,0.8,0,0,0,20,20,0,0,0,,
3,1002,1阵营上路水晶,0,0,0,109,40,215.6,4;2,4;3,0;0,3,3,50,3,300,0.8,0,0,0,20,20,0,0,1,,
4,1002,1阵营中路水晶,0,0,0,125.5,40,188.7,4;2,4;3,0;0,4,3,50,3,300,0.8,0,0,0,20,20,0,0,1,,
5,1002,1阵营下路水晶,0,0,0,108.4,40,162.7,4;2,4;3,0;0,5,3,50,3,300,0.8,0,0,0,20,20,0,0,1,,
6,1032,2阵营上路水晶,0,0,0,347.3,40,215.7,4;2,4;3,0;0,6,3,50,3,300,0.8,0,0,0,20,20,0,0,1,,
7,1032,2阵营中路水晶,0,0,0,330.2,40,189.3,4;2,4;3,0;0,7,3,50,3,300,0.8,0,0,0,20,20,0,0,1,,
8,1032,2阵营下路水晶,0,0,0,346.6,40,162.3,4;2,4;3,0;0,8,3,50,3,300,0.8,0,0,0,20,20,0,0,1,,
9,1003,1阵营基地塔1,0,90,0,107,40,195.7,4,1,0,9,3,50,3,300,0.8,0,0,0,20,20,0,0,0,,
9,1003,1阵营基地塔2,0,90,0,107,40,182.2,4,1,0,10,3,50,3,300,0.8,0,0,0,20,20,0,0,0,,
11,1004,1阵营上路一塔,0,90,0,203.5,32,284.5,4,1,0,11,3,50,3,150,0.8,0,0,0,20,20,0,0,1,1,1
12,1005,1阵营上路二塔,0,90,0,171,32,266,4,1,0,12,3,50,3,200,0.8,0,0,0,20,20,0,0,1,1,1
13,1006,1阵营上路三塔,0,40,0,116.1,40,221.4,4,1,0,13,3,50,3,300,0.8,0,0,0,20,20,0,0,1,1,1
14,1004,1阵营中路一塔,0,90,0,193.875,41,189.3117,4,1,0,14,3,50,3,150,0.8,0,0,0,20,20,0,0,1,2,1
15,1005,1阵营中路二塔,0,90,0,168.8641,41,189.1926,4,1,0,15,3,50,3,200,0.8,0,0,0,20,20,0,0,1,2,1
16,1006,1阵营中路三塔,0,90,0,135.7,40,189,4,1,0,16,3,50,3,300,0.8,0,0,0,20,20,0,0,1,2,1
17,1004,1阵营下路一塔,0,90,0,198.5,32,95,4,1,0,17,3,50,3,150,0.8,0,0,0,20,20,0,0,1,4,1
18,1005,1阵营下路二塔,0,90,0,165.8451,33,113.2619,4,1,0,18,3,50,3,200,0.8,0,0,0,20,20,0,0,1,4,1
19,1006,1阵营下路三塔,0,120,0,116,40,156.7,4,1,0,19,3,50,3,300,0.8,0,0,0,20,20,0,0,1,4,1
20,1033,2阵营基地塔2,0,-90,0,348.9,40,182.7,4,1,0,20,3,50,3,300,0.8,0,0,0,20,20,0,0,0,,
20,1033,2阵营基地塔2,0,-90,0,348.9,40,196,4,1,0,21,3,50,3,300,0.8,0,0,0,20,20,0,0,0,,
22,1034,2阵营上路一塔,0,-90,0,255,32,281,4,1,0,22,3,50,3,150,0.8,0,0,0,20,20,0,0,1,1,1
23,1035,2阵营上路二塔,0,-90,0,284,32,269,4,1,0,23,3,50,3,200,0.8,0,0,0,20,20,0,0,1,1,1
24,1036,2阵营上路三塔,0,-40,0,339.7,40,222,4,1,0,24,3,50,3,300,0.8,0,0,0,20,20,0,0,1,1,1
25,1034,2阵营中路一塔,0,-90,0,262.6118,40,189.3423,4,1,0,25,3,50,3,150,0.8,0,0,0,20,20,0,0,1,2,1
26,1035,2阵营中路二塔,0,-90,0,286.6751,40,189.0773,4,1,0,26,3,50,3,200,0.8,0,0,0,20,20,0,0,1,2,1
27,1036,2阵营中路三塔,0,-90,0,320.2,40,189.4,4,1,0,27,3,50,3,300,0.8,0,0,0,20,20,0,0,1,2,1
28,1034,2阵营下路一塔,0,-90,0,252,32,94,4,1,0,28,3,50,3,150,0.8,0,0,0,20,20,0,0,1,4,1
29,1035,2阵营下路二塔,0,-90,0,284.5,32,110,4,1,0,29,3,50,3,200,0.8,0,0,0,20,20,0,0,1,4,1
30,1036,2阵营下路三塔,0,-120,0,339.8,40,157.1,4,1,0,30,3,50,3,300,0.8,0,0,0,20,20,0,0,1,4,1
