召唤师等级,被捐日次数限制,被捐冷却时间,被捐单次数量,被捐日数量,捐卡单次数量,捐卡日数量,捐卡获得角色经验,捐卡获得绑定金币,捐赠最大持续时间
int,int,int,int,int,int,int,int,int,int
1,3,3600,10,15,4,50,,40,86400
2,3,3600,10,15,4,50,,40,86400
3,3,3600,10,15,4,50,,40,86400
4,3,3600,10,15,4,50,,40,86400
5,3,3600,10,15,4,50,,40,86400
6,3,3600,10,15,4,50,,40,86400
7,3,3600,10,15,4,50,,40,86400
8,3,3600,10,15,4,50,,40,86400
9,3,3600,10,15,4,50,,40,86400
10,3,3600,10,15,4,50,,40,86400
11,3,3600,10,15,4,50,,40,86400
12,3,3600,10,15,4,50,,40,86400
13,3,3600,10,15,4,50,,40,86400
14,3,3600,10,15,4,50,,40,86400
15,3,3600,10,15,4,50,,40,86400
16,3,3600,10,15,4,50,,40,86400
17,3,3600,10,15,4,50,,40,86400
18,3,3600,10,15,4,50,,40,86400
19,3,3600,10,15,4,50,,40,86400
20,3,3600,10,15,4,50,,40,86400
21,3,3600,10,15,4,50,,40,86400
22,3,3600,10,15,4,50,,40,86400
23,3,3600,10,15,4,50,,40,86400
24,3,3600,10,15,4,50,,40,86400
25,3,3600,10,15,4,50,,40,86400
26,3,3600,10,15,4,50,,40,86400
27,3,3600,10,15,4,50,,40,86400
28,3,3600,10,15,4,50,,40,86400
29,3,3600,10,15,4,50,,40,86400
30,3,3600,10,15,4,50,,40,86400
31,3,3600,10,15,4,50,,40,86400
32,3,3600,10,15,4,50,,40,86400
33,3,3600,10,15,4,50,,40,86400
34,3,3600,10,15,4,50,,40,86400
35,3,3600,10,15,4,50,,40,86400
36,3,3600,10,15,4,50,,40,86400
37,3,3600,10,15,4,50,,40,86400
38,3,3600,10,15,4,50,,40,86400
39,3,3600,10,15,4,50,,40,86400
40,3,3600,10,15,4,50,,40,86400
41,3,3600,10,15,4,50,,40,86400
42,3,3600,10,15,4,50,,40,86400
43,3,3600,10,15,4,50,,40,86400
44,3,3600,10,15,4,50,,40,86400
45,3,3600,10,15,4,50,,40,86400
46,3,3600,10,15,4,50,,40,86400
47,3,3600,10,15,4,50,,40,86400
48,3,3600,10,15,4,50,,40,86400
49,3,3600,10,15,4,50,,40,86400
50,3,3600,10,15,4,50,,40,86400
51,3,3600,10,15,4,50,,40,86400
52,3,3600,10,15,4,50,,40,86400
53,3,3600,10,15,4,50,,40,86400
54,3,3600,10,15,4,50,,40,86400
55,3,3600,10,15,4,50,,40,86400
56,3,3600,10,15,4,50,,40,86400
57,3,3600,10,15,4,50,,40,86400
58,3,3600,10,15,4,50,,40,86400
59,3,3600,10,15,4,50,,40,86400
60,3,3600,10,15,4,50,,40,86400
61,3,3600,10,15,4,50,,40,86400
62,3,3600,10,15,4,50,,40,86400
63,3,3600,10,15,4,50,,40,86400
64,3,3600,10,15,4,50,,40,86400
65,3,3600,10,15,4,50,,40,86400
66,3,3600,10,15,4,50,,40,86400
67,3,3600,10,15,4,50,,40,86400
68,3,3600,10,15,4,50,,40,86400
69,3,3600,10,15,4,50,,40,86400
70,3,3600,10,15,4,50,,40,86400
71,3,3600,10,15,4,50,,40,86400
72,3,3600,10,15,4,50,,40,86400
73,3,3600,10,15,4,50,,40,86400
74,3,3600,10,15,4,50,,40,86400
75,3,3600,10,15,4,50,,40,86400
76,3,3600,10,15,4,50,,40,86400
77,3,3600,10,15,4,50,,40,86400
78,3,3600,10,15,4,50,,40,86400
79,3,3600,10,15,4,50,,40,86400
80,3,3600,10,15,4,50,,40,86400
81,3,3600,10,15,4,50,,40,86400
82,3,3600,10,15,4,50,,40,86400
83,3,3600,10,15,4,50,,40,86400
84,3,3600,10,15,4,50,,40,86400
85,3,3600,10,15,4,50,,40,86400
86,3,3600,10,15,4,50,,40,86400
87,3,3600,10,15,4,50,,40,86400
88,3,3600,10,15,4,50,,40,86400
89,3,3600,10,15,4,50,,40,86400
90,3,3600,10,15,4,50,,40,86400
91,3,3600,10,15,4,50,,40,86400
92,3,3600,10,15,4,50,,40,86400
93,3,3600,10,15,4,50,,40,86400
94,3,3600,10,15,4,50,,40,86400
95,3,3600,10,15,4,50,,40,86400
96,3,3600,10,15,4,50,,40,86400
97,3,3600,10,15,4,50,,40,86400
98,3,3600,10,15,4,50,,40,86400
99,3,3600,10,15,4,50,,40,86400
100,3,3600,10,15,4,50,,40,86400
101,3,3600,10,15,4,50,,40,86400
102,3,3600,10,15,4,50,,40,86400
103,3,3600,10,15,4,50,,40,86400
104,3,3600,10,15,4,50,,40,86400
105,3,3600,10,15,4,50,,40,86400
106,3,3600,10,15,4,50,,40,86400
107,3,3600,10,15,4,50,,40,86400
108,3,3600,10,15,4,50,,40,86400
109,3,3600,10,15,4,50,,40,86400
110,3,3600,10,15,4,50,,40,86400
111,3,3600,10,15,4,50,,40,86400
112,3,3600,10,15,4,50,,40,86400
113,3,3600,10,15,4,50,,40,86400
114,3,3600,10,15,4,50,,40,86400
115,3,3600,10,15,4,50,,40,86400
116,3,3600,10,15,4,50,,40,86400
117,3,3600,10,15,4,50,,40,86400
118,3,3600,10,15,4,50,,40,86400
119,3,3600,10,15,4,50,,40,86400
120,3,3600,10,15,4,50,,40,86400
