备注,数值,提示描述
nstring,待定,
创建帮会需要的等级,5,
创建帮会需要的金钱,2000,
解散帮会的生存周期,259200,
周活跃度连续{B6}周低于{B7}自动解散,2,
周活跃度连续{B6}周低于{B7}自动解散,500,
每天能踢出的战队数量,10,
盟主连续{B9}天不上线自动进入卸任状态,3,
进入卸任状态{B10}天后自动丢失盟主职位,1,
联盟详细说明,$[b]<br>[size=20][blue]联盟规则：<br>联盟是朋友的大集合，可以组织多个战队一起参与各种比赛或是日常的玩法<br><br>进入联盟：<br>1.未加入联盟的战队可以由队长自由创建联盟，联盟创建后默认开启自动加入功能，没有联盟的战队可以申请加入。<br>2.盟主可以点击招收成员设置战队加入联盟的要求或是手动批准加入，每个联盟最多能加入30个战队。<br>3.每个战队只能加入一个联盟。<br><br>联盟功能：<br>1.玩家每天可在联盟内发布多次捐赠勋章需求，其他玩家可将自己的勋章捐赠给需求人，并获得一定的金币奖励。<br>2.联盟可以举办各种比赛，系统每月会给与联盟一次举办比赛的权限，但比赛仅限联盟内部战队报名参与。<br>3.盟主具有批准加入和踢出战队、转交盟主、解散联盟等权限，战队仅有退出联盟的权限。<br>4.队长申请加入联盟后战队内所有玩家会自动加入该联盟，队长退出联盟后相应玩家也会自动退出联盟。<br>4.盟主连续3天不上线将自动进入卸任状态，1天后交给联盟内贡献或活跃度最高的长老。<br><br>非活跃解散：<br>联盟内玩家完成比赛可获得活跃度，如果联盟连续两周活跃度低于500点，联盟将被系统自动解散。[/blue][/size][/b],
联盟杯赛最低活跃度,200,
