命令ID,命令名称,按钮名称,分类,目标类型,权限,图标ID,是否自动移动,主角是否接收多个指示,效果时长,被指挥成员箭头光效ID,被指挥成员附加光效ID,男音效ID,女音效ID,目标指示光效ID,目标附加光效ID,目标头顶指示称号效果ID,说明
int,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string
1,冲啊,冲,0,2,6,11,1,0,600,2120,2134,2113,2114,2123,,20,冲啊
2,集合,集,0,2,6,12,1,0,600,2119,2135,2114,2115,2122,,20,集合
3,撤退,撤,0,2,6,13,1,0,600,2129,2133,2115,2113,2131,,20,撤退
4,占领,占,0,2,6,19,1,0,60,2120,2134,2113,2114,2123,,20,占领
5,攻击,击,0,1,6,14,1,1,60,2120,,2114,2115,2123,2130,20,攻击
6,跟我来,跟,0,3,6,15,1,1,60,2119,,2115,2113,2122,2137,20,跟我来
7,救救我,救,0,3,7,16,0,1,60,2121,,2113,2114,2124,2138,20,救救我
8,我需要支援,援,0,3,7,17,0,1,60,2121,,2114,2115,2124,2139,20,我需要支援
9,明白,,0,0,7,18,0,1,60,,,2115,2113,,,20,明白
10,前面有敌人,,0,3,7,19,0,1,60,2120,,2113,2114,2123,,20,前面有敌人
11,自定义不选,,1,0,7,18,0,1,60,,,2114,2115,,,20,自定义不选
12,自定义选目标,,1,1,6,20,1,1,60,2120,,2115,2113,2123,,20,自定义选目标
13,自定义选目标点,,1,2,6,19,1,1,60,2119,,2113,2114,2122,,20,自定义选目标点
