备注,数值,提示描述
nstring,待定,
创建战队需要的等级,1,
创建战队需要的金钱,200,
加入战队需要的等级,1,
加入战队冷却,1,小时
周活跃度连续{B7}周低于{B8}自动解散,2,
周活跃度连续{B7}周低于{B8}自动解散,50,
队长连续{B9}天不上线自动进入卸任状态,3,
进入卸任状态{B10}天后自动丢失队长职位,1,
战队详细说明,$[b]<br>[size=20][blue]战队规则：<br>战队是志同道合的小团体，可以组织朋友一起进行各种比赛战斗或是日常的玩法<br><br>进入战队：<br>1.未加入战队的玩家可以自由创建战队，战队创建后默认开启自动加入功能。<br>2.队长可以点击招收成员设置玩家加入战队的要求或是手动批准加入。<br>3.每名玩家只能加入一个战队。<br><br>战队功能：<br>1.战队可以参与各种比赛，打出的成绩和奖杯将计入荣誉大厅<br>2.队长具有批准加入和踢出队员、转交队长、解散战队等权限，队员仅有退出战队的权限。<br>3.队长申请加入联盟后战队内所有玩家会自动加入该联盟，队长退出联盟后相应玩家也会自动退出联盟。<br>4.队长连续3天不上线将自动进入卸任状态，1天后交给队内活跃度最高的玩家。<br><br>自动解散战队：<br>战队内玩家完成比赛可获得活跃度，如果战队连续两周活跃度低于50点，战队将被系统自动解散。[/blue][/size][/b],
