配置id,配置名称,轮数,最大队伍数量,详细配置,报名截至时间(天),确定报名时限（小时）,线上比赛类型,线下比赛类型,创建杯赛需要金币,报名需要金币,报名最大金额,奖励配置ID,是否免费（0收费1免费）,开始比赛最少队伍数,配置选项名称,注释
int,string,int,int,int,string,int,int,int,int,int,int,int,int,int,string,string
1,32强小组赛,5,32,1,1;2;3;4;5;6;7,2,11,12,80000,1000,50000,1,0,4,32强小组赛,个人赛
2,32强淘汰赛,5,32,2,1;2;3;4;5;6;7,2,11,12,80000,1000,50000,2,0,4,32强淘汰赛,个人赛
3,16强淘汰赛,4,16,3,1;2;3;4;5;6;7,2,11,12,60000,1000,50000,3,0,4,16强淘汰赛,个人赛
4,8强淘汰赛,3,8,4,1;2;3;4;5;6;7,2,11,12,40000,1000,50000,4,0,4,8强淘汰赛,个人赛
5,4强淘汰赛,2,4,5,1;2;3;4;5;6;7,2,11,12,40000,1000,50000,5,0,2,4强淘汰赛,个人赛
6,8强（3局2胜）,3,8,6,1;2;3;4;5;6;7,2,11,12,40000,1000,50000,6,0,2,8强（3局2胜）,个人赛
11,联盟32强小组赛,5,32,11,1;2;3;4;5;6;7,2,11,12,0,0,0,11,1,4,32强小组赛 要求联盟至少80人,联盟免费赛
12,联盟32强淘汰赛,5,32,12,1;2;3;4;5;6;7,2,11,12,0,0,0,12,1,4,32强淘汰赛 要求联盟至少80人,联盟免费赛
13,联盟16强小组赛,4,16,13,1;2;3;4;5;6;7,2,11,12,0,0,0,13,1,4,16强小组赛 要求联盟至少40人,联盟免费赛
14,联盟8强小组赛,3,8,14,1;2;3;4;5;6;7,2,11,12,0,0,0,14,1,4,8强小组赛 要求联盟至少20人,联盟免费赛
15,联盟4强小组赛,2,4,15,1;2;3;4;5;6;7,2,11,12,0,0,0,15,1,2,4强小组赛 要求联盟至少20人,联盟免费赛
21,联盟32强小组赛,5,32,21,1;2;3;4;5;6;7,2,11,12,80000,1000,5000,21,0,4,32强小组赛 要求联盟至少80人,联盟收费赛
22,联盟32强淘汰赛,5,32,22,1;2;3;4;5;6;7,2,11,12,80000,1000,5000,22,0,4,32强淘汰赛 要求联盟至少80人,联盟收费赛
23,联盟16强淘汰赛,4,16,23,1;2;3;4;5;6;7,2,11,12,60000,1000,5000,23,0,4,16强淘汰赛 要求联盟至少40人,联盟收费赛
24,联盟8强淘汰赛,3,8,24,1;2;3;4;5;6;7,2,11,12,40000,1000,5000,24,0,4,8强淘汰赛 要求联盟至少20人,联盟收费赛
25,联盟4强淘汰赛,2,4,25,1;2;3;4;5;6;7,2,11,12,40000,1000,5000,25,0,2,4强淘汰赛 要求联盟至少20人,联盟收费赛
