详细配置类型,第几轮,该轮比赛类型（0空1淘汰2小组）,小组数量,组内成员数量,晋级成员数量,开始时间天数间隔,创建房间提前进场时间点,每天开赛时间点,比赛类型(1BO1一把定胜负2BO3三局两胜3BO5五局三胜),bo赛的时间间隔(分钟),本轮结算时间天数间隔,GM最终可调整重赛时间点,本轮结算时间点,比赛进程,奖励ID列表
int,int,int,int,int,int,int,string,string,int,int,int,int,string,string,string
1,1,2,8,4,2,1,19;10;0,19;30;0,1,10,4,18;30;0,22;0;0,32强赛,
1,2,1,8,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,16强赛,
1,3,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
1,4,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
1,5,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
2,1,1,16,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,32强赛,
2,2,1,8,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,16强赛,
2,3,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
2,4,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
2,5,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
3,1,1,8,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,16强赛,
3,2,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
3,3,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
3,4,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
4,1,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
4,2,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
4,3,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
5,1,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
5,2,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
6,1,1,4,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,8强赛(3局2胜),
6,2,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
6,3,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
11,1,2,8,4,2,1,19;10;0,19;30;0,1,10,4,18;30;0,22;0;0,32强赛,
