ID,有效天数,标题,内容（参数从1开始{1}）,发送者名字,显示奖励ID数组（分号隔开）,备注
int,int,nstring,nstring,nstring,nstring,nstring
1,2,七龙珠,发送给[{1}]测试邮件,系统,,七龙珠
4,7,3级英雄解锁,亲爱的玩家，恭喜您提升至3级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在4级后达成，千万不要错过哦！,系统,2001,解锁系统
5,7,4级英雄解锁,亲爱的玩家，恭喜您提升至4级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在5级后达成，千万不要错过哦！,系统,2009,解锁系统
6,7,5级英雄解锁,亲爱的玩家，恭喜您提升至5级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在6级后达成，千万不要错过哦！,系统,2035,解锁系统
7,7,6级英雄解锁,亲爱的玩家，恭喜您提升至6级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在7级后达成，千万不要错过哦！,系统,2034,解锁系统
8,7,7级英雄解锁,亲爱的玩家，恭喜您提升至7级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在8级后达成，千万不要错过哦！,系统,2018,解锁系统
9,7,8级英雄解锁,亲爱的玩家，恭喜您提升至8级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在9级后达成，千万不要错过哦！,系统,2033,解锁系统
10,7,9级英雄解锁,亲爱的玩家，恭喜您提升至9级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在10级后达成，千万不要错过哦！,系统,2021;2004,解锁系统
11,7,10级英雄解锁,亲爱的玩家，恭喜您提升至10级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在11级后达成，千万不要错过哦！,系统,2024;2032,解锁系统
12,7,11级英雄解锁,亲爱的玩家，恭喜您提升至11级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在12级后达成，千万不要错过哦！,系统,2025;2007,解锁系统
13,7,12级英雄解锁,亲爱的玩家，恭喜您提升至12级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在13级后达成，千万不要错过哦！,系统,2029;2019,解锁系统
14,7,13级英雄解锁,亲爱的玩家，恭喜您提升至13级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在14级后达成，千万不要错过哦！,系统,2012;2020,解锁系统
15,7,14级英雄解锁,亲爱的玩家，恭喜您提升至14级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在15级后达成，千万不要错过哦！,系统,2017;2014,解锁系统
16,7,15级英雄解锁,亲爱的玩家，恭喜您提升至15级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在16级后达成，千万不要错过哦！,系统,2010;2016,解锁系统
17,7,16级英雄解锁,亲爱的玩家，恭喜您提升至16级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在17级后达成，千万不要错过哦！,系统,2015;2005,解锁系统
18,7,17级英雄解锁,亲爱的玩家，恭喜您提升至17级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在18级后达成，千万不要错过哦！,系统,2028;2011,解锁系统
19,7,18级英雄解锁,亲爱的玩家，恭喜您提升至18级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！预告：下一级解锁将在19级后达成，千万不要错过哦！,系统,2006;2026,解锁系统
20,7,19级英雄解锁,亲爱的玩家，恭喜您提升至19级，我们已经为您解锁了精心准备的英雄奖励，请注意查收！,系统,2031;2037,解锁系统
10001,30,杯赛奖金,恭喜您在杯赛【{1}】中团结奋进，取得了第【{2}】名好成绩。杯赛金币【{3}】奖励，请查收！,杯赛系统,,杯赛系统
10002,30,杯赛物品奖励,恭喜您在杯赛【{1}】中团结奋进，取得了第【{2}】名好成绩。以下是杯赛物品奖励，请查收！,杯赛系统,,杯赛系统
10003,30,杯赛参与奖励,这是您刚刚结束的杯赛参与奖，请查收！,杯赛系统,,杯赛系统
10004,30,联盟解散,您的联盟已被盟主解散，请重新寻找联盟加入！,联盟系统,,联盟系统
10005,30,联盟解散,您的联盟由于活跃度过低已经自动解散了，请重新加入一个联盟！,联盟系统,,联盟系统
10006,30,战队解散,您的战队已被队长解散，请重新寻找战队加入！,战队系统,,战队系统
