英雄ID,召唤师技能ID,XP技能,,
int,int,int,,
1,409,,小李,屏障
2,486,,弓手,治疗
3,407,,火法,引燃
4,407,,东洋,引燃
5,408,,巨盾,虚弱
6,486,,青蛙,治疗
7,408,,花仙子,虚弱
8,400,,卓戈,惩戒
9,407,,魔山,引燃
10,400,,红毒蛇,惩戒
11,407,,男巫,引燃
12,408,,索罗斯,虚弱
13,408,,劳勃,虚弱
14,400,,艾丽娅,惩戒
15,486,,尸鬼,治疗
16,407,,布兰,引燃
17,410,,绿先知,疾跑
18,486,,女枪,治疗
19,409,,龙母,屏障
20,407,,机器人,引燃
21,400,,虫子,惩戒
22,408,,小鱼人,虚弱
23,409,,狙击手,屏障
24,407,,无面者,引燃
25,486,,时空,治疗
26,486,,异鬼,治疗
27,486,,小龙,引燃
28,486,,小炮,治疗
29,486,,炸弹人,治疗
30,486,,紫罗兰,治疗
31,410,,龙猫,疾跑
32,408,,鱼姬,虚弱
33,409,,鹿灵,屏障
34,408,,兽宝,虚弱
35,400,,收割者,惩戒
36,486,,战警,治疗
37,407,,车轮滚滚,引燃
38,486,,,
39,486,,,
