英雄ID,英雄类型（0坦克1战士2法师3射手4辅助）,操作类型（0默认操作1fps）,英雄特征（1近战2远程4物理8法术）,性别,默认皮肤ID,英雄称号,英雄名字,小地图图标ID,视野距离,英雄开关（0代表正常开启， 1代表不开启）,包含皮肤ID,英雄解锁等级
int,int,int,int,int,int,string,string,int,int,int,string,int
1,3,0,6,0,31,风月游侠,上官云,1,0:24;181:100,0,31,3
2,3,0,6,0,14,追风箭灵,加娜,2,0:24;181:100,0,14,1
3,2,0,10,0,15,绯红之焰,艾琳,3,0:24;181:100,0,15,1
4,1,0,5,0,34,绯樱剑客,千寻,4,0:24;181:100,0,34;62,17
5,0,0,9,0,35,狂野巨盾,强森,5,0:24;181:100,0,35;58,24
6,2,0,10,0,36,深海蛙王,弗洛格,6,0:24;181:100,0,36,27
7,4,0,9,0,44,花仙子,莉莉安,7,0:24;181:100,0,44;67,7
8,1,0,5,0,17,蛮族之刃,可汗,8,0:24;181:100,0,17;66,1
9,0,0,5,0,13,帝国之剑,亚历山大,9,0:24;181:100,0,13,4
10,1,0,5,0,18,灭世枪神,奥卢斯,10,0:24;181:100,0,18,15
11,2,0,10,0,19,暗裔魔法师,菲克,11,0:24;181:100,0,19,25
12,2,0,9,0,20,圣焰之手,索罗斯,12,0:24;181:100,0,20,12
13,0,0,9,0,21,中土之王,路易,13,0:24;181:100,0,21;60,11
14,1,0,5,0,22,轻灵蔷薇,艾丽娅,14,0:24;181:100,0,22;59,26
15,0,0,5,0,23,生化魔人,弗兰克林,15,0:24;181:100,0,23,16
16,1,0,5,0,28,异域狼灵,拉莫斯,16,0:24;181:100,0,28,22
17,2,0,10,0,46,虚空邪镰,哈迪斯,17,0:24;181:100,0,46,30
18,3,1,6,0,26,圣枪战姬,阿莎,18,0:24;181:100,0,26,6
19,2,0,10,0,27,风暴龙灵,赛薇亚拉,19,0:24;181:100,0,27,19
20,4,0,9,0,30,钢铁纪元,罗伯特,20,0:24;181:100,0,30;47,18
21,0,0,9,0,33,深渊领主,尖刺,21,0:24;181:100,0,33,9
22,4,0,10,0,32,唤潮小鱼人,帕噗,22,0:24;181:100,0,32,1
23,3,0,6,0,42,魅眼神狙,伊娃,23,0:24;181:100,0,42,20
24,1,0,5,0,39,幻影利刃,阿泰斯,24,0:24;181:100,0,39;65,10
25,2,0,9,0,37,时空幻象,亚当,25,0:24;181:100,0,37,14
26,2,0,10,0,38,凛冬战魂,提尔,26,0:24;181:100,0,38,29
27,1,0,5,0,48,傲世神拳,龙少,27,0:24;181:100,0,48,21
28,3,0,6,0,43,火炮男爵,拜仁,28,0:24;181:100,0,43;68,1
29,2,0,10,0,41,电竞小子,杰克,29,0:24;181:100,0,41,23
30,3,1,6,0,45,狂野紫罗兰,杰克琳,28,0:24;181:100,1,45,0
31,2,0,10,0,61,龙猫萝莉,柚子,31,0:24;181:100,0,61,5
32,4,0,10,0,52,北海鱼姬,阿芙拉,32,0:24;181:100,0,52,13
33,2,0,10,0,51,芳野鹿灵,琴,33,0:24;181:100,0,51,8
34,1,0,5,0,55,铁拳兽宝,亚谷,34,0:24;181:100,0,55,28
35,1,0,5,0,53,蓝翼切割者,凯伊,35,0:24;181:100,0,53,1
36,3,1,5,0,54,银河战警,阿纳金,36,0:24;181:100,0,54,1
37,3,0,5,0,64,光子跃迁者,阿尔法,37,0:24;181:100,1,64,0
38,0,0,5,0,71,末日战甲,阿纳金,38,0:24;181:100,1,71,1
39,2,0,5,0,70,邪能恶魔,阿纳金,39,0:24;181:100,1,70,1
40,1,0,5,0,72,傀儡双骄,阿纳金,40,0:24;181:100,1,72,1
41,3,0,5,0,17,契约者,阿纳金,41,0:24;181:100,1,17,1
42,0,0,5,0,17,战争祸源,阿纳金,42,0:24;181:100,1,17,1
