ID,比赛类型,匹配类型(1、匹配队友 2、匹配敌方),等待时间（秒）,队友人数下限,队友人数上限,匹配段位下限,匹配段位上限,下一阶段ID,1、初始阶段 2、最后阶段,首次推送时间,推送时间间隔,推送人数,开启人数,进入战场延时,本阶段开始最低人数
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
1,1,1,20,-5,5,-200,200,2,1,0,0,0,,,
2,1,1,40,-5,5,-200,200,3,0,0,0,0,,,
3,1,1,60,-5,5,-400,400,4,0,0,0,0,,,
4,1,1,180,-5,5,-400,400,4,2,0,0,0,,,
5,2,1,5,-5,5,-300,300,6,1,0,0,0,,,
6,2,1,15,-5,5,-600,600,7,0,0,0,0,,,
7,2,1,25,-5,5,-1000,1000,7,2,0,0,0,,,
8,3,1,0,-5,5,-200,200,9,1,0,0,0,,,
9,3,1,3,-5,5,-200,200,10,0,0,0,0,,,
10,3,1,4,-5,5,-400,400,11,0,0,0,0,,,
11,3,1,1,-5,5,-400,400,11,2,0,0,0,,,
12,4,1,20,-5,5,-200,200,13,1,0,0,0,,,
13,4,1,40,-5,5,-200,200,14,0,0,0,0,,,
14,4,1,60,-5,5,-400,400,15,0,0,0,0,,,
15,4,1,180,-5,5,-400,400,15,2,0,0,0,,,
16,5,1,20,-5,5,-2000,2000,17,1,0,0,0,,,
17,5,1,40,-5,5,-2000,2000,18,0,0,0,0,,,
18,5,1,50,-5,5,-2000,2000,19,0,0,0,0,,,
19,5,1,60,-5,5,-30000,30000,19,2,0,0,0,,,
20,7,1,5,-5,5,-300,300,21,1,0,0,0,,,
21,7,1,10,-5,5,-600,600,21,2,0,0,0,,,
22,8,1,20,-5,5,-200,200,23,1,210,60,20,,,
23,8,1,40,-5,5,-200,200,24,0,210,60,20,,,
24,8,1,60,-5,5,-400,400,25,0,210,60,20,,,
25,8,1,180,-5,5,-30000,30000,25,2,210,60,20,,,
26,1,2,20,0,0,-50,50,27,1,0,0,0,,,
27,1,2,40,-1,1,-50,50,28,0,0,0,0,,,
28,1,2,60,-5,5,-100,100,29,0,0,0,0,,,
29,1,2,180,-5,5,-100,100,29,2,0,0,0,,,
30,2,2,5,-1,1,-300,300,31,1,0,0,0,,,
31,2,2,15,-5,5,-600,600,32,0,0,0,0,,,
32,2,2,25,-5,5,-1000,1000,32,2,0,0,0,,,
33,3,2,20,0,0,-50,50,34,1,0,0,0,,,
34,3,2,40,-1,1,-50,50,35,0,0,0,0,,,
35,3,2,60,-5,5,-100,100,36,0,0,0,0,,,
36,3,2,180,-5,5,-100,100,36,2,0,0,0,,,
37,4,2,20,0,0,-50,50,38,1,0,0,0,,,
38,4,2,40,-1,1,-50,50,39,0,0,0,0,,,
39,4,2,60,-5,5,-100,100,40,0,0,0,0,,,
40,4,2,180,-5,5,-100,100,40,2,0,0,0,,,
41,5,2,20,0,0,-2000,2000,42,1,0,0,0,,,
42,5,2,40,-1,1,-2000,2000,43,0,0,0,0,,,
43,5,2,50,-5,5,-2000,2000,44,0,0,0,0,,,
44,5,2,60,-5,5,-30000,30000,44,2,0,0,0,,,
45,7,2,5,-5,5,-300,300,46,1,0,0,0,,,
46,7,2,10,-5,5,-600,600,46,2,0,0,0,,,
47,8,2,20,0,0,-50,50,48,1,210,60,20,,,
48,8,2,40,-1,1,-50,50,49,0,210,60,20,,,
49,8,2,60,-5,5,-100,100,50,0,210,60,20,,,
50,8,2,180,-5,5,-30000,30000,50,2,210,60,20,,,
51,14,1,180,-5,3,-30000,30000,52,1,0,0,0,20,90,16
52,14,1,360,-5,3,-30000,30000,53,0,0,0,0,18,90,14
53,14,1,480,-5,3,-30000,30000,54,0,0,0,0,16,90,12
54,14,1,600,-5,3,-30000,30000,54,2,0,0,0,14,90,12
