英雄ID,英雄名字,ID范围最小值,ID范围最大值
int,string,int,int
10000,$通用技能,0,18999
10001,$装备,19000,20000
32,$御魂游神,20001,20100
33,$芳野鹿灵,20101,20200
34,$万兽之王,20201,20300
35,$绝地战鹰,20301,20400
36,$银河战警,20401,20500
34,$万兽之王加位,20501,20600
36,$银河战警2,20601,20700
37,$枪火之歌,20701,20800
38,$风暴骑士,20801,20899
31,$龙猫萌骑,20900,20999
40,$暗夜女王,21000,21099
36,$绝地战鹰2,21100,21199
31,$龙猫萝莉加位,21200,21299
10002,$播放声音效果,21300,21499
27,$傲世神拳,21500,21599
10003,$新地图,21600,21699
42,$战争祸源,21700,21799
38,$末日战甲,21800,21899
10005,$测试配置英雄2,21900,21999
10006,$测试配置英雄3,22000,22099
43,$傀儡,22100,22199
44,$摩托车,23000,23099
